id,Name <br />(100 chars)_l,source,Name <br />(100 chars)_r,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
17,Joseph Harp,3,Evelina Harp,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,363,Knows,Evelina Harp,Joseph Harp,1,Mustache Maude,19,19,
43,Ott Black,3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],366,Knows of,Evelina Harp,Ott Black,0,Story,19,19,
42,"""Mustache"" Maude Black",3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],367,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Story,19,19,
15,Seraph Milk (Mooshum),3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],370,Knows,Evelina Harp,Seraph Milk (Mooshum),1,Story,19,19,
87,Chief Gall,3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],373,Knows of,Evelina Harp,Chief Gall,0,Story,19,19,
73,Man (who Ott shot in the leg),3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],375,Knows of,Evelina Harp,Man (who Ott shot in the leg),0,Story,19,19,
326,Joseph (biblical figure),3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],379,Knows of,Evelina Harp,Joseph (biblical figure),0,Story,19,19,
136,Mary (biblical figure),3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],380,Knows of,Evelina Harp,Mary (biblical figure),0,Story,19,19,
57,Jesus,3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],381,Knows of,Evelina Harp,Jesus,0,Story,19,19,
18,Edward Harp,3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],382,Knows,Evelina Harp,Edward Harp,1,Story,19,19,
17,Joseph Harp,3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],383,Knows,Evelina Harp,Joseph Harp,1,Story,19,19,
16,Clemence Harp,3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],384,Knows,Evelina Harp,Clemence Harp,1,Story,19,19,
91,"The ""black-haired"" Stooge",3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],392,Knows of,Evelina Harp,"The ""black-haired"" Stooge",0,Story,19,19,
34,Junesse Malaterre,3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],394,Knows,Evelina Harp,Junesse Malaterre,0,Story,19,19,
31,Corwin Peace,3,Evelina Harp,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],395,Exchange,Evelina Harp,Corwin Peace,1,Story,20,20,
92,John F. Kennedy,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],396,Knows of,Evelina Harp,John F. Kennedy,0,A Little Nip,21,21,
93,Pope John XXII,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],397,Knows of,Evelina Harp,Pope John XXII,0,A Little Nip,21,21,
94,Louis Riel,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],398,Knows of,Evelina Harp,Louis Riel,0,A Little Nip,21,22,
16,Clemence Harp,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],400,Knows,Evelina Harp,Clemence Harp,1,A Little Nip,21,21,
18,Edward Harp,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],401,Knows,Evelina Harp,Edward Harp,1,A Little Nip,21,21,
