source,target,type,weight,startPage,category,Character 1,Character 2
904.0,897.0,directed,1,62,Exchange,,
904.0,903.0,directed,1,62,Exchange,,
896.0,1751.0,directed,1,62,Exchange,,
903.0,904.0,directed,1,62,Exchange,,
1751.0,897.0,directed,1,63,Exchange,,
896.0,903.0,directed,1,63,Exchange,,
1751.0,896.0,directed,1,63,Exchange,,
903.0,896.0,directed,1,63,Exchange,,
897.0,1751.0,directed,1,63,Exchange,,
906.0,904.0,directed,1,63,Exchange,,
1751.0,897.0,directed,1,64,Exchange,,
897.0,1751.0,directed,1,64,Exchange,,
1751.0,896.0,directed,1,65,Exchange,,
896.0,1751.0,directed,1,65,Exchange,,
896.0,1751.0,directed,1,66,Exchange,,
897.0,1751.0,directed,1,66,Exchange,,
1751.0,897.0,directed,1,66,Exchange,,
1751.0,896.0,directed,1,66,Exchange,,
1751.0,896.0,directed,1,67,Exchange,,
905.0,897.0,directed,1,67,Exchange,,
905.0,903.0,directed,1,67,Exchange,,
904.0,905.0,directed,1,67,Exchange,,
896.0,1751.0,directed,1,67,Exchange,,
1751.0,905.0,directed,1,67,Exchange,,
903.0,905.0,directed,1,67,Exchange,,
905.0,904.0,directed,1,67,Exchange,,
905.0,1751.0,directed,1,67,Exchange,,
1751.0,905.0,directed,1,68,Exchange,,
1751.0,897.0,directed,1,68,Exchange,,
1751.0,904.0,directed,1,68,Exchange,,
1751.0,903.0,directed,1,68,Exchange,,
903.0,1751.0,directed,1,68,Exchange,,
905.0,1751.0,directed,1,68,Exchange,,
906.0,1751.0,directed,1,68,Exchange,,
907.0,1751.0,directed,1,68,Exchange,,
897.0,1751.0,directed,1,68,Exchange,,
904.0,1751.0,directed,1,68,Exchange,,
1751.0,907.0,directed,1,68,Exchange,,
1751.0,906.0,directed,1,68,Exchange,,
896.0,1751.0,directed,1,70,Exchange,,
896.0,903.0,directed,1,70,Exchange,,
897.0,1751.0,directed,1,70,Exchange,,
1751.0,897.0,directed,1,70,Exchange,,
1751.0,896.0,directed,1,70,Exchange,,
903.0,896.0,directed,1,70,Exchange,,
905.0,1750.0,directed,1,71,Exchange,,
1750.0,1754.0,directed,1,71,Exchange,,
1754.0,1750.0,directed,1,71,Exchange,,
1750.0,1712.0,directed,1,71,Exchange,,
1750.0,907.0,directed,1,71,Exchange,,
904.0,899.0,directed,1,71,Exchange,,
1750.0,905.0,directed,1,71,Exchange,,
1754.0,905.0,directed,1,71,Exchange,,
899.0,904.0,directed,1,71,Exchange,,
1754.0,907.0,directed,1,71,Exchange,,
907.0,1754.0,directed,1,71,Exchange,,
905.0,1754.0,directed,1,71,Exchange,,
907.0,1750.0,directed,1,71,Exchange,,
1750.0,905.0,directed,1,72,Exchange,,
1754.0,907.0,directed,1,72,Exchange,,
1750.0,907.0,directed,1,72,Exchange,,
1750.0,1712.0,directed,1,72,Exchange,,
1717.0,903.0,directed,1,72,Exchange,,
1717.0,904.0,directed,1,72,Exchange,,
1717.0,905.0,directed,1,72,Exchange,,
1754.0,905.0,directed,1,72,Exchange,,
1717.0,2537.0,directed,1,72,Exchange,,
1717.0,1754.0,directed,1,72,Exchange,,
907.0,1750.0,directed,1,72,Exchange,,
1717.0,1750.0,directed,1,72,Exchange,,
1717.0,1751.0,directed,1,72,Exchange,,
904.0,1751.0,directed,1,72,Exchange,,
905.0,1754.0,directed,1,72,Exchange,,
907.0,1754.0,directed,1,72,Exchange,,
905.0,1750.0,directed,1,72,Exchange,,
2537.0,1717.0,directed,1,72,Exchange,,
904.0,1717.0,directed,1,72,Exchange,,
905.0,1717.0,directed,1,72,Exchange,,
1751.0,1717.0,directed,1,72,Exchange,,
903.0,1717.0,directed,1,72,Exchange,,
904.0,903.0,directed,1,73,Exchange,,
1751.0,897.0,directed,1,73,Exchange,,
1717.0,903.0,directed,1,73,Exchange,,
903.0,904.0,directed,1,73,Exchange,,
1717.0,905.0,directed,1,73,Exchange,,
1717.0,904.0,directed,1,73,Exchange,,
905.0,1717.0,directed,1,73,Exchange,,
903.0,1717.0,directed,1,73,Exchange,,
904.0,1717.0,directed,1,73,Exchange,,
1717.0,907.0,directed,1,73,Exchange,,
1717.0,1751.0,directed,1,73,Exchange,,
897.0,1751.0,directed,1,73,Exchange,,
1751.0,1717.0,directed,1,73,Exchange,,
907.0,1717.0,directed,1,73,Exchange,,
1751.0,1717.0,directed,1,74,Exchange,,
1750.0,1718.0,directed,1,74,Exchange,,
1718.0,1750.0,directed,1,74,Exchange,,
1717.0,1751.0,directed,1,74,Exchange,,
1750.0,903.0,directed,1,75,Exchange,,
905.0,903.0,directed,1,75,Exchange,,
1750.0,905.0,directed,1,75,Exchange,,
903.0,905.0,directed,1,75,Exchange,,
1751.0,1717.0,directed,1,75,Exchange,,
903.0,1750.0,directed,1,75,Exchange,,
905.0,1750.0,directed,1,75,Exchange,,
1717.0,1751.0,directed,1,75,Exchange,,
903.0,1750.0,directed,1,76,Exchange,,
1750.0,903.0,directed,1,76,Exchange,,
903.0,1750.0,directed,1,77,Exchange,,
1750.0,903.0,directed,1,77,Exchange,,
903.0,1750.0,directed,1,78,Exchange,,
1750.0,903.0,directed,1,78,Exchange,,
903.0,1750.0,directed,1,79,Exchange,,
1750.0,903.0,directed,1,79,Exchange,,
903.0,1750.0,directed,1,80,Exchange,,
1750.0,903.0,directed,1,80,Exchange,,
1751.0,1717.0,directed,1,81,Exchange,,
1750.0,903.0,directed,1,81,Exchange,,
903.0,1750.0,directed,1,81,Exchange,,
1717.0,1751.0,directed,1,81,Exchange,,
905.0,1751.0,directed,1,82,Exchange,,
903.0,1750.0,directed,1,82,Exchange,,
1751.0,905.0,directed,1,82,Exchange,,
1750.0,903.0,directed,1,82,Exchange,,
904.0,903.0,directed,1,84,Exchange,,
903.0,904.0,directed,1,84,Exchange,,
1711.0,904.0,directed,1,85,Exchange,,
903.0,904.0,directed,1,85,Exchange,,
904.0,1711.0,directed,1,85,Exchange,,
904.0,1713.0,directed,1,85,Exchange,,
904.0,899.0,directed,1,85,Exchange,,
904.0,903.0,directed,1,85,Exchange,,
899.0,904.0,directed,1,85,Exchange,,
1713.0,904.0,directed,1,85,Exchange,,
906.0,896.0,directed,1,86,Exchange,,
906.0,897.0,directed,1,86,Exchange,,
897.0,906.0,directed,1,86,Exchange,,
896.0,906.0,directed,1,86,Exchange,,
906.0,907.0,directed,1,86,Exchange,,
903.0,1751.0,directed,1,86,Exchange,,
907.0,906.0,directed,1,86,Exchange,,
905.0,906.0,directed,1,86,Exchange,,
903.0,906.0,directed,1,86,Exchange,,
904.0,906.0,directed,1,86,Exchange,,
906.0,903.0,directed,1,86,Exchange,,
1751.0,903.0,directed,1,86,Exchange,,
906.0,905.0,directed,1,86,Exchange,,
906.0,904.0,directed,1,86,Exchange,,
905.0,1754.0,directed,1,88,Exchange,,
903.0,1754.0,directed,1,88,Exchange,,
1754.0,903.0,directed,1,88,Exchange,,
1754.0,905.0,directed,1,88,Exchange,,
903.0,1712.0,directed,1,89,Exchange,,
903.0,1715.0,directed,1,89,Exchange,,
1715.0,903.0,directed,1,89,Exchange,,
1751.0,903.0,directed,1,89,Exchange,,
903.0,899.0,directed,1,89,Exchange,,
899.0,903.0,directed,1,89,Exchange,,
1712.0,903.0,directed,1,89,Exchange,,
2547.0,903.0,directed,1,89,Exchange,,
903.0,1751.0,directed,1,89,Exchange,,
903.0,2547.0,directed,1,89,Exchange,,
903.0,1712.0,directed,1,90,Exchange,,
1712.0,903.0,directed,1,90,Exchange,,
903.0,1712.0,directed,1,91,Exchange,,
901.0,1712.0,directed,1,91,Exchange,,
1712.0,903.0,directed,1,91,Exchange,,
901.0,903.0,directed,1,91,Exchange,,
903.0,1712.0,directed,1,92,Exchange,,
1712.0,903.0,directed,1,92,Exchange,,
1713.0,903.0,directed,1,93,Exchange,,
904.0,903.0,directed,1,93,Exchange,,
903.0,1713.0,directed,1,93,Exchange,,
