id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
243,"Knows","Lily's fifth child","Bernie McDermott","1","Lily","33","33"
244,"Exchange","Lily's fifth child","Lily's fifth child's girlfriend","1","Lily","33","33"
245,"Exchange","Lily's fifth child","Lily's fifth child's girlfriend's mother","1","Lily","33","33"
246,"Knows","Lily's fifth child's girlfriend","Lily's fifth child's girlfriend's mother","1","Lily","33","33"
247,"Knows","Lily","Men (who come see Lily)","1","Lily","33","33"
248,"Knows","John-John","Ciss Brien","1","Lily","33","34"
249,"Exchange","Vasya Afanasiev","Man (Vasya worked with)","1","Vasya","35","35"
250,"Exchange","Vasya Afanasiev","Child (of the man Vasya worked with)","1","Vasya","35","35"
251,"Exchange","Vasya Afanasiev","Wife (of the man Vasya worked with)","1","Vasya","35","35"
252,"Exchange","Man (Vasya worked with)","Wife (of the man Vasya worked with)","1","Vasya","35","35"
253,"Exchange","Man (Vasya worked with)","Child (of the man Vasya worked with)","1","Vasya","35","35"
254,"Exchange","Vasya Afanasiev","Bobby Mahon","1","Vasya","35","36"
255,"Knows","Vasya Afanasiev","Vasya's Mother","1","Vasya","35","36"
256,"Exchange","Vasya Afanasiev","Vasya's grandmother","1","Vasya","35","36"
257,"Knows","Vasya's Mother","Vasya's grandmother","1","Vasya","35","36"
258,"Exchange","Vasya Afanasiev","Vasya's family","1","Vasya","36","36"
259,"Exchange","Vasya Afanasiev","Vasya's Father","1","Vasya","36","36"
260,"Knows","Vasya's Father","Vasya's Mother","1","Vasya","36","36"
261,"Knows","Vasya's Father","Vasya's grandmother","1","Vasya","36","36"
262,"Knows of","Vasya Afanasiev","Vasya's grandfather","0","Vasya","36","36"
263,"Exchange","Vasya's Father","Vasya's family","1","Vasya","36","36"
264,"Exchange","Vasya's grandmother","Vasya's family","1","Vasya","36","36"
265,"Knows","The Latvians","""foreigners"" (in Khakassia) (36)","1","Vasya","36","36"
266,"Exchange","Russian men","""foreigners"" (in Khakassia) (36)","1","Vasya","36","36"
267,"Exchange","""foreigners"" (in Khakassia) (36)","Polish men","1","Vasya","36","36"
268,"Exchange","Vasya Afanasiev","""the boys"" (who worked for Pokey) (12)","1","Vasya","36","37"
269,"Exchange","Seanie Shaper (Sean Shanahan)","Vasya Afanasiev","1","Vasya","36","37"
270,"Knows","Vasya Afanasiev","Vasya's Father","1","Vasya","37","37"
271,"Exchange","Vasya Afanasiev","Viktor Afanasiev","1","Vasya","37","38"
272,"Exchange","Vasya Afanasiev","""little blonde girl"" (12)","1","Vasya","37","37"
273,"Knows","Vasya Afanasiev","Pokey Burke","1","Vasya","37","37"
274,"Knows","""little blonde girl"" (12)","Pokey Burke","0","Vasya","37","37"
275,"Exchange","Vasya Afanasiev","""men and women...who have no work"" (37)","1","Vasya","37","37"
276,"Exchange","Seanie Shaper (Sean Shanahan)","""men and women...who have no work"" (37)","1","Vasya","37","37"
277,"Exchange","Vasya Afanasiev","Vasya's boss","1","Vasya","37","37"
278,"Exchange","Viktor Afanasiev","Vasya's boss","1","Vasya","37","38"
279,"Exchange","Vasya Afanasiev","Men (who worked with Vasya and her brother)","1","Vasya","37","38"
280,"Exchange","Viktor Afanasiev","Men (who worked with Vasya and her brother)","1","Vasya","37","38"
281,"Exchange","Vasya Afanasiev","local militiaman","1","Vasya","38","38"
282,"Exchange","Policeman (who talks to Vasya)","Vasya Afanasiev","1","Vasya","38","38"
283,"Knows","local militiaman","Viktor Afanasiev","1","Vasya","38","38"
284,"Knows","Policeman (who talks to Vasya)","Viktor Afanasiev","1","Vasya","38","38"
285,"Exchange","local militiaman","Policeman (who talks to Vasya)","1","Vasya","38","38"
286,"Exchange","Vasya Afanasiev","Men (who planned to travel to Western Europe)","1","Vasya","38","38"
287,"Knows","Vasya Afanasiev","Pokey Burke","1","Vasya","39","39"
288,"Exchange","Vasya Afanasiev","Bobby Mahon","1","Vasya","39","39"
289,"Knows","Vasya Afanasiev","Vasya's Father","1","Vasya","40","40"
290,"Knows","Vasya's Father","Vasya's Mother","1","Vasya","40","40"
291,"Knows","Vasya's family","Vasya Afanasiev","1","Vasya","40","40"
292,"Exchange","Vasya Afanasiev","Men (Vasya lives with)","1","Vasya","40","40"
293,"Exchange","Vasya Afanasiev","Neighbour","1","Vasya","40","40"
294,"Exchange","Neighbour","Men (Vasya lives with)","1","Vasya","40","40"
295,"Knows","Neighbour","Neighbour's baby","1","Vasya","40","40"
296,"Knows of","Vasya Afanasiev","Neighbour's baby","0","Vasya","40","40"
297,"Knows of","Men (Vasya lives with)","Neighbour's baby","0","Vasya","40","40"
298,"Exchange","Vasya Afanasiev","Man (inside The Miner's Rest)","1","Vasya","41","41"
299,"Exchange","Vasya Afanasiev","Others (inside The Miner's Rest)","1","Vasya","41","41"
300,"Exchange","Man (inside The Miner's Rest)","Others (inside The Miner's Rest)","1","Vasya","41","41"
301,"Exchange","Vasya Afanasiev","Pokey Burke","1","Vasya","41","41"
302,"Knows","Réaltín","Dorothy","1","Réaltín","42","43"
303,"Knows","Réaltín","Tom (Réaltín's father)","1","Réaltín","42","42"
304,"Exchange","Réaltín","Auctioneer","1","Réaltín","42","42"
305,"Exchange","Auctioneer","Tom (Réaltín's father)","1","Réaltín","42","42"
306,"Exchange","Réaltín","Tom (Réaltín's father)","1","Réaltín","43","45"
307,"Exchange","Réaltín","Dylan (Réaltín's son)","1","Réaltín","43","43"
308,"Knows","Réaltín","Pokey Burke","1","Réaltín","43","44"
309,"Knows","Tom (Réaltín's father)","Pokey Burke","1","Réaltín","43","44"
310,"Knows","Pokey Burke","Dorothy","1","Réaltín","43","43"
311,"Exchange","Dylan (Réaltín's son)","Tom (Réaltín's father)","0","Réaltín","43","43"
312,"Knows","Tom (Réaltín's father)","Réaltín's mother","1","Réaltín","43","43"
313,"Knows","Réaltín","God","0","Réaltín","43","43"
314,"Knows","Tom (Réaltín's father)","Bridget","1","Réaltín","43","44"
315,"Exchange","Tom (Réaltín's father)","Josie Burke","0","Réaltín","44","44"
316,"Knows","Josie Burke","Eileen Burke","1","Réaltín","44","44"
317,"Knows","Pokey Burke","Réaltín","1","Réaltín","44","44"
318,"Knows","Pokey Burke","Eileen Burke","1","Réaltín","44","44"
319,"Exchange","camera crew","Tom (Réaltín's father)","1","Réaltín","44","44"
320,"Knows","Dylan (Réaltín's son)","Tom (Réaltín's father)","1","Réaltín","44","44"
321,"Knows of","Bridget","Réaltín's mother","0","Réaltín","44","44"
322,"Exchange","Réaltín","Bridget","1","Réaltín","44","44"
324,"Exchange","Seanie Shaper (Sean Shanahan)","Seanie's friends","1","Réaltín","44","44"
325,"Knows","Réaltín","Jesus","0","Réaltín","44","44"
326,"Exchange","Seanie Shaper (Sean Shanahan)","Tom (Réaltín's father)","1","Réaltín","44","44"
327,"Exchange","Réaltín","Seanie Shaper (Sean Shanahan)","1","Réaltín","44","44"
328,"Exchange","Seanie Shaper (Sean Shanahan)","Dylan (Réaltín's son)","1","Réaltín","44","44"
329,"Knows","Tom (Réaltín's father)","Seanie Shaper (Sean Shanahan)","1","Réaltín","45","45"
330,"Exchange","Seanie Shaper (Sean Shanahan)","""floozies"" (45)","1","Réaltín","45","45"
331,"Knows","Seanie Shaper (Sean Shanahan)","Dylan (Réaltín's son)","1","Réaltín","45","45"
332,"Exchange","Réaltín","George McSweeney","1","Réaltín","45","47"
333,"Knows","Réaltín","George McSweeney's Secretaries","1","Réaltín","45","45"
334,"Knows","George McSweeney's apprentices","Réaltín","1","Réaltín","45","45"
335,"Exchange","Réaltín","""the cute arses"" (45)","1","Réaltín","45","45"
336,"Exchange","George McSweeney","""the cute arses"" (45)","1","Réaltín","45","45"
337,"Exchange","Réaltín","Hillary","1","Réaltín","45","45"
338,"Knows","Hillary","George McSweeney","1","Réaltín","45","45"
339,"Knows","Réaltín","God","0","Réaltín","45","45"
341,"Exchange","Réaltín","Man (who calls George's firm)","1","Réaltín","46","46"
342,"Exchange","Man (who calls George's firm)","Builders","1","Réaltín","46","46"
343,"Knows","Man (who calls George's firm)","Girlfriend (of the man who calls George's firm)","1","Réaltín","46","46"
344,"Exchange","Réaltín","""scumbags"" (46)","1","Réaltín","46","46"
345,"Exchange","George McSweeney","""scumbags"" (46)","1","Réaltín","46","46"
346,"Knows","Seanie Shaper (Sean Shanahan)","Réaltín","1","Réaltín","46","46"
347,"Knows","Réaltín","Réaltín's mother","1","Réaltín","46","47"
348,"Knows","Réaltín","Tom (Réaltín's father)","1","Réaltín","46","47"
349,"Knows","Tom (Réaltín's father)","Bridget","1","Réaltín","47","47"
350,"Knows","Tom (Réaltín's father)","Réaltín's mother","1","Réaltín","47","47"
351,"Knows","Réaltín","Dylan (Réaltín's son)","1","Réaltín","47","47"
353,"Knows","Bobby Mahon","Rory Slattery","1","Réaltín","47","48"
354,"Exchange","Bobby Mahon","Réaltín","1","Réaltín","47","48"
355,"Knows","Bobby Mahon","""C2 boys"" (47)","1","Réaltín","47","48"
356,"Knows of","Réaltín","""C2 boys"" (47)","0","Réaltín","47","48"
357,"Knows","Réaltín","God","0","Réaltín","47","47"
358,"Exchange","Réaltín","Tom (Réaltín's father)","1","Réaltín","48","48"
359,"Knows","Tom (Réaltín's father)","Bobby Mahon","1","Réaltín","48","48"
360,"Knows","Bobby Mahon","Dylan (Réaltín's son)","1","Réaltín","48","48"
361,"Knows","Bobby Mahon","The parish","1","Bobby","10","10"
362,"Exchange","The parish","Josie Burke","1","Bobby","10","10"
363,"Knows","Timmy Hanrahan","Bobby Mahon","1","Timmy","49","49"
364,"Knows","Timmy Hanrahan","Rory Slattery","1","Timmy","49","49"
365,"Exchange","Rory Slattery","Bobby Mahon","1","Timmy","49","50"
366,"Exchange","Timmy Hanrahan","Seanie Shaper (Sean Shanahan)","1","Timmy","49","49"
367,"Knows","Seanie Shaper (Sean Shanahan)","Rory Slattery","1","Timmy","49","49"
368,"Knows","Seanie Shaper (Sean Shanahan)","Bobby Mahon","1","Timmy","49","49"
369,"Knows","Bobby Mahon","Josie Burke","1","Timmy","49","49"
