,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
62,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],305,Knows,Dene Oxendene,Bus driver,0,Dene Oxendene (I),30,30,
63,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],307,Knows of,Dene Oxendene,"""An Indian...woman"" (grant judge)",0,Dene Oxendene (I),33,33,
64,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],308,Knows of,Dene Oxendene,"""An older guy who's...Native"" (grant judge)",0,Dene Oxendene (I),33,33,
65,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],309,Knows of,Dene Oxendene,"""black guy...with a white beard"" (grant judge)",0,Dene Oxendene (I),33,33,
66,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],310,Knows of,Dene Oxendene,"""middle-aged black guy"" (2) (grant judge)",0,Dene Oxendene (I),33,33,
67,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],311,Knows of,Dene Oxendene,"""middle-aged white lady"" (1) (grant judge)",0,Dene Oxendene (I),33,33,
68,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],312,Knows of,Dene Oxendene,"""middle-aged white lady"" (2) (grant judge)",0,Dene Oxendene (I),33,33,
69,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],313,Knows of,Dene Oxendene,"""Old white lady"" (grant judge)",0,Dene Oxendene (I),33,33,
70,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],314,Knows of,Dene Oxendene,"""youngish Hispanic guy"" (grant judge)",0,Dene Oxendene (I),33,33,
71,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],315,Knows,Dene Oxendene,Lucas,1,Dene Oxendene (I),34,34,
