Relative Order,Event Name,Start Date ST,End Date ST,Is Approximate ST,Narrator,Start Page Mention,End Page Mention,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT,Evidence,Scout,Jem,Dill,Atticus,Tom Robinson,Boo Radley
10,Scout and Jem go to Calpurnia's church,7/30/1935,7/30/1935,T,Scout,160,160,7/30/1950,7/30/1950,3,376,T,"""We've got ours,"" he whispered.",T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,7/30/1935,7/30/1935,T,Scout,161,161,7/30/1950,7/30/1950,3,376,T,Zeebo rose from his pew and walked down the center aisle...,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,7/30/1935,7/30/1935,T,Scout,162,162,7/30/1950,7/30/1950,3,376,T,His sermon was a forthright denunciation of sin...,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,7/30/1935,7/30/1935,T,Scout,163,163,7/30/1950,7/30/1950,3,376,T,The church was becoming stuffy...,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,7/30/1935,7/30/1935,T,Scout,164,164,7/30/1950,7/30/1950,3,376,T,"Jem echoed me, and we made our way homeward.",T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,7/30/1935,7/30/1935,T,Scout,181,181,7/30/1950,7/30/1950,3,376,T,"""Well, I asked Calpurnia comin' fomr church that day...""",T,T,F,F,F,F
11,Aunt Alexandra arrives in Maycomb,7/31/1935,7/31/1935,T,Scout,169,169,7/30/1950,7/30/1950,3,376,T,"""...your father and I decided it was time I came to stay with you...""",T,T,F,T,F,F
11,Aunt Alexandra arrives in Maycomb,7/31/1935,7/31/1935,T,Scout,170,170,7/30/1950,7/30/1950,3,376,T,"""We decided that it would be best for you to have some feminine influence.""",T,T,F,T,F,F
11,Aunt Alexandra arrives in Maycomb,7/31/1935,7/31/1935,T,Scout,171,171,7/30/1950,7/30/1950,3,376,T,The remainder of the afternoon went by in the gentle gloom that descends...,T,T,F,T,F,F
12,Dill returns to Maycomb,8/1/1935,8/1/1935,T,Scout,186,186,7/30/1950,7/30/1950,3,376,T,We watched Dill emerge by degrees.,T,T,T,T,F,F
12,Dill returns to Maycomb,8/1/1935,8/1/1935,T,Scout,187,187,7/30/1950,7/30/1950,3,376,T,He walked the rest of the way.,T,T,T,T,F,F
12,Dill returns to Maycomb,8/1/1935,8/1/1935,T,Scout,188,188,7/30/1950,7/30/1950,3,376,T,Beneath its sweat-streaked dirt Dill's face went white.,T,T,T,T,F,F
12,Dill returns to Maycomb,8/1/1935,8/1/1935,T,Scout,189,189,7/30/1950,7/30/1950,3,376,T,"Dill ate, and ate, and ate.",T,T,T,T,F,F
13,Scout turns back Mr. Cunningham's mob,8/14/1935,8/14/1935,T,Scout,203,203,7/30/1950,7/30/1950,3,376,T,"""H-ey, Atticus!""",T,T,T,T,T,F
13,Scout turns back Mr. Cunningham's mob,8/14/1935,8/14/1935,T,Scout,204,204,7/30/1950,7/30/1950,3,376,T,"""Don't you touch him!""",T,T,T,T,T,F
13,Scout turns back Mr. Cunningham's mob,8/14/1935,8/14/1935,T,Scout,205,205,7/30/1950,7/30/1950,3,376,T,"""Don't you remember me, Mr. Cunningham?""",T,T,T,T,T,F
13,Scout turns back Mr. Cunningham's mob,8/14/1935,8/14/1935,T,Scout,206,206,7/30/1950,7/30/1950,3,376,T,"""I'll tell him you said hey, little lady,"" he said.",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,100,100,7/30/1950,7/30/1950,3,376,T,"""It's a peculiar case—it won't come to trial until after summer session.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,117,117,7/30/1950,7/30/1950,3,376,T,"""The jury couldn't possibly be expected...""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,194,194,7/30/1950,7/30/1950,3,376,T,"""Trial'll probably be Monday.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,208,208,7/30/1950,7/30/1950,3,376,T,"""It'll all be over after tomorrow, maybe.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,222,222,7/30/1950,7/30/1950,3,376,T,"""Mr. Heck Tate's testifyin'.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,223,223,7/30/1950,7/30/1950,3,376,T,"""Could you say it to the jury, Mr. Tate?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,224,224,7/30/1950,7/30/1950,3,376,T,"""Did you call a doctor, Sheriff?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,225,225,7/30/1950,7/30/1950,3,376,T,"""Which eye?""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,226,226,7/30/1950,7/30/1950,3,376,T,"""...her arms were bruised, and she showed me her neck.""",T,T,T,T,T,F
14,Tom Robinson's Trial,8/15/1935,8/15/1935,T,Scout,227,227,7/30/1950,7/30/1950,3,376,T,"""...Robert E. Lee Ewell!""",T,T,T,T,T,F
