Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Cholly Breedlove,Cholly's Mother,Aunt Jimmy,White man (flashlight),White man (spirit lamp),Darlene,Samson Fuller (Cholly's Father),Man (selling bus tickets),'Fat Black Lady' (on the bus),Old White-Haired Man,Men (in the alley),Pauline Breedlove,Sammy Breedlove,Pecola Breedlove,Clark Gable,Jean Harlow,The little Fisher girl,Mr. Fisher,Mrs. Fisher,Mr. Henry,Claudia,Frieda,Mrs. MacTeer (Claudia's Mother),Mr. MacTeer (Claudia's Father),Rosemary Villanucci,Maureen Peal,Bay Boy,Woodrow Cain,Buddy Wilson,Junie Bug,Louis Junior,Geraldine,Mr. Buford,Mrs. Dunion,Soaphead Church,Pecola's Baby
,Pecola moves in with the Macteers,1940-01-10,1940-12-22,T,Claudia (narrator),16,16,1943-01-01,1993-01-01,9,32,T,"Pecola moves in around the same time as Mr. Henry: ""Mama had told us two days earlier that a 'case' was coming- a girl who had no place to go"" (16), and it must be after October as the Breedlove's house is still intact in October (39)","Claudia, Frieda, Mr. MacTeer (Claudia's Father), Mrs. MacTeer (Claudia's Mother), and Pecola Breedlove",,,,,,,,,,,,,,T,,,,,,,T,T,T,T,,,,,,,,,,,,
,Pecola prays for blue eyes (each night),1940-01-10,1940-01-10,T,3rd Person Narrator (The Bluest Eye),46,46,,,,,,"""on a Saturday morning in October""(39)",Pecola Breedlove,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
,Pecola starts mensturating,1940-01-10,1940-12-22,T,Claudia (narrator),27,27,1943-01-01,1993-01-01,9,32,T,"Occurs in the period of time Pecola lives with the Macteers and in the section ""Autumn""","Claudia, Frieda, Mrs. MacTeer (Claudia's Mother), Pecola Breedlove, and Rosemary Villanucci",,,,,,,,,,,,,,T,,,,,,,T,T,T,,T,,,,,,,,,,,
,Pecola starts mensturating,1940-01-10,1940-12-22,T,Claudia (narrator),31,31,1943-01-01,1993-01-01,9,32,T,"Occurs in the period of time Pecola lives with the Macteers and in the section ""Autumn""","Claudia, Frieda, Mrs. MacTeer (Claudia's Mother), Pecola Breedlove, and Rosemary Villanucci",,,,,,,,,,,,,,T,,,,,,,T,T,T,,T,,,,,,,,,,,
,Pecola starts mensturating,1940-01-10,1940-12-22,T,Claudia (narrator),32,32,1943-01-01,1993-01-01,9,32,T,"Occurs in the period of time Pecola lives with the Macteers and in the section ""Autumn""","Claudia, Frieda, Mrs. MacTeer (Claudia's Mother), Pecola Breedlove, and Rosemary Villanucci",,,,,,,,,,,,,,T,,,,,,,T,T,T,,T,,,,,,,,,,,
,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia (narrator),65,65,1943-01-01,1993-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.","Bay Boy, Buddy Wilson, Claudia, Frieda, Junie Bug, Maureen Peal, Pecola Breedlove, and Woodrow Cain",,,,,,,,,,,,,,T,,,,,,,T,T,,,,T,T,T,T,T,,,,,,
,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia (narrator),67,67,1943-01-01,1993-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.","Bay Boy, Buddy Wilson, Claudia, Frieda, Junie Bug, Maureen Peal, Pecola Breedlove, and Woodrow Cain",,,,,,,,,,,,,,T,,,,,,,T,T,,,,T,T,T,T,T,,,,,,
,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia (narrator),68,68,1943-01-01,1993-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.","Bay Boy, Buddy Wilson, Claudia, Frieda, Junie Bug, Maureen Peal, Pecola Breedlove, and Woodrow Cain",,,,,,,,,,,,,,T,,,,,,,T,T,,,,T,T,T,T,T,,,,,,
,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia (narrator),69,69,1943-01-01,1993-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.","Bay Boy, Buddy Wilson, Claudia, Frieda, Junie Bug, Maureen Peal, Pecola Breedlove, and Woodrow Cain",,,,,,,,,,,,,,T,,,,,,,T,T,,,,T,T,T,T,T,,,,,,
,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia (narrator),70,70,1943-01-01,1993-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.","Bay Boy, Buddy Wilson, Claudia, Frieda, Junie Bug, Maureen Peal, Pecola Breedlove, and Woodrow Cain",,,,,,,,,,,,,,T,,,,,,,T,T,,,,T,T,T,T,T,,,,,,
