id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
417,"Exchange","Atticus Levi","Jules Jones","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","172","172"
418,"Exchange","Janet Green","Jules Jones","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","173","173"
419,"Knows","Jules Jones","Kitty Jackson","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","173","173"
420,"Exchange","Jules Jones","Kitty Jackson","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","174","183"
421,"Knows of","Jules Jones","Tom Cruise","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","174","174"
422,"Knows of","Jules Jones","God","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","174","174"
423,"Exchange","Atticus Levi","Jules Jones","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","175","175"
424,"Exchange","Jules Jones","Janet Green","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","175","175"
425,"Knows","Jules Jones","""male memoirist""","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","175","175"
426,"Knows","Janet Green","""male memoirist""","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","175","175"
427,"Exchange","Jules Jones","Janet Green","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","177","177"
428,"Knows of","Jules Jones","Jesus Christ","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","177","177"
429,"Knows","Kitty Jackson","Jake","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","178","178"
430,"Knows of","Jules Jones","Jake","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","178","178"
431,"Exchange","Beatrice Green","Jules Jones","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","179","179"
432,"Knows","Jules Jones","Janet Green","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","179","179"
433,"Knows","Beatrice Green","Janet Green","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","179","179"
434,"Knows of","Jules Jones","Jake","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","180","180"
435,"Knows of","Jules Jones","Richard Nixon","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","181","181"
436,"Knows","Kitty Jackson","""someone else"" (riding Nixon)","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","181","181"
437,"Exchange","Janet Green","Jules Jones","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","182","182"
438,"Knows","Jules Jones","Atticus Levi","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","184","184"
439,"Exchange","Kitty Jackson","Jules Jones","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","184","184"
440,"Knows of","Jules Jones","USA Today author","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","184","184"
441,"Knows of","Jules Jones","USA Today author","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","184","184"
442,"Knows of","Jules Jones","New Republic author","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","184","184"
443,"Exchange","Jules Jones","""Editor"" (of Jules' article)","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","184","185"
444,"Knows","Jules Jones","Kitty Jackson","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","185","185"
445,"Knows of","Jules Jones","Marilyn Monroe","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","185","185"
446,"Knows of","Jules Jones","Mayor Giuliani","0","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","185","185"
447,"Exchange","Jules Jones","Vanity Fair reporter","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","185","185"
448,"Knows","Jules Jones","Jules Jones' chiropractor","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","185","185"
449,"Knows","Vanity Fair reporter","Jules Jones' chiropractor","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","185","185"
450,"Knows","Jules Jones","Jules Jones' building's superintendent","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","185","185"
451,"Knows","Vanity Fair reporter","Jules Jones' building's superintendent","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","185","185"
452,"Knows","Jules Jones","Jules Jones","1","9 Forty-Minute Lunch: Kitty Jackson Opens Up About Love, Fame, and Nixon!","185","185"
453,"Exchange","Robert Freeman Jr.","Drew Blake","1","10 Out of Body","186","190"
454,"Exchange","Robert Freeman Jr.","Sasha","1","10 Out of Body","186","186"
455,"Knows","Drew Blake","Sasha","1","10 Out of Body","186","188"
456,"Knows","Robert Freeman Jr.","Bix","1","10 Out of Body","186","186"
457,"Exchange","Robert Freeman Jr.","Lizzie","1","10 Out of Body","186","186"
458,"Knows","Robert Freeman Jr.","Sasha","1","10 Out of Body","187","187"
460,"Knows","Robert Freeman Jr.","Lizzie","1","10 Out of Body","187","188"
461,"Knows","Sasha","Lizzie","1","10 Out of Body","187","187"
462,"Knows","Robert Freeman Jr.","Robert Freeman Jr.'s father","1","10 Out of Body","187","187"
463,"Knows","Robert Freeman Jr.","""twelve team-playing Democrats""","1","10 Out of Body","187","187"
464,"Knows of","Robert Freeman Jr.","Bill Clinton","0","10 Out of Body","187","187"
465,"Knows","Lizzie","Bix","1","10 Out of Body","188","191"
466,"Knows","Robert Freeman Jr.","Bix","1","10 Out of Body","188","189"
467,"Exchange","Robert Freeman Jr.","Sasha","1","10 Out of Body","188","190"
468,"Knows","Robert Freeman Jr.","""two old ladies""","0","10 Out of Body","188","188"
469,"Exchange","Robert Freeman Jr.","Robert Freeman Jr.'s father","1","10 Out of Body","189","189"
470,"Exchange","Drew Blake","Sasha","1","10 Out of Body","189","189"
471,"Exchange","Lizzie","Robert Freeman Jr.","1","10 Out of Body","189","191"
472,"Exchange","Lizzie","Lizzie's mother","1","10 Out of Body","189","189"
473,"Knows","Lizzie","Lizzie's father","1","10 Out of Body","189","189"
474,"Knows","Lizzie's father","Lizzie's mother","1","10 Out of Body","189","189"
475,"Knows of","Robert Freeman Jr.","Lizzie's mother","0","10 Out of Body","189","189"
476,"Knows of","Robert Freeman Jr.","Lizzie's father","0","10 Out of Body","189","189"
477,"Knows of","Bix","Lizzie's father","0","10 Out of Body","189","189"
478,"Knows of","Bix","Lizzie's father","0","10 Out of Body","189","189"
479,"Exchange","Sasha","Lizzie","1","10 Out of Body","190","190"
480,"Knows","Drew Blake","Sasha","1","10 Out of Body","190","191"
481,"Knows","Drew Blake","Lizzie","1","10 Out of Body","190","190"
482,"Knows of","Robert Freeman Jr.","Drew Blake's brothers","0","10 Out of Body","190","190"
483,"Knows","Drew Blake","Drew Blake's brothers","1","10 Out of Body","190","190"
484,"Knows","Robert Freeman Jr.","Bix","1","10 Out of Body","190","190"
485,"Exchange","Bix","Robert Freeman Jr.","1","10 Out of Body","191","191"
