id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
143,"""The cyclicity of these poetics""","level 2 (sub-section)","2130","2139","academic voice","blank (missing null option here)","[NULL]"
144,"""Position of classification""","level 2 (sub-section)","2150","2159","academic voice","blank (missing null option here)","[NULL]"
145,"""The subject then restores""","level 2 (sub-section)","2170","2179","academic voice","blank (missing null option here)","[NULL]"
146,"""There is no duality""","level 2 (sub-section)","2190","2199","academic voice","blank (missing null option here)","[NULL]"
147,"""One is tempted to struggle""","level 2 (sub-section)","2210","2219","academic voice","blank (missing null option here)","[NULL]"
148,"""A state of primal unity""","level 2 (sub-section)","2230","2239","academic voice","blank (missing null option here)","[NULL]"
149,"""The message was always the same""","level 2 (sub-section)","2250","2259","academic voice","blank (missing null option here)","[NULL]"
150,"""But the divisions of movement""","level 2 (sub-section)","2270","2279","academic voice","blank (missing null option here)","[NULL]"
151,"""Here, science isn't just essential""","level 2 (sub-section)","2290","2299","academic voice","blank (missing null option here)","[NULL]"
152,"""As before, the notes show""","level 2 (sub-section)","2310","2319","academic voice","blank (missing null option here)","[NULL]"
153,"""There is no triumph""","level 2 (sub-section)","2330","2339","academic voice","blank (missing null option here)","[NULL]"
154,"""w c n;"" (photo)","level 2 (sub-section)","2370","2378","collage photos","blank (missing null option here)","[NULL]"
155,"""w c n;"" (text)","level 2 (sub-section)","2379","2379","speaker Abel","blank (missing null option here)","[NULL]"
156,"""d  x  l"" (photo)","level 2 (sub-section)","2390","2398","collage photos","blank (missing null option here)","[NULL]"
157,"""d  x  l"" (text)","level 2 (sub-section)","2399","2399","speaker Abel","blank (missing null option here)","[NULL]"
158,"""t m c"" (photo)","level 2 (sub-section)","2410","2417","collage photos","blank (missing null option here)","[NULL]"
159,"""t m c"" (text)","level 2 (sub-section)","2418","2419","speaker Abel","blank (missing null option here)","[NULL]"
160,"""l t g"" (photo)","level 2 (sub-section)","2430","2436","collage photos","blank (missing null option here)","[NULL]"
161,"""l t g"" (text)","level 2 (sub-section)","2437","2439","speaker Abel","blank (missing null option here)","[NULL]"
162,"""s d h"" (photo)","level 2 (sub-section)","2450","2458","collage photos","blank (missing null option here)","[NULL]"
163,"""s d h"" (text)","level 2 (sub-section)","2459","2459","speaker Abel","blank (missing null option here)","[NULL]"
164,"""d n k"" (photo)","level 2 (sub-section)","2470","2476","collage photos","blank (missing null option here)","[NULL]"
165,"""d n k"" (text)","level 2 (sub-section)","2477","2479","speaker Abel","blank (missing null option here)","[NULL]"
166,"""n d s l"" (photo)","level 2 (sub-section)","2490","2493","collage photos","blank (missing null option here)","[NULL]"
167,"""n d s l"" (text)","level 2 (sub-section)","2494","2499","speaker Abel","blank (missing null option here)","[NULL]"
168,"""m s d n"" (photo)","level 2 (sub-section)","2510","2515","collage photos","blank (missing null option here)","[NULL]"
169,"""m s d n"" (text)","level 2 (sub-section)","2516","2519","speaker Abel","blank (missing null option here)","[NULL]"
170,"""x / p / c c r"" (photo)","level 2 (sub-section)","2530","2538","collage photos","blank (missing null option here)","[NULL]"
171,"""x / p / c c r"" (text)","level 2 (sub-section)","2539","2539","speaker Abel","blank (missing null option here)","[NULL]"
172,"""r t t / r v"" (photo)","level 2 (sub-section)","2550","2557","collage photos","blank (missing null option here)","[NULL]"
173,"""r t t / r v"" (text)","level 2 (sub-section)","2558","2559","speaker Abel","blank (missing null option here)","[NULL]"
