id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
116,"Knows","speaker Abel","""man with sea cockle (kal'own)""","0","""(wilplarhae)""","490","499"
117,"Knows","speaker Abel","""Sperm Whale (hlpoon)""","0","""(wilplarhae)""","490","499"
118,"Knows","speaker Abel","""person with ... garment (gyet)""","0","""(wilplarhae)""","490","499"
119,"Knows","speaker Abel","""Gyaibelk"" (carved)","0","""(wilplarhae)""","490","499"
120,"Knows","fictional Barbeau","a Nass River pole","1","""The silhouette of a pole on the shore of Nass River.""","550","559"
121,"Knows","fictional Barbeau","man on a Nass River pole","0","""The silhouette of a pole on the shore of Nass River.""","550","559"
122,"Exchange","fictional Barbeau","Dennis Wood","1","""The silhouette of a pole on the shore of Nass River.""","550","559"
123,"Knows","Dennis Wood","a Nass River pole","1","""The silhouette of a pole on the shore of Nass River.""","550","559"
124,"Knows","Dennis Wood","man on a Nass River pole","0","""The silhouette of a pole on the shore of Nass River.""","550","559"
125,"Knows","biographical Abel","Jordan Abel's mother","1","""13.07.1992 / The poet, deep in a docile state of youth""","590","599"
126,"Knows","biographical Abel","child Abel","0","""13.07.1992 / The poet, deep in a docile state of youth""","590","599"
127,"Knows","biographical Abel","Pole of Sagaween","1","""13.07.1992 / The poet, deep in a docile state of youth""","590","599"
128,"Knows","biographical Abel","Sagaween (Laxsgiik)","0","""13.07.1992 / The poet, deep in a docile state of youth""","590","599"
129,"Knows","biographical Abel","real Barbeau","0","""13.07.1992 / The poet, deep in a docile state of youth""","590","599"
130,"Knows","child Abel","Jordan Abel's mother","1","""13.07.1992 / The poet, deep in a docile state of youth""","590","599"
131,"Knows of","child Abel","Pole of Sagaween","1","""13.07.1992 / The poet, deep in a docile state of youth""","590","599"
132,"Exchange","biographical Abel","Jordan Abel's family","1","""25.12.2010 / The poet exchanges gifts""","630","639"
133,"Exchange","biographical Abel","Jordan Abel's mother","1","""25.12.2010 / The poet exchanges gifts""","630","639"
134,"Knows","Jordan Abel's mother","Pole of Sagaween","1","""25.12.2010 / The poet exchanges gifts""","630","639"
136,"Knows of","biographical Abel","Pole of Sagaween","0","""25.12.2010 / The poet exchanges gifts""","630","639"
137,"Knows of","real Barbeau","""Yaw'l"" (Laxgibuu)","0","""The myth of the Dragon-Fly.""","670","679"
138,"Knows of","real Barbeau","brothers of ""Yaw'l"" (Laxgibuu)","0","""The myth of the Dragon-Fly.""","670","679"
139,"Knows of","real Barbeau","""Huge-Belly""","0","""The myth of the Dragon-Fly.""","670","679"
140,"Knows of","real Barbeau","brother of ""Yaw'l"" who killed ""Huge-Belly""","0","""The myth of the Dragon-Fly.""","670","679"
141,"Knows of","real Barbeau","""Ksemkaigyet"" (""female being"")","0","""The myth of the Dragon-Fly.""","670","679"
142,"Knows","real Barbeau","Nisg̱a’a","1","""The myth of the Dragon-Fly.""","670","679"
143,"Exchange","""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""","1","""The myth of the Dragon-Fly.""","670","679"
144,"Exchange","""Yaw'l"" (Laxgibuu)","brothers of ""Yaw'l"" (Laxgibuu)","1","""The myth of the Dragon-Fly.""","670","679"
145,"Exchange","brothers of ""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""","1","""The myth of the Dragon-Fly.""","670","679"
146,"Exchange","""Yaw'l"" (Laxgibuu)","""Huge-Belly""","1","""The myth of the Dragon-Fly.""","670","679"
147,"Exchange","""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")","1","""The myth of the Dragon-Fly.""","670","679"
148,"Knows","""Yaw'l"" (Laxgibuu)","Nisg̱a’a","1","""The myth of the Dragon-Fly.""","670","679"
149,"Exchange","brother of ""Yaw'l"" who killed ""Huge-Belly""","""Huge-Belly""","1","""The myth of the Dragon-Fly.""","670","679"
150,"Exchange","brother of ""Yaw'l"" who killed ""Huge-Belly""","""Ksemkaigyet"" (""female being"")","1","""The myth of the Dragon-Fly.""","670","679"
