
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"773","Exchange","Evelina Harp","Corwin Peace","1","Sister Godzilla","47","47"
"776","Knows","Evelina Harp","Other Children (in school with Evelina)","1","Sister Godzilla","47","47"
"780","Exchange","Evelina Harp","Sister Mary Anita Buckendorf","1","Sister Godzilla","48","53"
"782","Knows","Evelina Harp","Other Teachers (at Evelina's school)","1","Sister Godzilla","48","48"
"783","Knows","Evelina Harp","Corwin Peace","1","Sister Godzilla","48","48"
"786","Exchange","Evelina Harp","Other Children (in school with Evelina)","1","Sister Godzilla","48","49"
"787","Knows","Evelina Harp","Edward Harp","1","Sister Godzilla","49","49"
"791","Exchange","Evelina Harp","Corwin Peace","1","Sister Godzilla","49","49"
"792","Knows","Evelina Harp","Uncle Whitey","1","Sister Godzilla","49","49"
"793","Knows","Evelina Harp","Father Cassidy","1","Sister Godzilla","49","49"
"794","Knows of","Evelina Harp","God","0","Sister Godzilla","50","50"
"795","Knows","Evelina Harp","Clemence Harp","1","Sister Godzilla","51","51"
"799","Knows","Evelina Harp","Other Children (in school with Evelina)","1","Sister Godzilla","51","53"
"802","Exchange","Evelina Harp","Sister Mary Anita Buckendorf","1","Holy Track","54","54"
"804","Knows","Evelina Harp","Other Children (in school with Evelina)","1","Holy Track","54","54"
"805","Exchange","Evelina Harp","Clemence Harp","1","Holy Track","54","54"
"806","Exchange","Evelina Harp","Clemence Harp","1","Holy Track","55","55"
"809","Knows","Evelina Harp","Sister Mary Anita Buckendorf","1","Holy Track","55","56"
"810","Knows","Evelina Harp","Edward Harp","1","Holy Track","55","56"
"811","Knows","Evelina Harp","Octave Harp","1","Holy Track","55","55"
"814","Knows","Evelina Harp","Joseph Harp","1","Holy Track","55","57"
"815","Exchange","Evelina Harp","Seraph Milk (Mooshum)","1","Holy Track","55","57"
"818","Knows of","Evelina Harp","Emil Buckendorf","0","Holy Track","55","56"
"819","Knows of","Evelina Harp","People (Seraph inspects in the front yard)","0","Holy Track","56","56"
"826","Knows","Evelina Harp","Edward Harp","1","Holy Track","55","57"
"830","Knows of","Evelina Harp","Holy Track","1","The Boots","57","59"
