leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Roger Rabbit",,1,,175,0.0000,10.00,427,
"Roman Polanski",,1,,172,0.0000,10.00,428,
"Ronald Reagan",,1,,101,0.0000,10.00,429,
"Rose Bowl crowd",,1,,660,0.0000,10.00,430,
"Rossini",,1,,675,0.0000,10.00,431,
"Rubén Salazar",,1,,80,0.0000,10.00,432,
"Rush Limbaugh",,1,,508,0.0000,10.00,433,
"Saint Fernando",,1,,749,0.0000,10.00,434,
"Saints",,1,,656,0.0000,10.00,435,
"Sally Jesse Raphael",,1,,183,0.0000,10.00,436,
"Salvador Allende",,1,,647,0.0000,10.00,437,
"Sam S. Shubert",,1,,821,0.0000,10.00,438,
"Sammy (used to be an actor)",,1,,475,0.0000,10.00,439,
"Samuel Adams",,1,,820,0.0000,10.00,440,
"sanitary workers",,1,,205,0.0000,10.00,441,
"Santos Dumont",,1,,730,0.0000,10.00,443,
"Saratoga Sara",,1,,500,0.0000,10.00,444,
"Saratoga Sara's baby",,1,,501,0.0000,10.00,445,
"Satellite Dish men",,1,,222,0.0000,10.00,446,
"Scalpers",,1,,814,0.0000,10.00,447,
"Scientists",,1,,416,0.0000,10.00,448,
"Scottie Pippen",,1,,668,0.0000,10.00,449,
"Sebastian Viscaíno",,1,,135,0.0000,10.00,450,
"Second Baptist (Implied Church)",,1,,482,0.0000,10.00,451,
"Seji Ozawa",,1,,92,0.0000,10.00,452,
"semi truck driver",,1,,271,0.0000,10.00,453,
"several Republican presidential candidates",,1,,715,0.0000,10.00,454,
"Shaquille O'Neal",,1,,268,0.0000,10.00,455,
"Shubert crowd",,1,,683,0.0000,10.00,456,
"Simón Bolívar",,1,,644,0.0000,10.00,457,
"Sin Yang Chang",,1,,712,0.0000,10.00,458,
"Sin Yang Chang's wife",,1,,713,0.0000,10.00,459,
"Singaporean people (abstract)",,1,,426,0.0000,10.00,460,
"Singaporean Taggers",,1,,425,0.0000,10.00,461,
"Single fathers",,1,,327,0.0000,10.00,462,
"Sitting Bull",,1,,726,0.0000,10.00,463,
"smugglers",,1,,228,0.0000,10.00,464,
"Snoop Dogg",,1,,294,0.0000,10.00,465,
