,source,target,type,weight,startPage,category
363,15.0,94.0,Directed,1,33,Knows
364,15.0,60.0,Directed,1,33,Knows of
365,15.0,27.0,Directed,1,34,Knows
365,15.0,27.0,Directed,1,35,Knows
365,15.0,27.0,Directed,1,36,Knows
366,15.0,16.0,Directed,1,33,Knows
367,15.0,18.0,Directed,1,35,Exchange
367,15.0,18.0,Directed,1,36,Exchange
368,15.0,26.0,Directed,1,35,Knows of
369,15.0,128.0,Directed,1,35,Knows of
370,15.0,16.0,Directed,1,35,Knows
370,15.0,16.0,Directed,1,36,Knows
371,15.0,131.0,Directed,1,36,Knows
372,15.0,103.0,Directed,1,36,Knows
373,15.0,103.0,Directed,1,37,Exchange
373,15.0,103.0,Directed,1,38,Exchange
373,15.0,103.0,Directed,1,39,Exchange
373,15.0,103.0,Directed,1,40,Exchange
373,15.0,103.0,Directed,1,41,Exchange
374,15.0,9.0,Directed,1,37,Knows
375,15.0,95.0,Directed,1,37,Knows
376,15.0,,Directed,1,37,Knows
377,15.0,17.0,Directed,1,37,Exchange
377,15.0,17.0,Directed,1,38,Exchange
377,15.0,17.0,Directed,1,39,Exchange
378,15.0,94.0,Directed,1,38,Knows
379,15.0,40.0,Directed,1,40,Knows of
380,15.0,134.0,Directed,1,41,Knows
381,15.0,18.0,Directed,1,42,Knows
382,15.0,103.0,Directed,1,42,Knows
383,15.0,95.0,Directed,1,42,Knows
384,15.0,31.0,Directed,1,42,Knows of
385,16.0,15.0,Directed,1,7,Exchange
386,16.0,15.0,Directed,1,8,Knows
387,16.0,17.0,Directed,1,8,Knows
388,16.0,19.0,Directed,1,9,Knows
389,16.0,3.0,Directed,1,10,Exchange
390,16.0,18.0,Directed,1,10,Knows
391,16.0,18.0,Directed,1,19,Knows
392,16.0,17.0,Directed,1,19,Knows
393,16.0,18.0,Directed,1,19,Knows
394,16.0,17.0,Directed,1,19,Knows
395,16.0,18.0,Directed,1,21,Knows
396,16.0,92.0,Directed,1,21,Knows of
397,16.0,93.0,Directed,1,21,Knows of
398,16.0,94.0,Directed,1,21,Knows of
399,16.0,34.0,Directed,1,22,Knows
