,Char 2 ID,Char 1 ID,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
71,16.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,351,Knows,Evelina Harp,Clemence Harp,1,Mustache Maude,19,19,
72,19.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,354,Knows,Evelina Harp,Geraldine Milk,1,Mustache Maude,19,19,
73,20.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,357,Knows,Evelina Harp,Uncle Whitey,1,Mustache Maude,19,19,
74,86.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,360,Knows of,Evelina Harp,Seraph and Junesse's other children,0,Mustache Maude,19,19,
75,18.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,362,Knows,Evelina Harp,Edward Harp,1,Mustache Maude,19,19,
76,17.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,363,Knows,Evelina Harp,Joseph Harp,1,Mustache Maude,19,19,
77,43.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],366,Knows of,Evelina Harp,Ott Black,0,Story,19,19,
78,42.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],367,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Story,19,19,
79,15.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],370,Knows,Evelina Harp,Seraph Milk (Mooshum),1,Story,19,19,
80,87.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],373,Knows of,Evelina Harp,Chief Gall,0,Story,19,19,
81,73.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],375,Knows of,Evelina Harp,Man (that Ott shot in the leg),0,Story,19,19,
82,88.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],379,Knows of,Evelina Harp,Carpenter (Joseph),0,Story,19,19,
83,89.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],380,Knows of,Evelina Harp,Carpenter's Wife,0,Story,19,19,
84,90.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],381,Knows of,Evelina Harp,Carpenter's Wife's Son,0,Story,19,19,
85,18.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],382,Knows,Evelina Harp,Edward Harp,1,Story,19,19,
86,17.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],383,Knows,Evelina Harp,Joseph Harp,1,Story,19,19,
87,16.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],384,Knows,Evelina Harp,Clemence Harp,1,Story,19,19,
88,91.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],392,Knows of,Evelina Harp,"The ""black-haired"" Stooge",0,Story,19,19,
89,34.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],394,Knows,Evelina Harp,Junesse Malaterre,0,Story,19,19,
90,31.0,3.0,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],395,Exchange,Evelina Harp,Corwin Peace,1,Story,20,20,
91,92.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],396,Knows of,Evelina Harp,John F. Kennedy,0,A Little Nip,21,21,
92,93.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],397,Knows of,Evelina Harp,Pope John XXII,0,A Little Nip,21,21,
93,94.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],398,Knows of,Evelina Harp,Louis Riel,0,A Little Nip,21,21,
93,94.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],398,Knows of,Evelina Harp,Louis Riel,0,A Little Nip,22,22,
94,16.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],400,Knows,Evelina Harp,Clemence Harp,1,A Little Nip,21,21,
95,18.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],401,Knows,Evelina Harp,Edward Harp,1,A Little Nip,21,21,
96,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],431,Knows,Evelina Harp,Seraph Milk (Mooshum),1,A Little Nip,21,21,
96,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],431,Knows,Evelina Harp,Seraph Milk (Mooshum),1,A Little Nip,22,22,
96,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],431,Knows,Evelina Harp,Seraph Milk (Mooshum),1,A Little Nip,23,23,
96,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],431,Knows,Evelina Harp,Seraph Milk (Mooshum),1,A Little Nip,24,24,
96,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],431,Knows,Evelina Harp,Seraph Milk (Mooshum),1,A Little Nip,25,25,
96,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],431,Knows,Evelina Harp,Seraph Milk (Mooshum),1,A Little Nip,26,26,
96,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],431,Knows,Evelina Harp,Seraph Milk (Mooshum),1,A Little Nip,27,27,
96,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],431,Knows,Evelina Harp,Seraph Milk (Mooshum),1,A Little Nip,28,28,
97,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],432,Knows,Evelina Harp,Shamengwa Milk,1,A Little Nip,21,21,
97,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],432,Knows,Evelina Harp,Shamengwa Milk,1,A Little Nip,22,22,
97,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],432,Knows,Evelina Harp,Shamengwa Milk,1,A Little Nip,23,23,
97,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],432,Knows,Evelina Harp,Shamengwa Milk,1,A Little Nip,24,24,
97,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],432,Knows,Evelina Harp,Shamengwa Milk,1,A Little Nip,25,25,
97,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],432,Knows,Evelina Harp,Shamengwa Milk,1,A Little Nip,26,26,
97,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],432,Knows,Evelina Harp,Shamengwa Milk,1,A Little Nip,27,27,
97,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],432,Knows,Evelina Harp,Shamengwa Milk,1,A Little Nip,28,28,
98,9.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],433,Knows of,Evelina Harp,Severine Milk,0,A Little Nip,21,21,
98,9.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],433,Knows of,Evelina Harp,Severine Milk,0,A Little Nip,22,22,
99,96.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],434,Knows of,Evelina Harp,Joseph Milk (Seraph Milk's Father),0,A Little Nip,21,21,
99,96.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],434,Knows of,Evelina Harp,Joseph Milk (Seraph Milk's Father),0,A Little Nip,22,22,
100,95.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],435,Knows of,Evelina Harp,Seraph Milk's Mother,0,A Little Nip,21,21,
101,97.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],436,Knows of,Evelina Harp,Louis Riel's Wife,0,A Little Nip,21,21,
102,98.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],437,Knows of,Evelina Harp,Louis Riel's Child,0,A Little Nip,21,21,
103,99.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],438,Knows of,Evelina Harp,Louis Riel's Lieutenants,0,A Little Nip,21,21,
104,100.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],439,Knows of,Evelina Harp,Priests (who threatened Louis Riel's followers),0,A Little Nip,21,21,
104,100.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],439,Knows of,Evelina Harp,Priests (who threatened Louis Riel's followers),0,A Little Nip,22,22,
105,101.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],440,Knows of,Evelina Harp,Baby (that the Milk family lost),0,A Little Nip,21,21,
106,16.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],442,Knows,Evelina Harp,Clemence Harp,1,A Little Nip,22,22,
