,Char 2 ID,Char 1 ID,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
2098,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],704,Knows,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,36,36,369.0
2099,16.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],704,Knows,Evelina Harp,Clemence Harp,0,A Little Nip,35,35,1132.0
2099,16.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],704,Knows,Evelina Harp,Clemence Harp,0,A Little Nip,36,36,1132.0
2100,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],705,Knows,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,36,36,1133.0
2101,131.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],705,Knows,Evelina Harp,Mrs. Bannock,0,A Little Nip,36,36,370.0
2102,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],706,Knows,Evelina Harp,Evelina Harp,0,A Little Nip,36,36,147.0
2103,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],706,Knows,Evelina Harp,Shamengwa Milk,0,A Little Nip,36,36,910.0
2104,16.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],708,Knows,Evelina Harp,Clemence Harp,0,A Little Nip,36,36,412.0
2105,18.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],708,Knows,Evelina Harp,Edward Harp,0,A Little Nip,36,36,1175.0
2106,16.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],709,Knows,Evelina Harp,Clemence Harp,0,A Little Nip,36,36,1176.0
2107,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],709,Knows,Evelina Harp,Joseph Harp,0,A Little Nip,36,36,413.0
2108,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],710,Knows,Evelina Harp,Evelina Harp,0,A Little Nip,36,36,911.0
2109,19.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],710,Knows,Evelina Harp,Geraldine Milk,0,A Little Nip,36,36,148.0
2110,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],711,Knows of,Evelina Harp,Evelina Harp,0,A Little Nip,36,36,912.0
2111,132.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],711,Knows of,Evelina Harp,Shamengwa's Wife,0,A Little Nip,36,36,149.0
2112,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],712,Knows,Evelina Harp,Shamengwa Milk,0,A Little Nip,36,36,1396.0
2113,132.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],712,Knows,Evelina Harp,Shamengwa's Wife,0,A Little Nip,36,36,633.0
2114,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],713,Knows,Evelina Harp,Evelina Harp,0,A Little Nip,36,36,913.0
2114,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],713,Knows,Evelina Harp,Evelina Harp,0,A Little Nip,37,37,913.0
2114,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],713,Knows,Evelina Harp,Evelina Harp,0,A Little Nip,38,38,913.0
2115,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],713,Knows,Evelina Harp,Father Cassidy,0,A Little Nip,36,36,150.0
2115,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],713,Knows,Evelina Harp,Father Cassidy,0,A Little Nip,37,37,150.0
2115,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],713,Knows,Evelina Harp,Father Cassidy,0,A Little Nip,38,38,150.0
2116,16.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],714,Knows,Evelina Harp,Clemence Harp,0,A Little Nip,36,36,1177.0
2117,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],714,Knows,Evelina Harp,Father Cassidy,0,A Little Nip,36,36,414.0
2118,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],715,Knows,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,36,36,371.0
2119,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],715,Knows,Evelina Harp,Father Cassidy,0,A Little Nip,36,36,1134.0
2120,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],716,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,36,36,441.0
2120,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],716,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,37,37,441.0
2121,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],716,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,36,36,1204.0
2121,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],716,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,37,37,1204.0
2122,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],717,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,37,37,1205.0
2122,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],717,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,38,38,1205.0
2122,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],717,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,39,39,1205.0
2123,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],717,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,37,37,442.0
2123,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],717,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,38,38,442.0
2123,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],717,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,39,39,442.0
2124,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],718,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,37,37,914.0
2124,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],718,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,38,38,914.0
2124,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],718,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,39,39,914.0
2125,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],718,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,37,37,151.0
2125,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],718,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,38,38,151.0
2125,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],718,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,39,39,151.0
2126,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],719,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,37,37,372.0
2126,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],719,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,38,38,372.0
2126,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],719,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,39,39,372.0
2126,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],719,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,40,40,372.0
2126,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],719,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,41,41,372.0
2127,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],719,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,37,37,1135.0
2127,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],719,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,38,38,1135.0
2127,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],719,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,39,39,1135.0
2127,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],719,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,40,40,1135.0
2127,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],719,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,41,41,1135.0
2128,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],720,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,37,37,634.0
2128,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],720,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,38,38,634.0
2128,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],720,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,39,39,634.0
2128,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],720,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,40,40,634.0
2128,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],720,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,41,41,634.0
2129,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],720,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,37,37,1397.0
2129,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],720,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,38,38,1397.0
2129,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],720,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,39,39,1397.0
2129,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],720,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,40,40,1397.0
2129,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],720,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,41,41,1397.0
2130,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],721,Knows,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,37,37,1136.0
2131,9.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],721,Knows,Evelina Harp,Severine Milk,0,A Little Nip,37,37,373.0
2132,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],722,Knows,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,37,37,1137.0
2133,95.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],722,Knows,Evelina Harp,Seraph Milk's Mother,0,A Little Nip,37,37,374.0
2134,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],723,Knows,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,37,37,375.0
2135,,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],723,Knows,Evelina Harp,Seraph Milk's Father,0,A Little Nip,37,37,1138.0
2136,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],724,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,37,37,915.0
2136,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],724,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,38,38,915.0
2136,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],724,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,39,39,915.0
2136,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],724,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,40,40,915.0
2137,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],724,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,37,37,152.0
2137,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],724,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,38,38,152.0
2137,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],724,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,39,39,152.0
2137,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],724,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,40,40,152.0
2138,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],725,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,37,37,635.0
2138,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],725,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,38,38,635.0
2138,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],725,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,39,39,635.0
2138,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],725,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,40,40,635.0
2138,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],725,Exchange,Evelina Harp,Shamengwa Milk,0,A Little Nip,41,41,635.0
2139,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],725,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,37,37,1398.0
2139,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],725,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,38,38,1398.0
2139,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],725,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,39,39,1398.0
2139,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],725,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,40,40,1398.0
2139,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],725,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,41,41,1398.0
2140,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],726,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,37,37,153.0
2140,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],726,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,38,38,153.0
2140,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],726,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,39,39,153.0
2140,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],726,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,40,40,153.0
2140,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],726,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,41,41,153.0
2140,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],726,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,42,42,153.0
2141,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],726,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,37,37,916.0
2141,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],726,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,38,38,916.0
2141,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],726,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,39,39,916.0
2141,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],726,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,40,40,916.0
2141,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],726,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,41,41,916.0
2141,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],726,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,42,42,916.0
2142,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],727,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,37,37,1139.0
2142,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],727,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,38,38,1139.0
2142,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],727,Exchange,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,39,39,1139.0
2143,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],727,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,37,37,376.0
2143,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],727,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,38,38,376.0
2143,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],727,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,39,39,376.0
2144,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],728,Knows of,Evelina Harp,Evelina Harp,0,A Little Nip,38,38,154.0
2145,94.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],728,Knows of,Evelina Harp,Louis Riel,0,A Little Nip,38,38,917.0
2146,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],729,Knows,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,38,38,377.0
2147,94.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],729,Knows,Evelina Harp,Louis Riel,0,A Little Nip,38,38,1140.0
2148,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],730,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,38,38,1206.0
2148,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],730,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,39,39,1206.0
2148,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],730,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,40,40,1206.0
2148,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],730,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,41,41,1206.0
2149,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],730,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,38,38,443.0
2149,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],730,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,39,39,443.0
2149,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],730,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,40,40,443.0
2149,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],730,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,41,41,443.0
2150,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],731,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,39,39,918.0
2150,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],731,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,40,40,918.0
2150,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],731,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,41,41,918.0
2150,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],731,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,42,42,918.0
2151,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],731,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,39,39,155.0
2151,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],731,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,40,40,155.0
2151,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],731,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,41,41,155.0
2151,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],731,Exchange,Evelina Harp,Father Cassidy,0,A Little Nip,42,42,155.0
2152,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],732,Knows of,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,40,40,1141.0
2153,40.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],732,Knows of,Evelina Harp,Christ,0,A Little Nip,40,40,378.0
2154,103.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],733,Knows,Evelina Harp,Father Cassidy,0,A Little Nip,40,40,741.0
2155,40.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],733,Knows,Evelina Harp,Christ,0,A Little Nip,40,40,1504.0
2156,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],734,Knows of,Evelina Harp,Evelina Harp,0,A Little Nip,40,40,919.0
2157,40.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],734,Knows of,Evelina Harp,Christ,0,A Little Nip,40,40,156.0
2158,17.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],735,Exchange,Evelina Harp,Joseph Harp,0,A Little Nip,41,41,1207.0
2159,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],735,Exchange,Evelina Harp,Evelina Harp,0,A Little Nip,41,41,444.0
2160,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],736,Knows,Evelina Harp,Evelina Harp,0,A Little Nip,41,41,920.0
2160,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],736,Knows,Evelina Harp,Evelina Harp,0,A Little Nip,42,42,920.0
2161,16.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],736,Knows,Evelina Harp,Clemence Harp,0,A Little Nip,41,41,157.0
2161,16.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],736,Knows,Evelina Harp,Clemence Harp,0,A Little Nip,42,42,157.0
2162,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],737,Knows of,Evelina Harp,Evelina Harp,0,A Little Nip,41,41,158.0
2163,75.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],737,Knows of,Evelina Harp,Satan,0,A Little Nip,41,41,921.0
2164,15.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],738,Knows,Evelina Harp,Seraph Milk (Mooshum),0,A Little Nip,41,41,1142.0
2165,134.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],738,Knows,Evelina Harp,"Seraph and Shamengwa's ""cronies""",0,A Little Nip,41,41,379.0
2166,61.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],739,Knows,Evelina Harp,Shamengwa Milk,0,A Little Nip,41,41,1399.0
2167,134.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],739,Knows,Evelina Harp,"Seraph and Shamengwa's ""cronies""",0,A Little Nip,41,41,636.0
2168,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],740,Knows of,Evelina Harp,Evelina Harp,0,A Little Nip,41,41,922.0
2169,134.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],740,Knows of,Evelina Harp,"Seraph and Shamengwa's ""cronies""",0,A Little Nip,41,41,159.0
2170,3.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],741,Knows of,Evelina Harp,Evelina Harp,0,A Little Nip,36,36,160.0
2171,75.0,3.0,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],741,Knows of,Evelina Harp,Satan,0,A Little Nip,36,36,923.0
