label,width,height,font_size,label_radius
sheriff's men,499.20,76.80,64.0,252.54
Silas,153.00,61.20,51.0,82.39
Sister Davis,259.20,43.20,36.0,131.39
Sister Harris,280.80,43.20,36.0,142.05
Sister James,266.40,44.40,37.0,135.04
Sister James' Boy,255.00,30.00,25.0,128.38
Sister Jeff,336.60,61.20,51.0,171.06
small black woman with coffee,435.00,30.00,25.0,218.02
Smith,228.00,91.20,76.0,122.78
Soldier at door (86),312.00,31.20,26.0,156.78
Soldier in boat 1 (85),382.80,34.80,29.0,192.19
Soldier in boat 2 (85),396.00,36.00,30.0,198.82
soldier in boat 4 (95),382.80,34.80,29.0,192.19
Soldier on bannister 2,462.00,42.00,35.0,231.95
Soldier on other end of telephone (93),570.00,30.00,25.0,285.39
Soldier saying halt (114),375.00,30.00,25.0,188.10
Soldier talking to colonel (101),480.00,30.00,25.0,240.47
Soldier who stops Mann ( 90),520.80,37.20,31.0,261.06
soldier with blanket (114),390.00,30.00,25.0,195.58
soldiers on the grass (113),405.00,30.00,25.0,203.05
Sue,250.20,166.80,139.0,150.35
Sue's mother,180.00,30.00,25.0,91.24
Sue’s husband,195.00,30.00,25.0,98.65
Sug,52.20,34.80,29.0,31.37
tall man with crowbar (sheriff's man),599.40,32.40,27.0,300.14
Taylor,864.00,288.00,240.0,455.37
Taylor's congregation,1159.20,110.40,92.0,582.22
Taylor's father,216.00,28.80,24.0,108.96
Taylor's mother,216.00,28.80,24.0,108.96
The Baby,278.40,69.60,58.0,143.48
the Devil,140.40,31.20,26.0,71.91
The four soldiers (including Charley),843.60,45.60,38.0,422.42
The Heartfield Family,352.80,33.60,28.0,177.20
The Ku Klux Klan,230.40,28.80,24.0,116.10
The Librarian,187.20,28.80,24.0,94.70
The maid with Richard,315.00,30.00,25.0,158.21
The maid's baby,216.00,28.80,24.0,108.96
the police,216.00,43.20,36.0,110.14
The Pope,115.20,28.80,24.0,59.37
the Reds,216.00,54.00,45.0,111.32
The Republican Party,288.00,28.80,24.0,144.72
Tim (sheriff's man),501.60,52.80,44.0,252.19
Tom,50.40,33.60,28.0,30.29
townspeople (FC),268.80,33.60,28.0,135.45
Two white nurses rolling stretcher,530.40,31.20,26.0,265.66
U.S. Government (abstract),421.20,32.40,27.0,211.22
U.S. Military,195.00,30.00,25.0,98.65
Ulysses S. Grant,230.40,28.80,24.0,116.10
unnamed women (Lynch Mob),360.00,28.80,24.0,180.58
