label,width,height,font_size,label_radius
Emi's Cousin,180.00,30.00,25.0,91.24
Emi's Father,208.80,34.80,29.0,105.84
Emi's Internet Lover,300.00,30.00,25.0,150.75
Emi's Mother,230.40,38.40,32.0,116.79
Emi's nibling(s),240.00,30.00,25.0,120.93
Emi's Siblings,218.40,31.20,26.0,110.31
Emi's sister,180.00,30.00,25.0,91.24
Emi's technicians,255.00,30.00,25.0,128.38
Emiliano Zapata,234.00,31.20,26.0,118.04
Environmental experts,315.00,30.00,25.0,158.21
Environmentalists,244.80,28.80,24.0,123.24
Esa-Pekka Solanen,255.00,30.00,25.0,128.38
Ethnically Ambiguous woman,390.00,30.00,25.0,195.58
ethnically Ambiguous woman's hypothetical parents,735.00,30.00,25.0,367.81
Eugene M. Bradley,255.00,30.00,25.0,128.38
Eva Péron,140.40,31.20,26.0,71.91
Evelyn,93.60,31.20,26.0,49.33
fan 1,75.00,30.00,25.0,40.39
fan 2,75.00,30.00,25.0,40.39
fan 2's mom,165.00,30.00,25.0,83.85
Fats Domino,158.40,28.80,24.0,80.50
FBI Agents,150.00,30.00,25.0,76.49
FCC,45.00,30.00,25.0,27.04
FDA Investigators,255.00,30.00,25.0,128.38
Federal Politicians,273.60,28.80,24.0,137.56
Ferdinand Magellan,259.20,28.80,24.0,130.40
Fidel Castro,180.00,30.00,25.0,91.24
Folks in the bridge rafters,405.00,30.00,25.0,203.05
Former guest from Japan,358.80,31.20,26.0,180.08
Forum crowd,171.60,31.20,26.0,87.21
Francisco de Morazán,288.00,28.80,24.0,144.72
Frank (KPFK The Car Show),390.00,31.20,26.0,195.62
freedom fighters,230.40,28.80,24.0,116.10
Frida Kahlo,171.60,31.20,26.0,87.21
Fujimori,120.00,30.00,25.0,61.85
Gabriel Balboa,2016.00,288.00,240.0,1018.23
Gabriel Balboa's family,345.00,30.00,25.0,173.15
Gabriel Balboa's friends,360.00,30.00,25.0,180.62
Gabriel Balboa's mother,358.80,31.20,26.0,180.08
Gabriel Balboa's mother's priest,480.00,30.00,25.0,240.47
Gabriel Garcia Márquez,330.00,30.00,25.0,165.68
Gabriel's Cousin Joe,300.00,30.00,25.0,150.75
Gabriel's Friends,255.00,30.00,25.0,128.38
Gabriel's Grandfather,340.20,32.40,27.0,170.87
