leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Tolik",,1,,287,0.0000,10.00,221,
"tourists (generally)",,1,,64,0.0000,10.00,222,
"Travis Walton",,1,,91,0.0000,10.00,223,
"Travis Walton's Friends",,1,,228,0.0000,10.00,224,
"two cousins",,1,,352,0.0000,10.00,225,
"two other woman (212)",,1,,332,0.0000,10.00,226,
"Valentina's ""peers""",,1,,103,0.0000,10.00,228,
"Valentina's colleagues",,1,,142,0.0000,10.00,229,
"Valentina's father (53)",,1,,123,0.0000,10.00,230,
"Valentina's grandmother (49)",,1,,115,0.0000,10.00,231,
"Valentina's Husband (name?)",,1,,48,0.0000,10.00,232,
"Valentina's mother (49)",,1,,116,0.0000,10.00,233,
"Vandals",,1,,286,0.0000,10.00,234,
"Vanya",,1,,322,0.0000,10.00,235,
"Virgin Mary",,1,,345,0.0000,10.00,236,
"Volodya",,1,,295,0.0000,10.00,237,
"volunteer (221)",,1,,361,0.0000,10.00,238,
"Watson",,1,,380,0.0000,10.00,239,
"Yegor's Friends",,1,,350,0.0000,10.00,240,
"Yegor's uncle",,1,,288,0.0000,10.00,241,
"Zoya's Coworkers (174)",,1,,282,0.0000,10.00,243,
"Zoya's first boyfriend",,1,,372,0.0000,10.00,244,
"Zoya's Mother",,1,,370,0.0000,10.00,245,
"Zoya's Mother's Partner",,1,,369,0.0000,10.00,246,
