id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
436,"Knows","""girl"" (red-haired eastern Coaster)","""boy"" (red-haired girl's relative)","1","11: Damaya at the fulcrum of it all","206","206"
437,"Exchange","Damaya","""boy"" (tiny Equatorial)","1","11: Damaya at the fulcrum of it all","206","206"
438,"Exchange","""boy"" (tiny Equatorial)","Carnelian","1","11: Damaya at the fulcrum of it all","206","206"
439,"Knows","Damaya","Maxixe","1","11: Damaya at the fulcrum of it all","207","207"
440,"Knows","Damaya","Jasper","1","11: Damaya at the fulcrum of it all","207","211"
441,"Knows","Maxixe","Jasper","1","11: Damaya at the fulcrum of it all","207","207"
442,"Exchange","Carnelian","Maxixe","1","11: Damaya at the fulcrum of it all","207","207"
443,"Knows","Carnelian","Jasper","1","11: Damaya at the fulcrum of it all","207","207"
444,"Knows","Jasper","Crack","1","11: Damaya at the fulcrum of it all","207","207"
445,"Knows","Damaya","Crack","1","11: Damaya at the fulcrum of it all","208","208"
446,"Exchange","Crack","Jasper","1","11: Damaya at the fulcrum of it all","208","208"
447,"Knows","Crack","Cleaner (Jasper bought liquor from)","1","11: Damaya at the fulcrum of it all","208","208"
448,"Knows","Jasper","Cleaner (Jasper bought liquor from)","1","11: Damaya at the fulcrum of it all","208","208"
449,"Knows","Jasper","Jasper's mother","1","11: Damaya at the fulcrum of it all","208","208"
450,"Knows","Damaya","Grits (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","208","211"
451,"Knows","Damaya","Carnelian","1","11: Damaya at the fulcrum of it all","208","210"
452,"Knows","Grits (in the Fulcrum)","Carnelian","1","11: Damaya at the fulcrum of it all","208","208"
453,"Exchange","Carnelian","Crack","1","11: Damaya at the fulcrum of it all","209","210"
454,"Exchange","Carnelian","Jasper","1","11: Damaya at the fulcrum of it all","209","210"
455,"Exchange","Carnelian","Maxixe","1","11: Damaya at the fulcrum of it all","209","210"
456,"Knows","Crack","Jasper","1","11: Damaya at the fulcrum of it all","209","210"
457,"Knows","Crack","Maxixe","1","11: Damaya at the fulcrum of it all","209","210"
458,"Knows","Jasper","Maxixe","1","11: Damaya at the fulcrum of it all","209","210"
459,"Exchange","Damaya","Crack","1","11: Damaya at the fulcrum of it all","209","210"
460,"Knows","Crack","""instructors"" (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","209","209"
461,"Knows","Damaya","""instructors"" (in the Fulcrum)","1","11: Damaya at the fulcrum of it all","210","210"
462,"Exchange","Damaya","""girl"" (pushed Damaya in the shower)","1","11: Damaya at the fulcrum of it all","210","210"
463,"Knows","Damaya","Maxixe","1","11: Damaya at the fulcrum of it all","211","211"
464,"Exchange","Damaya","Carnelian","1","11: Damaya at the fulcrum of it all","211","211"
465,"Knows","Damaya","Crack","1","11: Damaya at the fulcrum of it all","211","211"
466,"Exchange","Syenite","Asael Leadership Allia","1","12: Syenite finds a new toy","212","217"
