
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"329","Knows of","Opal Viola Victoria Bear Shield","The white men","0","Opal Viola Victoria Bear Shield (I)","46","46"
"368","Knows","Opal Viola Victoria Bear Shield","Opal Viola Victoria Bear Shield's Father","1","Jacquie Red Feather (I)","99","99"
"373","Knows","Opal Viola Victoria Bear Shield","Victoria (Vicky)","1","Jacquie Red Feather (I)","99","100"
"375","Exchange","Opal Viola Victoria Bear Shield","""the kids in school""","1","Opal Viola Victoria Bear Shield (I)","46","46"
"376","Knows","Opal Viola Victoria Bear Shield","""guys in military uniforms""","1","Opal Viola Victoria Bear Shield (I)","49","49"
"379","Knows of","Opal Viola Victoria Bear Shield","""younger men"" (who tend to the fire)","1","Opal Viola Victoria Bear Shield (I)","49","49"
"381","Knows of","Opal Viola Victoria Bear Shield","""two big old Indian women""","1","Opal Viola Victoria Bear Shield (I)","49","49"
"384","Knows of","Opal Viola Victoria Bear Shield","""group of teenagers""","1","Opal Viola Victoria Bear Shield (I)","50","50"
"387","Knows","Opal Viola Victoria Bear Shield","""the adults""","1","Opal Viola Victoria Bear Shield (I)","50","50"
"389","Exchange","Opal Viola Victoria Bear Shield","Victoria (Vicky)","1","Opal Viola Victoria Bear Shield (I)","50","50"
"390","Exchange","Opal Viola Victoria Bear Shield","Two Shoes","1","Opal Viola Victoria Bear Shield (I)","50","52"
"391","Knows","Opal Viola Victoria Bear Shield","""group of teenagers""","1","Opal Viola Victoria Bear Shield (I)","50","50"
"392","Knows","Opal Viola Victoria Bear Shield","Jacquie Red Feather","1","Opal Viola Victoria Bear Shield (I)","50","50"
"395","Knows","Opal Viola Victoria Bear Shield","Creator","1","Opal Viola Victoria Bear Shield (I)","51","51"
"396","Knows of","Opal Viola Victoria Bear Shield","""Pig-brained men""","0","Opal Viola Victoria Bear Shield (I)","51","51"
"398","Knows of","Opal Viola Victoria Bear Shield","Columbus","0","Opal Viola Victoria Bear Shield (I)","51","51"
"400","Knows of","Opal Viola Victoria Bear Shield","Teddy Roosevelt","0","Opal Viola Victoria Bear Shield (I)","51","51"
"443","Knows","Opal Viola Victoria Bear Shield","The Indians","1","Opal Viola Victoria Bear Shield (I)","51","51"
"444","Knows","Opal Viola Victoria Bear Shield","Victoria (Vicky)","1","Opal Viola Victoria Bear Shield (I)","52","52"
"447","Knows of","Opal Viola Victoria Bear Shield","Teddy Roosevelt","0","Opal Viola Victoria Bear Shield (I)","52","52"
"449","Knows of","Opal Viola Victoria Bear Shield","old bear/bears in general","0","Opal Viola Victoria Bear Shield (I)","52","52"
"451","Exchange","Opal Viola Victoria Bear Shield","Jacquie Red Feather","1","Opal Viola Victoria Bear Shield (I)","52","53"
"453","Knows of","Opal Viola Victoria Bear Shield","Harvey","0","Opal Viola Victoria Bear Shield (I)","52","52"
"454","Exchange","Opal Viola Victoria Bear Shield","Rocky","1","Opal Viola Victoria Bear Shield (I)","53","54"
"458","Knows of","Opal Viola Victoria Bear Shield","Rocky's Dad","0","Opal Viola Victoria Bear Shield (I)","53","53"
"459","Knows of","Opal Viola Victoria Bear Shield","Harvey","0","Opal Viola Victoria Bear Shield (I)","53","53"
"464","Knows of","Opal Viola Victoria Bear Shield","U.S Government","0","Opal Viola Victoria Bear Shield (I)","53","53"
"466","Knows","Opal Viola Victoria Bear Shield","""group of teenagers""","1","Opal Viola Victoria Bear Shield (I)","53","53"
"467","Exchange","Opal Viola Victoria Bear Shield","Jacquie Red Feather","1","Opal Viola Victoria Bear Shield (I)","54","54"
"469","Knows","Opal Viola Victoria Bear Shield","""group of teenagers""","1","Opal Viola Victoria Bear Shield (I)","54","55"
"470","Knows of","Opal Viola Victoria Bear Shield","Police","0","Opal Viola Victoria Bear Shield (I)","54","54"
"472","Exchange","Opal Viola Victoria Bear Shield","""Older men"" (at Alcatraz)","1","Opal Viola Victoria Bear Shield (I)","54","55"
"474","Exchange","Opal Viola Victoria Bear Shield","Rocky","1","Opal Viola Victoria Bear Shield (I)","55","55"
"477","Knows","Opal Viola Victoria Bear Shield","Harvey","1","Opal Viola Victoria Bear Shield (I)","56","56"
"478","Knows","Opal Viola Victoria Bear Shield","Victoria (Vicky)","1","Opal Viola Victoria Bear Shield (I)","56","56"
"480","Exchange","Opal Viola Victoria Bear Shield","Victoria (Vicky)","1","Opal Viola Victoria Bear Shield (I)","57","58"
"482","Knows of","Opal Viola Victoria Bear Shield","U.S Government","0","Opal Viola Victoria Bear Shield (I)","57","58"
"484","Knows","Opal Viola Victoria Bear Shield","Two Shoes","1","Opal Viola Victoria Bear Shield (I)","58","58"
"492","Knows of","Opal Viola Victoria Bear Shield","Alcatraz","0","Opal Viola Victoria Bear Shield (I)","59","59"
"493","Exchange","Opal Viola Victoria Bear Shield","Jacquie Red Feather","1","Opal Viola Victoria Bear Shield (I)","59","60"
"494","Knows","Opal Viola Victoria Bear Shield","Victoria (Vicky)","1","Opal Viola Victoria Bear Shield (I)","59","59"
"497","Knows of","Opal Viola Victoria Bear Shield","Trickster Spider (Veho)","0","Jacquie Red Feather (I)","106","106"
"509","Knows","Opal Viola Victoria Bear Shield","Orvil Red Feather","1","Jacquie Red Feather (I)","106","107"
"510","Knows","Opal Viola Victoria Bear Shield","Lony Red Feather","1","Jacquie Red Feather (I)","106","107"
"511","Knows","Opal Viola Victoria Bear Shield","Loother Red Feather","1","Jacquie Red Feather (I)","106","107"
"514","Knows","Opal Viola Victoria Bear Shield","Victoria (Vicky)","1","Jacquie Red Feather (I)","107","107"
"521","Knows","Opal Viola Victoria Bear Shield","Alcatraz","0","Jacquie Red Feather (I)","108","108"
"523","Knows","Opal Viola Victoria Bear Shield","Orvil Red Feather","1","Jacquie Red Feather (I)","109","109"
"524","Knows","Opal Viola Victoria Bear Shield","Lony Red Feather","1","Jacquie Red Feather (I)","109","109"
"525","Knows","Opal Viola Victoria Bear Shield","Loother Red Feather","1","Jacquie Red Feather (I)","109","109"
"526","Knows","Opal Viola Victoria Bear Shield","Harvey","1","Jacquie Red Feather (I)","108","109"
"533","Knows","Opal Viola Victoria Bear Shield","Harvey","1","Opal Viola Victoria Bear Shield (I)","60","60"
"536","Knows of","Opal Viola Victoria Bear Shield","Adriana (60)","1","Opal Viola Victoria Bear Shield (I)","60","60"
"537","Knows of","Opal Viola Victoria Bear Shield","Adriana's brother (60)","0","Opal Viola Victoria Bear Shield (I)","60","60"
"541","Knows of","Opal Viola Victoria Bear Shield","""someone in west Oakland"" (abortion resource)","0","Opal Viola Victoria Bear Shield (I)","60","60"
"544","Knows","Opal Viola Victoria Bear Shield","Ronald","1","Opal Viola Victoria Bear Shield (I)","60","60"
"545","Knows","Opal Viola Victoria Bear Shield","Victoria (Vicky)","0","Opal Viola Victoria Bear Shield (I)","60","60"
"575","Knows","Opal Viola Victoria Bear Shield","Ronald","1","Jacquie Red Feather (I)","110","110"
"646","Knows","Opal Viola Victoria Bear Shield","Loother Red Feather","1","Jacquie Red Feather (I)","117","117"
"647","Knows","Opal Viola Victoria Bear Shield","Lony Red Feather","1","Jacquie Red Feather (I)","117","117"
"648","Knows","Opal Viola Victoria Bear Shield","Orvil Red Feather","1","Jacquie Red Feather (I)","117","117"
"653","Knows","Opal Viola Victoria Bear Shield","Jacquie Red Feather","1","Orvil Red Feather (I)","120","120"
"661","Knows","Opal Viola Victoria Bear Shield","Jamie Red Feather","1","Orvil Red Feather (I)","120","120"
