id,Name <br />(100 chars)_l,source,Name <br />(100 chars)_r,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
294,"""driver"" (in Naples)",66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],667,Exchange,Sasha,"""driver"" (in Naples)",1,"11 Good-bye, My Love",221,221,
295,"""college students"" (in Naples)",66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],673,Knows,Sasha,"""college students"" (in Naples)",0,"11 Good-bye, My Love",222,222,
179,Susan Hollander,66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],676,Knows,Sasha,Susan Hollander,1,"11 Good-bye, My Love",222,223,
186,Wade,66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],678,Knows,Sasha,Wade,1,"11 Good-bye, My Love",223,223,
196,The Pinheads (band),66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],679,Knows,Sasha,The Pinheads (band),0,"11 Good-bye, My Love",223,223,
296,"""doorman"" (in Naples)",66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],684,Knows,Sasha,"""doorman"" (in Naples)",1,"11 Good-bye, My Love",224,224,
178,Andy Grady (Sasha's father),66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],685,Knows,Sasha,Andy Grady (Sasha's father),1,"11 Good-bye, My Love",225,225,
210,"""bandy-legged old woman""",66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],707,Knows,Sasha,"""bandy-legged old woman""",1,"11 Good-bye, My Love",230,230,
213,Drew Blake,66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],715,Knows,Sasha,Drew Blake,1,"11 Good-bye, My Love",233,233,
177,Beth (Sasha's mother),66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],716,Knows,Sasha,Beth (Sasha's mother),1,"11 Good-bye, My Love",233,233,
211,Lincoln Blake,66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],718,Knows,Sasha,Lincoln Blake,1,"11 Good-bye, My Love",233,233,
140,Alison Blake,66,Sasha,101,"11 Good-bye, My Love",level 2 (sub-section),208,233,[NULL],Ted Hollander,[NULL],719,Knows,Sasha,Alison Blake,1,"11 Good-bye, My Love",233,233,
211,Lincoln Blake,66,Sasha,102,12 Great Rock and Roll Pauses By Alison Blake,level 2 (sub-section),234,308,Alison Blake,[NULL],Diary,798,Knows,Sasha,Lincoln Blake,1,12 Great Rock and Roll Pauses By Alison Blake,236,236,
213,Drew Blake,66,Sasha,102,12 Great Rock and Roll Pauses By Alison Blake,level 2 (sub-section),234,308,Alison Blake,[NULL],Diary,799,Knows,Sasha,Drew Blake,1,12 Great Rock and Roll Pauses By Alison Blake,236,236,
211,Lincoln Blake,66,Sasha,102,12 Great Rock and Roll Pauses By Alison Blake,level 2 (sub-section),234,308,Alison Blake,[NULL],Diary,819,Knows,Sasha,Lincoln Blake,1,12 Great Rock and Roll Pauses By Alison Blake,242,242,
140,Alison Blake,66,Sasha,102,12 Great Rock and Roll Pauses By Alison Blake,level 2 (sub-section),234,308,Alison Blake,[NULL],Diary,834,Exchange,Sasha,Alison Blake,1,12 Great Rock and Roll Pauses By Alison Blake,245,245,
211,Lincoln Blake,66,Sasha,102,12 Great Rock and Roll Pauses By Alison Blake,level 2 (sub-section),234,308,Alison Blake,[NULL],Diary,835,Exchange,Sasha,Lincoln Blake,1,12 Great Rock and Roll Pauses By Alison Blake,245,245,
221,David Bowie,66,Sasha,102,12 Great Rock and Roll Pauses By Alison Blake,level 2 (sub-section),234,308,Alison Blake,[NULL],Diary,836,Knows of,Sasha,David Bowie,0,12 Great Rock and Roll Pauses By Alison Blake,245,245,
140,Alison Blake,66,Sasha,102,12 Great Rock and Roll Pauses By Alison Blake,level 2 (sub-section),234,308,Alison Blake,[NULL],Diary,838,Exchange,Sasha,Alison Blake,1,12 Great Rock and Roll Pauses By Alison Blake,247,247,
211,Lincoln Blake,66,Sasha,102,12 Great Rock and Roll Pauses By Alison Blake,level 2 (sub-section),234,308,Alison Blake,[NULL],Diary,839,Exchange,Sasha,Lincoln Blake,1,12 Great Rock and Roll Pauses By Alison Blake,247,247,
220,Jimi Hendrix,66,Sasha,102,12 Great Rock and Roll Pauses By Alison Blake,level 2 (sub-section),234,308,Alison Blake,[NULL],Diary,840,Knows of,Sasha,Jimi Hendrix,0,12 Great Rock and Roll Pauses By Alison Blake,247,247,
