
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"898","Knows","Dene Oxendene","Norma","1","Dene Oxendene (II)","149","150"
"994","Knows of","Dene Oxendene","Ancestors","0","Dene Oxendene (II)","149","150"
"1180","Knows of","Dene Oxendene","Darren Aronofsky","0","Dene Oxendene (IV) (1)","239","239"
"1182","Knows","Dene Oxendene","Big Oakland Powwow","0","Dene Oxendene (IV) (1)","239","240"
"1184","Knows of","Dene Oxendene","People at the Powwow","0","Blue (IV) (1)","240","240"
"1185","Knows","Dene Oxendene","Powwow Committee","1","Dene Oxendene (IV) (1)","240","240"
"1466","Knows","Dene Oxendene","Big Oakland Powwow","0","Dene Oxendene (IV) (2)","269","270"
"1467","Exchange","Dene Oxendene","Calvin Johnson","1","Dene Oxendene (IV) (2)","270","270"
"1468","Exchange","Dene Oxendene","Tony Loneman","1","Dene Oxendene (IV) (2)","270","270"
"1469","Exchange","Dene Oxendene","Octavio Gomez","1","Dene Oxendene (IV) (2)","270","270"
"1695","Knows","Dene Oxendene","""men behind the bus""","0","Dene Oxendene (I)","35","35"
"198","Knows of","Maxine","Louise Erdrich","0","Tony Loneman (I)","20","21"
"288","Knows of","Maxine","The white men","0","Tony Loneman (I)","18","18"
"293","Knows of","Maxine","Texas Rangers","0","Tony Loneman (I)","24","24"
"295","Knows of","Maxine","Oakland Athletics","0","Tony Loneman (I)","24","24"
"316","Knows","Maxine","Lucas","1","Dene Oxendene (I)","34","34"
"1671","Knows of","Maxine","Optimus Prime","0","Tony Loneman (IV) (2)","289","290"
"430","Knows","Karen","Edwin Black","1","Bill Davis (II)","82","83"
"501","Knows of","Karen","""vet on the bus""","1","Bill Davis (II)","83","83"
"556","Knows","Karen","Bill Davis","1","Edwin Black (I)","64","64"
"564","Exchange","Karen","Edwin Black","1","Edwin Black (I)","67","67"
"678","Knows","Karen","Bill Davis","1","Edwin Black (I)","72","73"
"680","Knows","Karen","Bill Davis","1","Edwin Black (I)","75","75"
"682","Knows of","Karen","Big Oakland Powwow","0","Edwin Black (I)","76","76"
"1539","Knows of","Karen","Police Officers","1","Bill Davis (IV)","277","277"
"1540","Knows","Karen","Edwin Black","1","Bill Davis (IV)","276","276"
"1542","Knows of","Karen","Big Oakland Powwow","0","Bill Davis (IV)","276","277"
"346","Knows","Carlos","Octavio Gomez","1","Calvin Johnson (II) (1)","90","92"
"350","Knows of","Carlos","Calvin Johnson's Mom","0","Calvin Johnson (II) (1)","91","91"
"352","Exchange","Carlos","Octavio Gomez","1","Calvin Johnson (II) (1)","93","97"
"356","Knows","Carlos","Big Oakland Powwow","0","Calvin Johnson (II) (1)","95","96"
"408","Knows","Carlos","Daniel Gonzales","1","Calvin Johnson (II) (1)","95","95"
"409","Knows","Carlos","Manny Gonzales","1","Calvin Johnson (II) (1)","95","95"
"434","Knows of","Carlos","Sixto","0","Calvin Johnson (II) (1)","94","94"
"435","Exchange","Carlos","Tony Loneman","1","Calvin Johnson (II) (1)","96","96"
"505","Knows","Carlos","Sonny","1","Calvin Johnson (II) (1)","90","90"
"1334","Exchange","Carlos","Octavio Gomez","1","Calvin Johnson (IV) (1)","248","250"
"1337","Knows","Carlos","Waitress at Denny's","1","Calvin Johnson (IV) (1)","249","249"
"1341","Knows","Carlos","People at the Powwow","1","Calvin Johnson (IV) (1)","249","249"
"1351","Knows of","Carlos","Big Oakland Powwow","0","Calvin Johnson (IV) (1)","248","250"
"1355","Knows of","Carlos","Edwin Black","0","Calvin Johnson (IV) (1)","249","249"
"1356","Knows of","Carlos","Blue","0","Calvin Johnson (IV) (1)","249","249"
"1361","Knows","Carlos","Police Officers","0","Calvin Johnson (IV) (1)","249","249"
"1367","Knows of","Carlos","Powwow Committee","0","Calvin Johnson (IV) (1)","250","250"
"1402","Exchange","Carlos","Calvin Johnson","1","Octavio Gomez (IV) (1)","256","256"
"1463","Knows","Carlos","Big Oakland Powwow","0","Blue (IV) (2)","267","268"
"1497","Exchange","Carlos","Tony Loneman","1","Calvin Johnson (IV) (2)","272","273"
"1513","Knows","Carlos","Big Oakland Powwow","0","Calvin Johnson (IV) (2)","272","273"
"1526","Exchange","Carlos","Charles","1","Thomas Frank (IV) (2)","274","274"
"1531","Knows","Carlos","Big Oakland Powwow","0","Thomas Frank (IV) (2)","274","274"
"1556","Knows","Carlos","Big Oakland Powwow","0","Opal Viola Victoria Bear Shield (IV) (2)","278","278"
"1605","Knows","Carlos","Big Oakland Powwow","0","Jacquie Red Feather (IV) (2)","279","280"
"1661","Exchange","Carlos","Charles","1","Tony Loneman (IV) (2)","286","287"
"1666","Knows","Carlos","Big Oakland Powwow","0","Tony Loneman (IV) (2)","286","287"
"204","Knows","Octavio Gomez","Josefina","1","Tony Loneman (I)","22","22"
"211","Knows of","Octavio Gomez","Big Oakland Powwow","0","Tony Loneman (I)","24","24"
"213","Knows of","Octavio Gomez","Big Oakland Powwow","0","Tony Loneman (I)","25","26"
"355","Knows","Octavio Gomez","Big Oakland Powwow","0","Calvin Johnson (II) (1)","95","96"
"403","Knows","Octavio Gomez","Daniel Gonzales","1","Calvin Johnson (II) (1)","95","95"
"404","Knows","Octavio Gomez","Manny Gonzales","1","Calvin Johnson (II) (1)","95","95"
"432","Knows","Octavio Gomez","Sixto","1","Calvin Johnson (II) (1)","94","94"
"732","Exchange","Octavio Gomez","Josefina","1","Octavio Gomez (III)","171","173"
"733","Knows","Octavio Gomez","Octavio Gomez's Father","1","Octavio Gomez (III)","171","172"
"736","Knows","Octavio Gomez","Sixto","1","Octavio Gomez (III)","172","172"
"738","Knows of","Octavio Gomez","Josefina's Father","0","Octavio Gomez (III)","172","173"
"740","Knows of","Octavio Gomez","Josefina's Mother","0","Octavio Gomez (III)","172","173"
"745","Knows of","Octavio Gomez","Josefina's love interest","0","Octavio Gomez (III)","172","172"
"747","Knows of","Octavio Gomez","Josefina's Uncle","0","Octavio Gomez (III)","173","173"
"748","Knows","Octavio Gomez","Octavio Gomez's Father","1","Octavio Gomez (III)","174","174"
"749","Knows","Octavio Gomez","Junior","1","Octavio Gomez (III)","174","175"
"750","Knows","Octavio Gomez","Sixto","1","Octavio Gomez (III)","174","176"
"751","Knows","Octavio Gomez","Octavio Gomez's Mother","1","Octavio Gomez (III)","174","175"
"757","Exchange","Octavio Gomez","Josefina","1","Octavio Gomez (III)","175","175"
"761","Knows","Octavio Gomez","Sylvia","1","Octavio Gomez (III)","175","176"
"762","Exchange","Octavio Gomez","Manny Gonzales","1","Octavio Gomez (III)","175","178"
"763","Exchange","Octavio Gomez","Daniel Gonzales","1","Octavio Gomez (III)","175","178"
"764","Knows","Octavio Gomez","Manny & Daniel's Dad","1","Octavio Gomez (III)","175","176"
"902","Knows","Octavio Gomez","Sylvia","1","Octavio Gomez (III)","177","177"
"904","Knows","Octavio Gomez","Manny Gonzales","1","Octavio Gomez (III)","177","177"
"906","Exchange","Octavio Gomez","Manny & Daniel's Dad","1","Octavio Gomez (III)","177","177"
"909","Exchange","Octavio Gomez","Daniel Gonzales","1","Octavio Gomez (III)","178","178"
"910","Exchange","Octavio Gomez","Josefina","1","Octavio Gomez (III)","178","179"
"912","Knows","Octavio Gomez","Sixto","1","Octavio Gomez (III)","178","179"
"913","Knows","Octavio Gomez","Junior","1","Octavio Gomez (III)","178","180"
"914","Knows","Octavio Gomez","Octavio Gomez's Mother","1","Octavio Gomez (III)","178","180"
"917","Knows of","Octavio Gomez","Police Officers","0","Octavio Gomez (III)","178","178"
"920","Exchange","Octavio Gomez","Octavio Gomez's Father","1","Octavio Gomez (III)","179","180"
"921","Exchange","Octavio Gomez","A Bird","1","Octavio Gomez (III)","180","180"
"922","Exchange","Octavio Gomez","Sixto","1","Octavio Gomez (III)","180","183"
"924","Knows","Octavio Gomez","Octavio Gomez's Father","1","Octavio Gomez (III)","180","180"
"927","Knows","Octavio Gomez","Josefina","1","Octavio Gomez (III)","181","181"
"929","Knows of","Octavio Gomez","Octavio Gomez's Grandfather","1","Octavio Gomez (III)","181","181"
"930","Knows","Octavio Gomez","Octavio Gomez's Mother","0","Octavio Gomez (III)","182","182"
"931","Knows","Octavio Gomez","Junior","0","Octavio Gomez (III)","182","182"
"932","Exchange","Octavio Gomez","Josefina","1","Octavio Gomez (III)","183","186"
"933","Knows of","Octavio Gomez","Mario Brothers (Nintendo)","0","Octavio Gomez (III)","183","183"
"935","Exchange","Octavio Gomez","Badger","1","Octavio Gomez (III)","183","185"
"943","Knows","Octavio Gomez","Sixto","1","Octavio Gomez (III)","185","186"
"946","Knows","Octavio Gomez","Junior","1","Octavio Gomez (III)","185","186"
"947","Knows","Octavio Gomez","Octavio Gomez's Mother","0","Octavio Gomez (III)","186","186"
"962","Knows","Octavio Gomez","Manny Gonzales","1","Daniel Gonzales (III)","188","188"
"963","Knows","Octavio Gomez","Manny & Daniel's Mother","1","Daniel Gonzales (III)","188","188"
"977","Knows","Octavio Gomez","Manny Gonzales","1","Daniel Gonzales (III)","192","194"
"979","Knows","Octavio Gomez","Manny & Daniel's Mother","1","Daniel Gonzales (III)","192","193"
"981","Knows of","Octavio Gomez","Big Oakland Powwow","0","Daniel Gonzales (III)","193","194"
"983","Knows of","Octavio Gomez","U.S Government","0","Daniel Gonzales (III)","193","193"
"1324","Knows","Octavio Gomez","Drug Dealers","1","Octavio Gomez (III)","174","175"
"1336","Knows","Octavio Gomez","Waitress at Denny's","1","Calvin Johnson (IV) (1)","249","249"
"1340","Knows","Octavio Gomez","People at the Powwow","1","Calvin Johnson (IV) (1)","249","249"
"1349","Knows of","Octavio Gomez","Big Oakland Powwow","0","Calvin Johnson (IV) (1)","248","250"
"1353","Knows of","Octavio Gomez","Edwin Black","0","Calvin Johnson (IV) (1)","249","249"
"1354","Knows of","Octavio Gomez","Blue","0","Calvin Johnson (IV) (1)","249","249"
"1363","Knows","Octavio Gomez","Police Officers","0","Calvin Johnson (IV) (1)","249","249"
"1366","Knows of","Octavio Gomez","Powwow Committee","0","Calvin Johnson (IV) (1)","250","250"
"1372","Knows","Octavio Gomez","Charles","1","Daniel Gonzales (IV) (1)","251","251"
"1373","Knows","Octavio Gomez","Carlos","1","Daniel Gonzales (IV) (1)","251","251"
"1374","Knows","Octavio Gomez","Calvin Johnson","1","Daniel Gonzales (IV) (1)","251","251"
"1376","Knows of","Octavio Gomez","Big Oakland Powwow","0","Daniel Gonzales (IV) (1)","251","252"
"1377","Knows","Octavio Gomez","Police Officers","0","Daniel Gonzales (IV) (1)","252","252"
"1396","Exchange","Octavio Gomez","Security Guard","1","Octavio Gomez (IV) (1)","256","256"
"1397","Exchange","Octavio Gomez","Charles","1","Octavio Gomez (IV) (1)","256","256"
"1398","Exchange","Octavio Gomez","Calvin Johnson","1","Octavio Gomez (IV) (1)","256","256"
"1399","Exchange","Octavio Gomez","Carlos","1","Octavio Gomez (IV) (1)","256","256"
"1403","Knows","Octavio Gomez","Tony Loneman","1","Octavio Gomez (IV) (1)","256","256"
"1405","Knows","Octavio Gomez","Big Oakland Powwow","0","Octavio Gomez (IV) (1)","256","256"
"1465","Knows","Octavio Gomez","Big Oakland Powwow","0","Blue (IV) (2)","267","268"
"1472","Exchange","Octavio Gomez","Tony Loneman","1","Dene Oxendene (IV) (2)","270","270"
"1474","Knows","Octavio Gomez","Big Oakland Powwow","0","Dene Oxendene (IV) (2)","270","270"
"1490","Exchange","Octavio Gomez","Tony Loneman","1","Calvin Johnson (IV) (2)","272","273"
"1494","Exchange","Octavio Gomez","Charles","1","Calvin Johnson (IV) (2)","272","273"
"1495","Exchange","Octavio Gomez","Carlos","1","Calvin Johnson (IV) (2)","272","273"
