
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"205","Knows of","Coz","Andy Grady (Sasha's father)","0","1 Found Objects","8","8"
"214","Exchange","Coz","Sasha","1","1 Found Objects","18","18"
"364","Knows of","Coz","Lizzie","0","1 Found Objects","18","18"
"194","Exchange","Alex","Lassimo Hotel Concierge","1","1 Found Objects","10","10"
"195","Exchange","Alex","Sasha","1","1 Found Objects","10","18"
"198","Knows of","Alex","Robert Freeman Jr.","1","1 Found Objects","14","14"
"206","Knows of","Alex","""the plumber""","0","1 Found Objects","16","16"
"211","Knows","Alex","""girl in braces"" (p17)","1","1 Found Objects","17","17"
"212","Knows","Alex","boy one in picture (p17)","1","1 Found Objects","17","17"
"213","Knows","Alex","boy two in picture (p17)","1","1 Found Objects","17","17"
"332","Knows","Alex","""two security guys"" (Lassimo Hotel)","1","1 Found Objects","10","11"
"358","Knows","Alex","""the woman"" (wallet victim)","1","1 Found Objects","12","12"
"534","Knows of","Alex","""the police"" (p10)","0","1 Found Objects","9","10"
"997","Knows","Alex","Rebecca (Alex's wife)","1","13 Pure Language","310","310"
"998","Knows","Alex","Lupa Salazar","1","13 Pure Language","310","310"
"1001","Knows","Alex","Cara-Ann (Alex's daughter)","1","13 Pure Language","310","310"
"1002","Knows","Alex","Ava Salazar","1","13 Pure Language","310","310"
"1005","Knows of","Alex","Sasha","1","13 Pure Language","311","311"
"1013","Knows","Alex","Cara-Ann (Alex's daughter)","1","13 Pure Language","312","313"
"1014","Knows","Alex","Ava Salazar","1","13 Pure Language","312","312"
"1016","Knows of","Alex","Bennie's executives","0","13 Pure Language","312","312"
"1023","Knows","Alex","Lupa Salazar","1","13 Pure Language","312","312"
"1028","Knows","Alex","Rebecca (Alex's wife)","1","13 Pure Language","313","314"
"1035","Knows","Alex","Sandra (single mother)","0","13 Pure Language","315","315"
"1036","Knows","Alex","Sandra's teenaged son","0","13 Pure Language","315","315"
"1040","Exchange","Alex","Rebecca (Alex's wife)","0","13 Pure Language","315","315"
"1041","Knows of","Alex","Scotty Hausmann","0","13 Pure Language","315","315"
"1043","Knows","Alex","Finn (Alex's friend)","1","13 Pure Language","315","315"
"1044","Knows of","Alex","Finn's Wesleyan classmates","0","13 Pure Language","315","315"
"1046","Knows","Alex","Rose (Alex's friend)","1","13 Pure Language","315","316"
"1047","Knows","Alex","Max (Alex's friend)","1","13 Pure Language","316","316"
"1049","Knows of","Alex","Pink Buttons (band)","0","13 Pure Language","316","316"
"1050","Knows","Alex","Rebecca (Alex's wife)","1","13 Pure Language","316","316"
"1051","Knows","Alex","Bennie Salazar","1","13 Pure Language","316","318"
"1052","Knows","Alex","""guy"" (who snatched Rebecca's purse)","1","13 Pure Language","316","316"
"1054","Knows","Alex","Cara-Ann (Alex's daughter)","1","13 Pure Language","316","316"
"1055","Knows of","Alex","Sasha","0","13 Pure Language","316","317"
"1056","Exchange","Alex","Lulu Peale","1","13 Pure Language","317","322"
"1058","Knows","Alex","Cara-Ann (Alex's daughter)","1","13 Pure Language","318","320"
"1066","Knows of","Alex","Dolly Peale","0","13 Pure Language","318","318"
"1069","Exchange","Alex","Cara-Ann (Alex's daughter)","1","13 Pure Language","321","324"
"1071","Knows","Alex","Rebecca (Alex's wife)","1","13 Pure Language","321","321"
"1074","Knows","Alex","Bennie Salazar","1","13 Pure Language","323","323"
"1075","Knows","Alex","""people"" (at the WATERWALK!)","0","13 Pure Language","323","323"
"1076","Knows of","Alex","Dick Smart","0","13 Pure Language","323","323"
