Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,E Alma Mereminski's Mother,E Alma Mereminski/Moritz,E Alma’s Father,E Leo’s mother,E Leo’s father,E Leo,E Zvi Litvinoff,E Isaac Moritz,E Mordecai Moritz,E Hitler's armies,E Zvi's Father,E Zvi's Mother,E Miriam Litvinoff,E Zvi's Brother,E Rosa,E David Singer,E Second Bookstore Owner (In Buenos Aires),E Charlotte Singer,E Bruno,E Alma Singer,E Misha Shklovsky,E Bird,E Herman Cooper,E Bernard Moritz,E Man in a Yellow Bow Tie and a White Jacket,E Man (from Fact-Checking Department),E Man (from Fiction Department)
10,E Nazis invade Slonim,1941-07-01,1941-07-01,T,E Zvi's Narrator,155.0,155.0,1980-01-01,0000-01-01,153.0,159.0,T,"""In the summer of 1941....On a bright hot day in July they entered Slonim"" (12)",,,,,,,,,,,T,,,,,,,,,,,,,,,,,
11,E Leo escapes the Nazis,1941-07-01,1945-02-01,T,E Leo (narrator),240.0,240.0,2000-12-01,0000-01-01,240.0,240.0,T,"""having hidden for three and a half years"" (13): July 1941-January 1945 is 3.5 years, and when Leo arrives in America ""He was twenty-five years old"" (13) which would make the year 1945",,,,,,,T,,,,T,,,,,,,,,,,,,,,,,
11,E Leo escapes the Nazis,1941-07-01,1945-02-01,T,E Leo (narrator),238.0,238.0,2000-12-01,0000-01-01,238.0,238.0,T,"""having hidden for three and a half years"" (13): July 1941-January 1945 is 3.5 years, and when Leo arrives in America ""He was twenty-five years old"" (13) which would make the year 1945",,,,,,,T,,,,T,,,,,,,,,,,,,,,,,
11,E Leo escapes the Nazis,1941-07-01,1945-02-01,T,E Leo (narrator),8.0,8.0,2000-12-01,0000-01-01,3.0,13.0,T,"""having hidden for three and a half years"" (13): July 1941-January 1945 is 3.5 years, and when Leo arrives in America ""He was twenty-five years old"" (13) which would make the year 1945",,,,,,,T,,,,T,,,,,,,,,,,,,,,,,
11,E Leo escapes the Nazis,1941-07-01,1945-02-01,T,E Leo (narrator),12.0,12.0,2000-12-01,0000-01-01,3.0,13.0,T,"""having hidden for three and a half years"" (13): July 1941-January 1945 is 3.5 years, and when Leo arrives in America ""He was twenty-five years old"" (13) which would make the year 1945",,,,,,,T,,,,T,,,,,,,,,,,,,,,,,
11,E Leo escapes the Nazis,1941-07-01,1945-02-01,T,E Leo (narrator),129.0,129.0,2000-12-01,0000-01-01,119.0,134.0,T,"""having hidden for three and a half years"" (13): July 1941-January 1945 is 3.5 years, and when Leo arrives in America ""He was twenty-five years old"" (13) which would make the year 1945",,,,,,,T,,,,T,,,,,,,,,,,,,,,,,
11,E Leo escapes the Nazis,1941-07-01,1945-02-01,T,E Leo (narrator),168.0,168.0,2000-12-01,0000-01-01,160.0,169.0,T,"""having hidden for three and a half years"" (13): July 1941-January 1945 is 3.5 years, and when Leo arrives in America ""He was twenty-five years old"" (13) which would make the year 1945",,,,,,,T,,,,T,,,,,,,,,,,,,,,,,
10,E Nazis invade Slonim,1941-07-01,1941-07-01,T,E Alma (narrator),140.0,140.0,2000-09-14,0000-01-01,140.0,141.0,T,"""In the summer of 1941....On a bright hot day in July they entered Slonim"" (12)",,,,,,,,,,,T,,,,,,,,,,,,,,,,,
10,E Nazis invade Slonim,1941-07-01,1941-07-01,T,E Leo (narrator),12.0,12.0,2000-12-01,0000-01-01,3.0,13.0,T,"""In the summer of 1941....On a bright hot day in July they entered Slonim"" (12)",,,,,,,,,,,T,,,,,,,,,,,,,,,,,
10,E Nazis invade Slonim,1941-07-01,1941-07-01,T,E Leo (narrator),8.0,8.0,2000-12-01,0000-01-01,3.0,13.0,T,"""In the summer of 1941....On a bright hot day in July they entered Slonim"" (12)",,,,,,,,,,,T,,,,,,,,,,,,,,,,,
11,E Leo escapes the Nazis,1941-07-01,1945-02-01,T,E Leo (narrator),226.0,226.0,2000-12-01,0000-01-01,226.0,226.0,T,"""having hidden for three and a half years"" (13): July 1941-January 1945 is 3.5 years, and when Leo arrives in America ""He was twenty-five years old"" (13) which would make the year 1945",,,,,,,T,,,,T,,,,,,,,,,,,,,,,,
12,E Bruno dies,1941-07-01,1941-07-01,T,E Leo (narrator),249.0,249.0,2000-12-01,0000-01-01,248.0,250.0,T,""" He died on a July day in 1941"" (249)",,,,,,,,,,,,,,,,,,,,T,,,,,,,,
13,E Leo leaves for America,1945-01-01,1946-10-01,T,E Leo (narrator),12.0,12.0,2000-12-01,0000-01-01,3.0,13.0,T,Leo hides for 3.5 years and finds Alma in America when Isaac is 5 years old,,,,,,,T,,,,,,,,,,,,,,,,,,,,,
13,E Leo leaves for America,1945-01-01,1946-10-01,T,E Leo (narrator),4.0,4.0,2000-12-01,0000-01-01,3.0,13.0,T,Leo hides for 3.5 years and finds Alma in America when Isaac is 5 years old,,,,,,,T,,,,,,,,,,,,,,,,,,,,,
14,E Zvi learns about his family's death,1945-09-02,1951-01-01,T,E Zvi's Narrator,156.0,156.0,1980-01-01,0000-01-01,153.0,159.0,T,"""The War ended"" (156) World War II ended on September 1st 1945 before Zvi ""learned what had happened"" (156) to his family and before he met Rosa ""in the fall of 1951"" (65)",,,,,,,,T,,,,T,T,T,T,,,,,,,,,,,,,
14,E Zvi learns about his family's death,1945-09-02,1951-01-01,T,E Zvi's Narrator,68.0,68.0,1980-01-01,0000-01-01,65.0,74.0,T,"""The War ended"" (156) World War II ended on September 1st 1945 before Zvi ""learned what had happened"" (156) to his family and before he met Rosa ""in the fall of 1951"" (65)",,,,,,,,T,,,,T,T,T,T,,,,,,,,,,,,,
15,E Leo and Bruno reconnect,1945-10-01,1998-01-01,T,E Leo (narrator),18.0,18.0,2000-12-01,0000-01-01,14.0,34.0,T,"*The date would have been close to 1998 as Leo states that Bruno's ""hair was thin and white"" (6) indicating Bruno and Leo's old age* They meet after Leo sees Alma M. when Isaac is five (after October 1945) and they have already reconnected by the time of Leo's heart attack (1998)",,,,,,,T,,,,,,,,,,,,,T,,,,,,,,
16,E Alma refuses Leo's proposal,1945-10-01,1946-08-18,T,E Leo (narrator),13.0,13.0,2000-12-01,0000-01-01,3.0,13.0,T,"The novel states that  Leo ""was twenty-five years old"" (13) and Isaac was ""now five"" (13) therefore it is after Isaac turns 5 in October and before Leo's 26th birthday",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
16,E Alma refuses Leo's proposal,1945-10-01,1946-08-18,T,E Leo (narrator),226.0,226.0,2000-12-01,0000-01-01,226.0,226.0,T,"The novel states that  Leo ""was twenty-five years old"" (13) and Isaac was ""now five"" (13) therefore it is after Isaac turns 5 in October and before Leo's 26th birthday",,,T,,,,T,,,,,,,,,,,,,,,,,,,,,
