
"id","Event <br />(choose)","Narrator <br />(choose)","Container <br />(choose)","Start page","End page","TellingTime <br />(choose)"
"492","Quentin meets Herbert Head","Quentin Compson III (narrator)","June Second, 1910","95","95","Quentin sends his note to his father (June second 1910)"
"493","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","81","81","Quentin writes notes to his father and Shreve (June second 1910)"
"494","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","106","106","Quentin gives Shreve's note to Deacon (June second 1910)"
"495","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","107","107","Quentin gives Shreve's note to Deacon (June second 1910)"
"496","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","108","108","Quentin gives Shreve's note to Deacon (June second 1910)"
"497","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","109","109","Quentin gives Shreve's note to Deacon (June second 1910)"
"498","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","110","110","Quentin gives Shreve's note to Deacon (June second 1910)"
"499","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","111","111","Quentin gives Shreve's note to Deacon (June second 1910)"
"500","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","112","112","Quentin gives Shreve's note to Deacon (June second 1910)"
"501","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","113","113","Quentin gives Shreve's note to Deacon (June second 1910)"
"502","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","115","115","Quentin gives Shreve's note to Deacon (June second 1910)"
"503","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","121","121","Quentin buys tire irons and hides them (June second 1910)"
"504","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","122","122","Quentin buys tire irons and hides them (June second 1910)"
"505","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","123","123","Quentin buys tire irons and hides them (June second 1910)"
"506","The night before Caddy's wedding and Quentin confronts Herbert Head","Quentin Compson III (narrator)","June Second, 1910","128","128","Quentin finds the little Italian girl (June second 1910)"
"507","Caddy and Herbert's Wedding","Quentin Compson III (narrator)","June Second, 1910","81","81","Quentin writes notes to his father and Shreve (June second 1910)"
"508","Caddy and Herbert's Wedding","Quentin Compson III (narrator)","June Second, 1910","77","77","Quentin breaks his watch (June second 1910)"
"509","Caddy and Herbert's Wedding","Quentin Compson III (narrator)","June Second, 1910","93","93","Quentin sends his note to his father (June second 1910)"
"510","Caddy and Herbert's Wedding","Quentin Compson III (narrator)","June Second, 1910","100","100","Quentin gives Shreve's note to Deacon (June second 1910)"
"511","Quentin commits suicide","Quentin Compson III (narrator)","June Second, 1910","80","80","Quentin breaks his watch (June second 1910)"
"512","Quentin commits suicide","Quentin Compson III (narrator)","June Second, 1910","116","116","Quentin buys tire irons and hides them (June second 1910)"
"513","Quentin commits suicide","Quentin Compson III (narrator)","June Second, 1910","174","174","Quentin dresses up (June second 1910)"
"514","R Leo and Alma fall in love","R Alma (narrator)","R 29. MY MOTHER USED TO READ TO ME FROM THE HISTORY OF LOVE","57","0","R Not before 14 September 2000"
"516","R Leo and Alma fall in love","R Alma (narrator)","R 33. THE HISTORY OF LOVE, CHAPTER 10","62","0","R Not before 14 September 2000"
"517","R Leo and Alma fall in love","R Alma (narrator)","R 33. THE HISTORY OF LOVE, CHAPTER 10","63","0","R Not before 14 September 2000"
"518","R Leo and Alma fall in love","R Leo (narrator)","R UNTIL THE WRITING HAND HURTS [1.1]","126","0","R Not before 1 December 2000"
"519","R Leo and Alma fall in love","R Leo (narrator)","R UNTIL THE WRITING HAND HURTS [1.1]","128","0","R Not before 1 December 2000"
"520","R Leo and Alma fall in love","R Leo (narrator)","R UNTIL THE WRITING HAND HURTS [1.1]","129","0","R Not before 1 December 2000"
"521","E Leo and Alma fall in love","E Leo (narrator)","E UNTIL THE WRITING HAND HURTS","133","133","E Not before December 2000"
"522","R Leo and Alma fall in love","R Leo (narrator)","R A + L [2.3]","230","0","R Not before 1 December 2000"
"523","E Alma leaves for America","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.1","11","11","E Not before December 2000"
"524","E Alma leaves for America","E Alma (narrator)","E 9. IF SHE'S REAL","140","140","E Not before September 14 2000"
"525","R Isaac is born","R Leo (narrator)","R A JOY FOREVER","8","0","R Not before 1 December 2000"
"526","R Isaac is born","R Leo (narrator)","R DIE LAUGHING","164","0","R Not before 1 December 2000"
"527","E Leo completes 'The History of Love'","E Leo (narrator)","E A + L 1.26","244","244","E Not before December 2000"
"528","R Leo completes The History of Love","R Leo (narrator)","R THE LAST WORDS ON EARTH [1.1]","7","0","R Not before 1 December 2000"
"529","R Leo completes The History of Love","R Leo (narrator)","R THE LAST WORDS ON EARTH [1.1]","8","0","R Not before 1 December 2000"
"530","R Leo completes The History of Love","R Leo (narrator)","R UNTIL THE WRITING HAND HURTS [1.1]","121","0","R Not before 1 December 2000"
"531","E Zvi leaves with 'The History of Love'","E Alma (narrator)","E 9. IF SHE'S REAL","141","141","E Not before September 14 2000"
"532","E Nazis invade Slonim","E Alma (narrator)","E 9. IF SHE'S REAL","140","140","E Not before September 14 2000"
"533","R The Nazis invade Slonim","R Leo (narrator)","R DIE LAUGHING","168","0","R Not before 1 December 2000"
"534","E Leo escapes the Nazis","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.1","8","8","E Not before December 2000"
"535","E Leo escapes the Nazis","E Leo (narrator)","E DIE LAUGHING","168","168","E Not before December 2000"
"536","R Leo escapes the Nazis","R Leo (narrator)","R A + L [3.4]","240","0","R Not before 1 December 2000"
"537","E Leo leaves for America","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.1","4","4","E Not before December 2000"
"538","R Alma refuses Leo's proposal","R Leo (narrator)","R A + L [1.8]","226","0","R Not before 1 December 2000"
"539","E Zvi learns about his family's death","E Zvi's Narrator","E FORGIVE ME","68","68","E Unknown (Not before 1980)"
"540","R Zvi adds Leo's obituary to The History of Love","R Zvi's narrator","R THE LAST PAGE [1.2]","189","0","R Not Before 1980"
"541","E Zvi publishes 'The History of Love'","E Zvi's Narrator","E THE LAST PAGE","188","188","E Unknown (Not before 1980)"
"542","E Zvi publishes 'The History of Love'","E Zvi's Narrator","E THE LAST PAGE","189","189","E Unknown (Not before 1980)"
"543","E Zvi publishes 'The History of Love'","E Zvi's Narrator","E THE LAST PAGE","190","190","E Unknown (Not before 1980)"
"544","R Rosa destroys the manuscript of The History of Love","R Leo (narrator)","R UNTIL THE WRITING HAND HURTS [1.1]","121","0","R Not before 1 December 2000"
"545","R Rosa destroys the manuscript of The History of Love","R Leo (narrator)","R UNTIL THE WRITING HAND HURTS [1.1]","122","0","R Not before 1 December 2000"
"546","E Rosa destroys the manuscript","E Zvi's Narrator","E THE LAST PAGE","190","190","E Unknown (Not before 1980)"
"547","E Charlotte and David meet","E Alma (narrator)","E 13. THE ETERNAL DISAPPOINTMENT OF LIFE AS IT IS","108","108","E Not before September 14 2000"
"548","R Charlotte and David meet","R Alma (narrator)","R 4. MY FATHER DIED WHEN I WAS SEVEN","38","0","R Not before 14 September 2000"
"549","E Zvi dies","E Zvi's Narrator","E FORGIVE ME","65","65","E Unknown (Not before 1980)"
"550","R Zvi dies","R Zvi's narrator","R FORGIVE ME","68","0","R Not Before 1980"
"551","E Zvi dies","E Zvi's Narrator","E FORGIVE ME","71","71","E Unknown (Not before 1980)"
"552","E Zvi dies","E Zvi's Narrator","E THE LAST PAGE","188","188","E Unknown (Not before 1980)"
"553","R Leo and Bruno reunite","R Leo (narrator)","R THE LAST WORDS ON EARTH [1.1]","6","0","R Not before 1 December 2000"
"554","R David Singer dies","R Alma (narrator)","R A + L [4.2]","247","0","R Not before 21 October 2000"
"555","R Alma Mereminski dies","R Leo (narrator)","R DIE LAUGHING","168","0","R Not before 1 December 2000"
"556","E Alma Mereminski dies","E Alma (narrator)","E 7. I'M SICK OF FAMOUS WRITERS","176","176","E Not before September 14 2000"
"557","R Leo begins to write again","R Leo (narrator)","R THE LAST TIME I SAW YOU","209","0","R Not before 1 December 2000"
"558","R Charlotte receives Isaac's first letter","R Alma (narrator)","R 8. INTERGLACIAL","139","0","R Not before 14 September 2000"
"559","R Alma and Herman go to Isaac's house (Alma leaves her phone number there)","R Alma (narrator)","R 17. LOOK AT ME","199","0","R Not before 5 October 2000"
"560","R Leo learns of Isaac's death","R Leo (narrator)","R A JOY FOREVER","77","0","R Not before 1 December 2000"
"561","R Isaac dies","R Leo (narrator)","R DIE LAUGHING","169","0","R Not before 1 December 2000"
"562","E Isaac dies","E Leo (narrator)","E DIE LAUGHING","161","161","E Not before December 2000"
"563","E Isaac dies","E Leo (narrator)","E THE LAST TIME I SAW YOU","212","212","E Not before December 2000"
"564","E Bernard calls for Alma (revealing Leo's identity to Bird)","E Bird (narrator)","E WOULD A LAMED VOVNIK DO THIS?","217","217","E October 6th 2000"
"565","R Leo leaves to retrieve WORDS FOR EVERYTHING","R Leo (narrator)","R DIE LAUGHING","162","0","R Not before 1 December 2000"
"566","E Leo goes to Isaac's house to retrieve 'Words for Everything'","E Leo (narrator)","E DIE LAUGHING","162","162","E Not before December 2000"
"567","R Leo leaves to retrieve WORDS FOR EVERYTHING","R Leo (narrator)","R DIE LAUGHING","163","0","R Not before 1 December 2000"
"568","R Alma receives Bird's letter","R Alma (narrator)","R A + L [1.1]","219","0","R Not before 21 October 2000"
"569","R Alma receives Bird's letter","R Alma (narrator)","R A + L [2.6]","233","0","R Not before 21 October 2000"
"570","E Leo attends Isaac's funeral","E Leo (narrator)","E A JOY FOREVER","86","86","E Not before December 2000"
"571","E Leo attends Isaac's funeral","E Leo (narrator)","E A JOY FOREVER","87","87","E Not before December 2000"
"572","E Leo attends Isaac's funeral","E Leo (narrator)","E A JOY FOREVER","88","88","E Not before December 2000"
"573","E Leo attends Isaac's funeral","E Leo (narrator)","E A JOY FOREVER","89","89","E Not before December 2000"
"574","R Leo receives Bird's letter","R Leo (narrator)","R THE LAST TIME I SAW YOU","212","0","_CHOOSE A TELLING TIME"
"575","E Zvi leaves with 'The History of Love'","E Alma (narrator)","E 20. AWAKE IN THE DARK","148","148","E Not before September 14 2000"
"576","Cholly's Mother abandons him","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","132","132","Spring, 1941 (Third Person Narrator)"
"577","Cholly's Mother abandons him","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","142","142","Spring, 1941 (Third Person Narrator)"
"578","Cholly's Mother abandons him","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","133","133","Spring, 1941 (Third Person Narrator)"
"579","Aunt Jimmy passes away","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","135","135","Spring, 1941 (Third Person Narrator)"
"580","Aunt Jimmy passes away","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","139","139","Spring, 1941 (Third Person Narrator)"
"581","Aunt Jimmy passes away","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","140","140","Spring, 1941 (Third Person Narrator)"
"582","Aunt Jimmy passes away","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","143","143","Spring, 1941 (Third Person Narrator)"
"583","Aunt Jimmy passes away","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","150","150","Spring, 1941 (Third Person Narrator)"
"584","Aunt Jimmy passes away","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","141","141","Spring, 1941 (Third Person Narrator)"
"585","Aunt Jimmy passes away","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","146","146","Spring, 1941 (Third Person Narrator)"
"586","Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene","3rd Person Narrator (The Bluest Eye)","""The Breedloves did not live in the storefront..."" [Autumn 3]","42","42","Spring, 1941 (Third Person Narrator)"
"587","Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","147","147","Spring, 1941 (Third Person Narrator)"
"588","Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","148","148","Spring, 1941 (Third Person Narrator)"
"589","Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","149","149","Spring, 1941 (Third Person Narrator)"
"590","Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","160","160","Spring, 1941 (Third Person Narrator)"
"591","Cholly goes to find his Dad in Macon, and his Dad rejects him","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","152","152","Spring, 1941 (Third Person Narrator)"
"592","Cholly goes to find his Dad in Macon, and his Dad rejects him","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","153","153","Spring, 1941 (Third Person Narrator)"
"593","Cholly goes to find his Dad in Macon, and his Dad rejects him","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","154","154","Spring, 1941 (Third Person Narrator)"
"594","Cholly goes to find his Dad in Macon, and his Dad rejects him","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","155","155","Spring, 1941 (Third Person Narrator)"
"595","Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","156","156","Spring, 1941 (Third Person Narrator)"
"596","Pauline and Cholly meet","3rd Person Narrator (The Bluest Eye)","""The easiest thing to do would be to build a case out of her foot.""","114","114","Spring, 1941 (Third Person Narrator)"
"597","Pauline and Cholly meet","3rd Person Narrator (The Bluest Eye)","""The easiest thing to do would be to build a case out of her foot.""","115","115","Spring, 1941 (Third Person Narrator)"
"598","Pauline and Cholly meet","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","160","160","Spring, 1941 (Third Person Narrator)"
"599","Pauline and Cholly get married and move to Lorain, Ohio","3rd Person Narrator (The Bluest Eye)","""The easiest thing to do would be to build a case out of her foot.""","116","116","Spring, 1941 (Third Person Narrator)"
"600","Pauline and Cholly get married and move to Lorain, Ohio","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","160","160","Spring, 1941 (Third Person Narrator)"
"601","Sammy is born","Pauline Breedlove","""The onliest time I happy seem like when I was in the picture show.""","123","123","Not before 1941 (Pauline)"
"602","Pecola is born","Pauline Breedlove","""The onliest time I happy seem like when I was in the picture show.""","125","125","Not before 1941 (Pauline)"
"603","Pauline is 'educated' by the movies","3rd Person Narrator (The Bluest Eye)","""The easiest thing to do would be to build a case out of her foot.""","122","122","Spring, 1941 (Third Person Narrator)"
"604","Pauline is 'educated' by the movies","Pauline Breedlove","""The onliest time I happy seem like when I was in the picture show.""","123","123","Not before 1941 (Pauline)"
"605","Pauline starts working for the Fishers","3rd Person Narrator (The Bluest Eye)","""The easiest thing to do would be to build a case out of her foot.""","127","127","Spring, 1941 (Third Person Narrator)"
"606","Pauline starts working for the Fishers","3rd Person Narrator (The Bluest Eye)","""The easiest thing to do would be to build a case out of her foot.""","128","128","Spring, 1941 (Third Person Narrator)"
"607","Pauline and Cholly fight (about coal)","3rd Person Narrator (The Bluest Eye)","""The Breedloves did not live in the storefront..."" [Autumn 3]","39","39","Spring, 1941 (Third Person Narrator)"
"608","Pauline and Cholly fight (about coal)","3rd Person Narrator (The Bluest Eye)","""The Breedloves did not live in the storefront..."" [Autumn 3]","40","40","Spring, 1941 (Third Person Narrator)"
"609","Pauline and Cholly fight (about coal)","3rd Person Narrator (The Bluest Eye)","""The Breedloves did not live in the storefront..."" [Autumn 3]","41","41","Spring, 1941 (Third Person Narrator)"
"610","Pauline and Cholly fight (about coal)","3rd Person Narrator (The Bluest Eye)","""The Breedloves did not live in the storefront..."" [Autumn 3]","43","43","Spring, 1941 (Third Person Narrator)"
"611","Pauline and Cholly fight (about coal)","3rd Person Narrator (The Bluest Eye)","""The Breedloves did not live in the storefront..."" [Autumn 3]","44","44","Spring, 1941 (Third Person Narrator)"
"612","Pecola prays for blue eyes (each night)","3rd Person Narrator (The Bluest Eye)","""The Breedloves did not live in the storefront..."" [Autumn 3]","46","46","Spring, 1941 (Third Person Narrator)"
"613","Cholly burns down the Breedlove’s house","Claudia (narrator)","""Nuns go by quiet as lust, and drunken men and sober eyes sing in the lobby of the Greek hotel."" [Autumn 1]","17","17","Not before 1943 (Claudia)"
"614","Mr. Henry moves in with the Macteers","Claudia (narrator)","""Nuns go by quiet as lust, and drunken men and sober eyes sing in the lobby of the Greek hotel."" [Autumn 1]","12","12","Not before 1943 (Claudia)"
"615","Mr. Henry moves in with the Macteers","Claudia (narrator)","""Nuns go by quiet as lust, and drunken men and sober eyes sing in the lobby of the Greek hotel."" [Autumn 1]","13","13","Not before 1943 (Claudia)"
"616","Mr. Henry moves in with the Macteers","Claudia (narrator)","""Nuns go by quiet as lust, and drunken men and sober eyes sing in the lobby of the Greek hotel."" [Autumn 1]","15","15","Not before 1943 (Claudia)"
"617","Pecola moves in with the Macteers","Claudia (narrator)","""Nuns go by quiet as lust, and drunken men and sober eyes sing in the lobby of the Greek hotel."" [Autumn 1]","16","16","Not before 1943 (Claudia)"
"618","Pecola starts mensturating","Claudia (narrator)","""Nuns go by quiet as lust, and drunken men and sober eyes sing in the lobby of the Greek hotel."" [Autumn 1]","27","27","Not before 1943 (Claudia)"
"619","Pecola starts mensturating","Claudia (narrator)","""Nuns go by quiet as lust, and drunken men and sober eyes sing in the lobby of the Greek hotel."" [Autumn 1]","31","31","Not before 1943 (Claudia)"
"620","Pecola starts mensturating","Claudia (narrator)","""Nuns go by quiet as lust, and drunken men and sober eyes sing in the lobby of the Greek hotel."" [Autumn 1]","32","32","Not before 1943 (Claudia)"
"621","Maureen Peal walks home with Claudia, Frieda, and Pecola","Claudia (narrator)","""My daddy's face is a study."" [Winter 1]","65","65","Not before 1943 (Claudia)"
"622","Maureen Peal walks home with Claudia, Frieda, and Pecola","Claudia (narrator)","""My daddy's face is a study."" [Winter 1]","67","67","Not before 1943 (Claudia)"
"623","Maureen Peal walks home with Claudia, Frieda, and Pecola","Claudia (narrator)","""My daddy's face is a study."" [Winter 1]","68","68","Not before 1943 (Claudia)"
"624","Maureen Peal walks home with Claudia, Frieda, and Pecola","Claudia (narrator)","""My daddy's face is a study."" [Winter 1]","69","69","Not before 1943 (Claudia)"
"625","Maureen Peal walks home with Claudia, Frieda, and Pecola","Claudia (narrator)","""My daddy's face is a study."" [Winter 1]","70","70","Not before 1943 (Claudia)"
"626","Maureen Peal walks home with Claudia, Frieda, and Pecola","Claudia (narrator)","""My daddy's face is a study."" [Winter 1]","71","71","Not before 1943 (Claudia)"
"627","Maureen Peal walks home with Claudia, Frieda, and Pecola","Claudia (narrator)","""My daddy's face is a study."" [Winter 1]","72","72","Not before 1943 (Claudia)"
"628","Maureen Peal walks home with Claudia, Frieda, and Pecola","Claudia (narrator)","""My daddy's face is a study."" [Winter 1]","73","73","Not before 1943 (Claudia)"
"629","Junior tricks Pecola and blames her for killing the cat","3rd Person Narrator (The Bluest Eye)","""They come from Mobile."" [Winter 2]","89","89","Spring, 1941 (Third Person Narrator)"
"630","Junior tricks Pecola and blames her for killing the cat","3rd Person Narrator (The Bluest Eye)","""They come from Mobile."" [Winter 2]","90","90","Spring, 1941 (Third Person Narrator)"
"631","Junior tricks Pecola and blames her for killing the cat","3rd Person Narrator (The Bluest Eye)","""They come from Mobile."" [Winter 2]","91","91","Spring, 1941 (Third Person Narrator)"
"632","Junior tricks Pecola and blames her for killing the cat","3rd Person Narrator (The Bluest Eye)","""They come from Mobile."" [Winter 2]","94","94","Spring, 1941 (Third Person Narrator)"
"633","Mr. Henry assaults Frieda","Claudia (narrator)","""The first twigs are thin, green, and supple.""","99","99","Not before 1943 (Claudia)"
"634","Mr. Henry assaults Frieda","Claudia (narrator)","""The first twigs are thin, green, and supple.""","98","98","Not before 1943 (Claudia)"
"635","Mr. Henry assaults Frieda","Claudia (narrator)","""The first twigs are thin, green, and supple.""","100","100","Not before 1943 (Claudia)"
"636","Pecola knocks over her Mother’s cobbler at the Fisher’s house","Claudia (narrator)","""The first twigs are thin, green, and supple.""","108","108","Not before 1943 (Claudia)"
"637","Pecola knocks over her Mother’s cobbler at the Fisher’s house","Claudia (narrator)","""The first twigs are thin, green, and supple.""","109","109","Not before 1943 (Claudia)"
"638","Cholly rapes Pecola and impregnates her","Claudia (narrator)","""Quiet as it's kept, there were no marigolds in the fall of 1941."" [Prologue]","5","5","Not before 1943 (Claudia)"
"639","Cholly rapes Pecola and impregnates her","Claudia (narrator)","""Quiet as it's kept, there were no marigolds in the fall of 1941."" [Prologue]","6","6","Not before 1943 (Claudia)"
"640","Cholly rapes Pecola and impregnates her","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","161","161","Spring, 1941 (Third Person Narrator)"
"641","Cholly rapes Pecola and impregnates her","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","162","162","Spring, 1941 (Third Person Narrator)"
"642","Cholly rapes Pecola and impregnates her","3rd Person Narrator (The Bluest Eye)","""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""","163","163","Spring, 1941 (Third Person Narrator)"
"643","Cholly rapes Pecola and impregnates her","Claudia (narrator)","""I have only to break into the tightness of a strawberry and I see summer-its dust and lowering skies.""","189","189","Not before 1943 (Claudia)"
"644","Cholly rapes Pecola and impregnates her","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","199","199","September, 1941 (Pecola)"
"645","Cholly rapes Pecola and impregnates her","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","201","201","September, 1941 (Pecola)"
"646","Cholly rapes Pecola and impregnates her","Claudia (narrator)","""So it was.""","206","206","Not before 1943 (Claudia)"
"647","Cholly rapes Pecola and impregnates her","Claudia (narrator)","""I have only to break into the tightness of a strawberry and I see summer-its dust and lowering skies.""","188","188","Not before 1943 (Claudia)"
"648","Cholly rapes Pecola and impregnates her","Claudia (narrator)","""I have only to break into the tightness of a strawberry and I see summer-its dust and lowering skies.""","190","190","Not before 1943 (Claudia)"
"649","Pecola asks Soaphead Church for blue eyes","3rd Person Narrator (The Bluest Eye)","""Once there was an old man who loved things, for the slightest contact with people produced...""","173","173","Spring, 1941 (Third Person Narrator)"
"650","Pecola asks Soaphead Church for blue eyes","3rd Person Narrator (The Bluest Eye)","""Once there was an old man who loved things, for the slightest contact with people produced...""","174","174","Spring, 1941 (Third Person Narrator)"
"651","Pecola asks Soaphead Church for blue eyes","3rd Person Narrator (The Bluest Eye)","""Once there was an old man who loved things, for the slightest contact with people produced...""","175","175","Spring, 1941 (Third Person Narrator)"
"652","Pecola asks Soaphead Church for blue eyes","3rd Person Narrator (The Bluest Eye)","""Once there was an old man who loved things, for the slightest contact with people produced...""","176","176","Spring, 1941 (Third Person Narrator)"
"653","Pecola asks Soaphead Church for blue eyes","3rd Person Narrator (The Bluest Eye)","""Once there was an old man who loved things, for the slightest contact with people produced...""","182","182","Spring, 1941 (Third Person Narrator)"
"654","Cholly passes away","Claudia (narrator)","""Quiet as it's kept, there were no marigolds in the fall of 1941."" [Prologue]","6","6","Not before 1943 (Claudia)"
"655","Cholly passes away","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","200","200","September, 1941 (Pecola)"
"656","Cholly passes away","Claudia (narrator)","""So it was.""","205","205","Not before 1943 (Claudia)"
"657","Pecola imagines herself a friend","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","193","193","September, 1941 (Pecola)"
"658","Pecola imagines herself a friend","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","194","194","September, 1941 (Pecola)"
"659","Pecola imagines herself a friend","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","195","195","September, 1941 (Pecola)"
"660","Pecola imagines herself a friend","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","196","196","September, 1941 (Pecola)"
"661","Pecola imagines herself a friend","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","197","197","September, 1941 (Pecola)"
"662","Pecola imagines herself a friend","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","198","198","September, 1941 (Pecola)"
"663","Pecola imagines herself a friend","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","199","199","September, 1941 (Pecola)"
"664","Pecola imagines herself a friend","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","200","200","September, 1941 (Pecola)"
"665","Pecola imagines herself a friend","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","201","201","September, 1941 (Pecola)"
"666","Pecola imagines herself a friend","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","202","202","September, 1941 (Pecola)"
"667","Pecola imagines herself a friend","Pecola Breedlove","""How many times a minute are you going to look inside that old thing?""","203","203","September, 1941 (Pecola)"
"668","Pecola imagines herself a friend","3rd Person Narrator (The Bluest Eye)","""How many times a minute are you going to look inside that old thing?""","204","204","September, 1941 (Pecola)"
"669","Pecola imagines herself a friend","Claudia (narrator)","""So it was.""","205","205","Not before 1943 (Claudia)"
"670","Pecola loses her baby","Claudia (narrator)","""Quiet as it's kept, there were no marigolds in the fall of 1941."" [Prologue]","5","5","Not before 1943 (Claudia)"
"671","Pecola loses her baby","Claudia (narrator)","""Quiet as it's kept, there were no marigolds in the fall of 1941."" [Prologue]","6","6","Not before 1943 (Claudia)"
"672","Pecola loses her baby","Claudia (narrator)","""So it was.""","204","204","Not before 1943 (Claudia)"
"673","Mr. Bingley comes to Netherfield","3rd Person Narrator (PP)","Volume 1","5","6","_CHOOSE A TELLING TIME"
"674","Mr. Darcy snubs Elizabeth at the Meryton assembly","3rd Person Narrator (PP)","Volume 2","188","188","_CHOOSE A TELLING TIME"
"675","Mr. Darcy snubs Elizabeth at the Meryton assembly","3rd Person Narrator (PP)","Volume 1","18","18","_CHOOSE A TELLING TIME"
"676","Mr. Darcy snubs Elizabeth at the Meryton assembly","3rd Person Narrator (PP)","Volume 1","20","21","_CHOOSE A TELLING TIME"
"677","Elizabeth goes to Netherfield to care for Jane","3rd Person Narrator (PP)","Volume 1","34","58","_CHOOSE A TELLING TIME"
"678","Elizabeth goes to Netherfield to care for Jane","3rd Person Narrator (PP)","Volume 3","360","360","_CHOOSE A TELLING TIME"
"679","Jane goes to Netherfield and gets sick","3rd Person Narrator (PP)","Volume 1","31","34","_CHOOSE A TELLING TIME"
