
"id","Event <br />(choose)","Narrator <br />(choose)","Container <br />(choose)","Start page","End page","TellingTime <br />(choose)"
"220","E Leo escapes the Nazis","E Leo (narrator)","E A + L 1.8","226","226","E Not before December 2000"
"221","E Leo escapes the Nazis","E Leo (narrator)","E A + L 1.20","238","238","E Not before December 2000"
"222","E Leo escapes the Nazis","E Leo (narrator)","E A + L 1.22","240","240","E Not before December 2000"
"223","R Leo is born","R Leo (narrator)","R THE DEATH OF LEOPOLD GURSKY","255","0","R Not before 1 December 2000"
"224","R Leo and Alma fall in love","R Leo (narrator)","R THE DEATH OF LEOPOLD GURSKY","255","0","R Not before 1 December 2000"
"225","E Leo leaves for America","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.1","12","12","E Not before December 2000"
"226","E Alma refuses Leo's proposal","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.1","13","13","E Not before December 2000"
"227","E Alma refuses Leo's proposal","E Leo (narrator)","E A + L 1.8","226","226","E Not before December 2000"
"228","E Zvi learns about his family's death","E Zvi's Narrator","E HERE WE ARE TOGETHER","156","156","E Unknown (Not before 1980)"
"229","E Zvi and Rosa meet","E Zvi's Narrator","E FORGIVE ME","65","65","E Unknown (Not before 1980)"
"230","E Zvi and Rosa meet","E Zvi's Narrator","E HERE WE ARE TOGETHER","157","157","E Unknown (Not before 1980)"
"231","E Zvi and Rosa finish translating 'The History of Love'","E Zvi's Narrator","E FORGIVE ME","66","66","E Unknown (Not before 1980)"
"235","E Rosa destroys the manuscript","E Zvi's Narrator","E FORGIVE ME","66","66","E Unknown (Not before 1980)"
"236","E Rosa destroys the manuscript","E Leo (narrator)","E UNTIL THE WRITING HAND HURTS","121","121","E Not before December 2000"
"237","E Rosa destroys the manuscript","E Leo (narrator)","E UNTIL THE WRITING HAND HURTS","122","122","E Not before December 2000"
"238","E Rosa destroys the manuscript","E Zvi's Narrator","E THE LAST PAGE","191","191","E Unknown (Not before 1980)"
"239","E Rosa destroys the manuscript","E Leo (narrator)","E A + L 1.30","248","248","E Not before December 2000"
"240","E David Singer buys 'The History of Love'","E Zvi's Narrator","E FORGIVE ME","74","74","E Unknown (Not before 1980)"
"241","E David Singer buys 'The History of Love'","E Alma (narrator)","E 6. I KNOCK AND SHE ANSWERS","175","175","E Not before September 14 2000"
"242","E Charlotte and David meet","E Alma (narrator)","E 4. MY FATHER DIED WHEN I WAS SEVEN","37","37","E Not before September 14 2000"
"243","E Charlotte and David meet","E Alma (narrator)","E 4. MY FATHER DIED WHEN I WAS SEVEN","38","38","E Not before September 14 2000"
"244","E Zvi dies","E Zvi's Narrator","E FORGIVE ME","68","68","E Unknown (Not before 1980)"
"245","E Zvi dies","E Zvi's Narrator","E THE LAST PAGE","187","187","E Not before September 14 2000"
"246","E Leo and Bruno reconnect","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.1","5","5","E Not before December 2000"
"247","E Leo and Bruno reconnect","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.1","6","6","E Not before December 2000"
"248","E Leo and Bruno reconnect","E Leo (narrator)","E THE LAST WORDS ON EARTH 1.2","18","18","E Not before December 2000"
"249","E Alma Singer is born","E Alma (narrator)","E 1. MY NAME IS ALMA SINGER","35","35","E Not before September 14 2000"
"250","E Alma Singer is born","E Alma (narrator)","E 10. THEY MOVED TO NEW YORK AND HAD ME","41","41","E Not before September 14 2000"
"251","E David Singer dies","E Alma (narrator)","E 4. MY FATHER DIED WHEN I WAS SEVEN","37","37","E Not before September 14 2000"
"252","E David Singer dies","E Alma (narrator)","E 20. MY MOTHER HAS ONLY BEEN ON TWO DATES SINCE MY FATHER DIED","46","46","E Not before September 14 2000"
"253","E David Singer dies","E Alma (narrator)","E 3. THE MAN WHO COULDN'T ESCAPE GRAVITY","94","94","E Not before September 14 2000"
"254","E David Singer dies","E Alma (narrator)","E A + L 1.29","247","247","E Not before October 21st 2000"
"255","E David Singer dies","E Alma (narrator)","E 12. HE LIKED TO COOK AND LAUGH AND SING, COULD START A FIRE WITH HIS HANDS...","41","41","E Not before September 14 2000"
"256","E David Singer dies","E Alma (narrator)","E 14. AT THE END OF THE WORLD","42","42","E Not before September 14 2000"
"257","E David Singer dies","E Alma (narrator)","E 12. I GAVE UP","181","181","E Not before September 14 2000"
"258","E Alma Mereminski dies","E Leo (narrator)","E A JOY FOREVER","85","85","E Not before December 2000"
"259","E Alma Mereminski dies","E Leo (narrator)","E DIE LAUGHING","163","163","E Not before December 2000"
"260","E Alma Mereminski dies","E Leo (narrator)","E DIE LAUGHING","168","168","E Not before December 2000"
"261","E Misha and Alma become penpals","E Alma (narrator)","E 6. IF I HAD A RUSSIAN ACCENT EVERYTHING WOULD BE DIFFERENT","98","98","E Not before September 14 2000"
"263","E Misha and Alma become penpals","E Alma (narrator)","E 4. I SEARCHED OUT OTHER FORMS OF LIFE","95","95","E Not before September 14 2000"
"264","E David Singer dies","E Bird (narrator)","E October 3","206","206","E October 3rd 2000"
"265","E David Singer dies","E Alma (narrator)","E 8. Блядь","101","101","E Not before September 14 2000"
"266","E David Singer dies","E Alma (narrator)","E 16. EVERYTHING IS REMADE AS REASON","43","43","E Not before September 14 2000"
