id,Character,Event
63,R Alma Singer,R Alma realises Jacob Marcus is Isaac Moritz
64,R Jacob Marcus,R Alma realises Jacob Marcus is Isaac Moritz
65,R Isaac Moritz,R Alma realises Jacob Marcus is Isaac Moritz
66,R Leo Gursky,R Leo sends WORDS FOR EVERYTHING to Isaac
67,R Isaac Moritz,R Leo sends WORDS FOR EVERYTHING to Isaac
68,R Bird,R Misha calls for Alma (exposing her search for someone to Bird)
69,R Misha Shklovsky,R Misha calls for Alma (exposing her search for someone to Bird)
70,R Alma Singer,R Misha calls for Alma (exposing her search for someone to Bird)
71,R Alma Singer,R Alma and Herman go to Isaac's house (Alma leaves her phone number there)
72,R Herman Cooper,R Alma and Herman go to Isaac's house (Alma leaves her phone number there)
73,R Isaac Moritz,R Alma and Herman go to Isaac's house (Alma leaves her phone number there)
74,R Isaac Moritz,R Isaac dies
75,R Leo Gursky,R Leo learns of Isaac's death
76,R Isaac Moritz,R Leo learns of Isaac's death
77,R Alma Singer,R Alma learns of Isaac's death
78,R Bird,R Bernard calls for Alma (revealing Leo's identity to Bird)
79,R Bernard Moritz,R Bernard calls for Alma (revealing Leo's identity to Bird)
80,R Alma Singer,R Bernard calls for Alma (revealing Leo's identity to Bird)
81,R Bird,R Bird sends the letters and The History of Love
82,R Leo Gursky,R Bird sends the letters and The History of Love
83,R Bird,R Bird sends Leo and Alma letters [Obsolete]
84,R Leo Gursky,R Bird sends Leo and Alma letters [Obsolete]
85,R Alma Singer,R Bird sends Leo and Alma letters [Obsolete]
86,R Leo Gursky,R Leo attends Isaac's funeral
87,R Isaac Moritz,R Leo attends Isaac's funeral
88,R Leo Gursky,R Leo receives The History of Love
89,R Bird,R Leo receives The History of Love
90,R Leo Gursky,R Leo leaves to retrieve WORDS FOR EVERYTHING
91,R Bruno,R Leo leaves to retrieve WORDS FOR EVERYTHING
94,R Alma Singer,R Alma receives Bird's letter
95,R Bird,R Alma receives Bird's letter
96,R Leo Gursky,R Leo learns that Isaac had published WORDS FOR EVERYTHING
97,R Isaac Moritz,R Leo learns that Isaac had published WORDS FOR EVERYTHING
98,R Bruno,R Leo learns that Isaac had published WORDS FOR EVERYTHING
99,R Leo Gursky,R Leo finds Bird's letter
100,R Bird,R Leo finds Bird's letter
101,R Alma Singer,R Alma and Leo meet
102,R Leo Gursky,R Alma and Leo meet
103,R Alma Singer,R Alma realises Leo wrote The History of Love
104,R Leo Gursky,R Alma realises Leo wrote The History of Love
105,E Alma Mereminski's Mother,E Alma Mereminski is born
106,E Alma Mereminski/Moritz,E Alma Mereminski is born
107,E Alma’s Father,E Alma Mereminski is born
108,E Leo’s mother,E Leo is born
109,E Leo’s father,E Leo is born
110,E Leo,E Leo is born
111,E Alma Mereminski/Moritz,E Leo and Alma fall in love
112,E Leo,E Leo and Alma fall in love
113,E Zvi Litvinoff,E Zvi sees Leo and Alma kiss
114,E Alma Mereminski/Moritz,E Zvi sees Leo and Alma kiss
115,E Leo,E Zvi sees Leo and Alma kiss
116,E Alma Mereminski/Moritz,E Alma leaves for America
117,E Alma Mereminski/Moritz,E Isaac is born
118,E Isaac Moritz,E Isaac is born
119,E Mordecai Moritz,E Isaac is born
120,E Zvi Litvinoff,E Zvi steals Leo's obituary
121,E Leo,E Zvi steals Leo's obituary
122,E Leo,E Leo completes 'The History of Love'
123,E Zvi Litvinoff,E Zvi leaves with 'The History of Love'
124,E Leo,E Zvi leaves with 'The History of Love'
125,E Hitler's armies,E Nazis invade Slonim
126,E Leo,E Leo escapes the Nazis
127,E Hitler's armies,E Leo escapes the Nazis
128,E Leo,E Leo leaves for America
129,E Alma Mereminski/Moritz,E Alma refuses Leo's proposal
130,E Leo,E Alma refuses Leo's proposal
131,E Zvi Litvinoff,E Zvi learns about his family's death
132,E Zvi's Father,E Zvi learns about his family's death
133,E Zvi's Mother,E Zvi learns about his family's death
134,E Miriam Litvinoff,E Zvi learns about his family's death
135,E Zvi's Brother,E Zvi learns about his family's death
136,E Zvi Litvinoff,E Zvi and Rosa meet
137,E Rosa,E Zvi and Rosa meet
138,E Zvi Litvinoff,E Zvi and Rosa finish translating 'The History of Love'
139,E Rosa,E Zvi and Rosa finish translating 'The History of Love'
140,E Zvi Litvinoff,E Zvi adds Leo's obituary to 'The History of Love'
141,E Zvi Litvinoff,E Zvi publishes 'The History of Love'
142,E Rosa,E Rosa destroys the manuscript
143,E David Singer,E David Singer buys 'The History of Love'
144,E Second Bookstore Owner (In Buenos Aires),E David Singer buys 'The History of Love'
145,E Charlotte Singer,E Charlotte and David meet
146,E David Singer,E Charlotte and David meet
147,E Zvi Litvinoff,E Zvi dies
148,E Bruno,E Leo and Bruno reconnect
149,E Leo,E Leo and Bruno reconnect
150,E Bruno,E Bruno dies
151,E Alma Singer,E Alma Singer is born
152,E Charlotte Singer,E Alma Singer is born
153,E David Singer,E Alma Singer is born
154,E David Singer,E David Singer dies
155,E Alma Mereminski/Moritz,E Alma Mereminski dies
156,E Alma Singer,E Misha and Alma become penpals
157,E Misha Shklovsky,E Misha and Alma become penpals
158,E Leo,E Leo begins to write again
159,E Charlotte Singer,E Charlotte receives Isaac's first letter
160,E Isaac Moritz,E Charlotte receives Isaac's first letter
161,E Alma Singer,E Alma begins searching for Alma Mereminski
162,E Alma Singer,E Alma and Misha kiss
163,E Misha Shklovsky,E Alma and Misha kiss
164,E Alma Singer,E Alma realizes Alma Mereminski is married
166,E Alma Singer,E Alma reads Bird's journal
