Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,id_x,Novel_x,Duration,Preceding Event,id_y,Container,TT Description,id,Novel_y,Preceding t-t
,Caddy and Charlie hook up,1909-01-01,1909-01-01,T,Benjamin Compson (narrator),47,47,1928-04-07,1928-04-07,3,75,F,Dates collected from Ross and Polk,184,The Sound and the Fury,0,Benjamin's pasture sold so Quentin can go to Harvard,342,"April Seventh, 1928","Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)",41,The Sound and the Fury,"Luster looks for a quarter (April seventh, 1928)"
,Caddy and Charlie hook up,1909-01-01,1909-01-01,T,Benjamin Compson (narrator),48,48,1928-04-07,1928-04-07,3,75,F,Dates collected from Ross and Polk,184,The Sound and the Fury,0,Benjamin's pasture sold so Quentin can go to Harvard,343,"April Seventh, 1928","Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)",41,The Sound and the Fury,"Luster looks for a quarter (April seventh, 1928)"
,Caddy and Charlie hook up,1909-01-01,1909-01-01,T,Jason Compson IV (narrator),229,229,1928-04-06,1928-04-06,180,264,F,Dates collected from Ross and Polk,184,The Sound and the Fury,0,Benjamin's pasture sold so Quentin can go to Harvard,357,"April Sixth, 1928.",Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928),35,The Sound and the Fury,Jason forges a check (April sixth 1928)
,Caddy and Herbert's Wedding,1910-04-25,1910-04-25,T,Benjamin Compson (narrator),21,21,1928-04-07,1928-04-07,3,75,F,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",193,The Sound and the Fury,0,The night before Caddy's wedding and Quentin confronts Herbert Head,344,"April Seventh, 1928","Luster looks for a quarter (April seventh, 1928)",40,The Sound and the Fury,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
,Caddy and Herbert's Wedding,1910-04-25,1910-04-25,T,Benjamin Compson (narrator),39,39,1928-04-07,1928-04-07,3,75,F,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",193,The Sound and the Fury,0,The night before Caddy's wedding and Quentin confronts Herbert Head,345,"April Seventh, 1928","Luster looks for a quarter (April seventh, 1928)",40,The Sound and the Fury,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
,Caddy and Herbert's Wedding,1910-04-25,1910-04-25,T,Benjamin Compson (narrator),40,40,1928-04-07,1928-04-07,3,75,F,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",193,The Sound and the Fury,0,The night before Caddy's wedding and Quentin confronts Herbert Head,346,"April Seventh, 1928","Luster looks for a quarter (April seventh, 1928)",40,The Sound and the Fury,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
,Caddy and Herbert's Wedding,1910-04-25,1910-04-25,T,Benjamin Compson (narrator),51,51,1928-04-07,1928-04-07,3,75,F,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",193,The Sound and the Fury,0,The night before Caddy's wedding and Quentin confronts Herbert Head,347,"April Seventh, 1928","Luster looks for a quarter (April seventh, 1928)",40,The Sound and the Fury,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
,Caddy and Herbert's Wedding,1910-04-25,1910-04-25,T,Quentin Compson III (narrator),77,77,1910-06-02,1910-06-02,76,179,F,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",193,The Sound and the Fury,0,The night before Caddy's wedding and Quentin confronts Herbert Head,508,"June Second, 1910",Quentin breaks his watch (June second 1910),21,The Sound and the Fury,_NO PRECEDING TELLING TIME
,Caddy and Herbert's Wedding,1910-04-25,1910-04-25,T,Quentin Compson III (narrator),81,81,1910-06-02,1910-06-02,76,179,F,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",193,The Sound and the Fury,0,The night before Caddy's wedding and Quentin confronts Herbert Head,507,"June Second, 1910",Quentin writes notes to his father and Shreve (June second 1910),22,The Sound and the Fury,Quentin breaks his watch (June second 1910)
,Caddy and Herbert's Wedding,1910-04-25,1910-04-25,T,Quentin Compson III (narrator),93,93,1910-06-02,1910-06-02,76,179,F,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",193,The Sound and the Fury,0,The night before Caddy's wedding and Quentin confronts Herbert Head,509,"June Second, 1910",Quentin sends his note to his father (June second 1910),23,The Sound and the Fury,Quentin writes notes to his father and Shreve (June second 1910)
