Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Cholly Breedlove,Cholly's Mother,Aunt Jimmy,White men,Darlene,Pauline Breedlove,Pecola Breedlove,Mr. Henry,Claudia,Frieda,Mrs. MacTeer (Claudia's Mother),Mr. MacTeer (Claudia's Father),Maureen Peal,Louis Junior,Geraldine,Soaphead Church,Pecola's Baby
12,Pecola starts mensturating,1940-10-01,1940-12-22,T,Claudia,27,27,1943-01-01,1943-01-01,9,32,T,"Occurs in the period of time Pecola lives with the Macteers and in the section ""Autumn""",,,,,,,,T,,T,T,T,,,,,,
12,Pecola starts mensturating,1940-10-01,1940-12-22,T,Claudia,31,31,1943-01-01,1943-01-01,9,32,T,"Occurs in the period of time Pecola lives with the Macteers and in the section ""Autumn""",,,,,,,,T,,T,T,T,,,,,,
17,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia,73,73,1943-01-01,1943-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.",,,,,,,,T,,T,T,,,T,,,,
17,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia,71,71,1943-01-01,1943-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.",,,,,,,,T,,T,T,,,T,,,,
17,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia,70,70,1943-01-01,1943-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.",,,,,,,,T,,T,T,,,T,,,,
17,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia,69,69,1943-01-01,1943-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.",,,,,,,,T,,T,T,,,T,,,,
17,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia,68,68,1943-01-01,1943-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.",,,,,,,,T,,T,T,,,T,,,,
17,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia,67,67,1943-01-01,1943-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.",,,,,,,,T,,T,T,,,T,,,,
17,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia,65,65,1943-01-01,1943-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.",,,,,,,,T,,T,T,,,T,,,,
17,"Maureen Peal walks home with Claudia, Frieda, and Pecola",1941-01-01,1941-03-20,T,Claudia,72,72,1943-01-01,1943-01-01,61,80,T,"""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year.",,,,,,,,T,,T,T,,,T,,,,
