id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
364,"Exchange","Tom Robinson","Atticus Finch","1","15","206","206"
365,"Exchange","Mr. Underwood","Atticus Finch","1","15","206","207"
366,"Exchange","Tom Robinson","Scout Finch","1","15","206","206"
367,"Exchange","Mr. Underwood","Scout Finch","1","15","206","206"
368,"Exchange","Dill Harris","Atticus Finch","1","15","206","206"
369,"Knows","Atticus Finch","Jem Finch","1","15","207","207"
370,"Exchange","Scout Finch","Jem Finch","1","16","208","208"
371,"Knows","Scout Finch","Atticus Finch","1","16","208","208"
372,"Knows","Jem Finch","Atticus Finch","1","16","208","208"
373,"Knows","Scout Finch","Alexandra Finch","1","16","208","208"
374,"Knows","Jem Finch","Alexandra Finch","1","16","208","208"
375,"Knows","Atticus Finch","Alexandra Finch","1","16","208","209"
376,"Exchange","Atticus Finch","Scout Finch","1","16","209","211"
377,"Exchange","Atticus Finch","Jem Finch","1","16","209","211"
378,"Exchange","Atticus Finch","Alexandra Finch","1","16","209","211"
379,"Exchange","Alexandra Finch","Scout Finch","1","16","209","209"
380,"Exchange","Alexandra Finch","Jem Finch","1","16","209","209"
381,"Knows","Alexandra Finch","Mr. Underwood","1","16","209","209"
382,"Knows","Atticus Finch","Mr. Underwood","1","16","209","209"
383,"Knows","Mr. Underwood","Mr. Underwood's father","1","16","209","209"
384,"Knows","Mr. Underwood","Braxton Bragg (Confederate general)","1","16","209","209"
385,"Knows","Mr. Underwood's father","Braxton Bragg (Confederate general)","1","16","209","209"
386,"Knows","Atticus Finch","Braxton Bragg (Confederate general)","1","16","209","209"
387,"Exchange","Calpurnia","Alexandra Finch","1","16","209","209"
388,"Exchange","Calpurnia","Scout Finch","1","16","209","209"
389,"Knows","Atticus Finch","Calpurnia","1","16","209","209"
390,"Knows","Alexandra Finch","Calpurnia","1","16","210","210"
391,"Knows","Scout Finch","Walter Cunningham Sr.","1","16","210","210"
392,"Knows","Atticus Finch","Walter Cunningham Sr.","1","16","210","210"
393,"Knows","Jem Finch","Walter Cunningham Jr.","1","16","210","210"
394,"Knows","Scout Finch","Walter Cunningham Jr.","1","16","211","211"
395,"Knows","Atticus Finch","Walter Cunningham Jr.","1","16","211","211"
396,"Exchange","Dill Harris","Scout Finch","1","16","211","211"
397,"Exchange","Dill Harris","Jem Finch","1","12","211","211"
398,"Exchange","Dill Harris","Atticus Finch","1","16","211","211"
399,"Exchange","Dill Harris","Alexandra Finch","1","16","211","211"
400,"Knows","Alexandra Finch","The Cunninghams","1","16","211","211"
401,"Exchange","Alexandra Finch","Jem Finch","1","16","211","211"
402,"Exchange","Jem Finch","Scout Finch","1","16","211","211"
404,"Knows","Jem Finch","Mr. Dolphus Raymond","1","16","211","211"
405,"Knows","Dill Harris","Mr. Dolphus Raymond","1","16","211","211"
406,"Knows","Jem Finch","Mennonites","1","16","211","212"
407,"Knows","Dill Harris","Mennonites","1","16","211","212"
408,"Exchange","Dill Harris","Jem Finch","1","16","211","213"
409,"Knows","Jem Finch","Mr. X Billups","1","16","212","212"
410,"Knows","Dill Harris","Mr. X Billups","1","16","212","212"
411,"Knows of","Jem Finch","Mr. X Billups' clerk","0","16","212","212"
412,"Knows of","Dill Harris","Mr. X Billups' clerk","0","16","212","212"
413,"Exchange","Mr. X Billups","Mr. X Billups' clerk","1","16","212","212"
414,"Knows of","Jem Finch","Mr. X Billups' parents","0","16","212","212"
415,"Knows of","Dill Harris","Mr. X Billups' parents","0","16","212","212"
416,"Knows","Mr. X Billups","Mr. X Billups' parents","1","16","212","212"
417,"Knows","Jem Finch","Mr. Tensaw Jones","1","16","212","212"
