,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
77,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],367,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Story,19,19.0,
78,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],370,Knows,Evelina Harp,Seraph Milk (Mooshum),1,Story,19,19.0,
79,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],373,Knows of,Evelina Harp,Chief Gall,0,Story,19,19.0,
80,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],375,Knows of,Evelina Harp,Man (that Ott shot in the leg),0,Story,19,19.0,
81,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],379,Knows of,Evelina Harp,Carpenter (Joseph),0,Story,19,19.0,
82,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],380,Knows of,Evelina Harp,Carpenter's Wife,0,Story,19,19.0,
83,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],381,Knows of,Evelina Harp,Carpenter's Wife's Son,0,Story,19,19.0,
84,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],382,Knows,Evelina Harp,Edward Harp,1,Story,19,19.0,
85,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],383,Knows,Evelina Harp,Joseph Harp,1,Story,19,19.0,
86,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],384,Knows,Evelina Harp,Clemence Harp,1,Story,19,19.0,
87,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],392,Knows of,Evelina Harp,"The ""black-haired"" Stooge",0,Story,19,19.0,
88,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],394,Knows,Evelina Harp,Junesse Malaterre,0,Story,19,19.0,
89,34,Story,level 3 (sub-sub-section),19,20,Evelina Harp,[NULL],[NULL],395,Exchange,Evelina Harp,Corwin Peace,1,Story,20,20.0,
90,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],396,Knows of,Evelina Harp,John F. Kennedy,0,A Little Nip,21,21.0,
91,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],397,Knows of,Evelina Harp,Pope John XXII,0,A Little Nip,21,21.0,
92,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],398,Knows of,Evelina Harp,Louis Riel,0,A Little Nip,21,22.0,
93,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],400,Knows,Evelina Harp,Clemence Harp,1,A Little Nip,21,21.0,
94,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],401,Knows,Evelina Harp,Edward Harp,1,A Little Nip,21,21.0,
95,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],431,Knows,Evelina Harp,Seraph Milk (Mooshum),1,A Little Nip,21,28.0,
96,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],432,Knows,Evelina Harp,Shamengwa Milk,1,A Little Nip,21,28.0,
97,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],433,Knows of,Evelina Harp,Severine Milk,0,A Little Nip,21,22.0,
98,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],434,Knows of,Evelina Harp,Joseph Milk (Seraph Milk's Father),0,A Little Nip,21,22.0,
99,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],435,Knows of,Evelina Harp,Seraph Milk's Mother,0,A Little Nip,21,21.0,
100,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],436,Knows of,Evelina Harp,Louis Riel's Wife,0,A Little Nip,21,21.0,
101,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],437,Knows of,Evelina Harp,Louis Riel's Child,0,A Little Nip,21,21.0,
102,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],438,Knows of,Evelina Harp,Louis Riel's Lieutenants,0,A Little Nip,21,21.0,
103,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],439,Knows of,Evelina Harp,Priests (who threatened Louis Riel's followers),0,A Little Nip,21,22.0,
104,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],440,Knows of,Evelina Harp,Baby (that the Milk family lost),0,A Little Nip,21,21.0,
105,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],442,Knows,Evelina Harp,Clemence Harp,1,A Little Nip,22,24.0,
106,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],450,Knows,Evelina Harp,Geraldine Milk,1,A Little Nip,22,23.0,
107,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],451,Knows,Evelina Harp,Old Retired Priest,0,A Little Nip,22,23.0,
