Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Essun,Damaya,Syenite,Alabaster,Hoa,Schaffa,,,,,,
22,Hoa is born,03-05-2842,03-05-2842,T,3rd-Person,14,14,,,1,14,T,"As he concentrates, his movements grow smoother...",F,F,F,F,T,F,,,,,,
23,Essun destroys Tirimo,05-05-2842,05-05-2842,T,Hoa,56,56,01-01-2844,01-01-2844,42,60,T,"Down below your feet and everyone else's, a shake begins.",T,F,F,F,F,F,,,,,,
23,Essun destroys Tirimo,05-05-2842,05-05-2842,T,Hoa,57,57,01-01-2844,01-01-2844,42,60,T,And then the valley floor splits open.,T,F,F,F,F,F,,,,,,
23,Essun destroys Tirimo,05-05-2842,05-05-2842,T,Hoa,58,58,01-01-2844,01-01-2844,42,60,T,It catches Rask first.,T,F,F,F,F,F,,,,,,
23,Essun destroys Tirimo,05-05-2842,05-05-2842,T,Hoa,59,59,01-01-2844,01-01-2844,42,60,T,People run out into the streets...,T,F,F,F,F,F,,,,,,
24,Essun meets Hoa,06-05-2842,06-05-2842,T,Hoa,80,80,01-01-2844,01-01-2844,77,83,T,Someone else.,T,F,F,F,T,F,,,,,,
24,Essun meets Hoa,06-05-2842,06-05-2842,T,Hoa,81,81,01-01-2844,01-01-2844,77,83,T,"""Hello,"" he says.",T,F,F,F,T,F,,,,,,
25,Hoa tells Essun he knows where Nassun is,07-05-2842,07-05-2842,T,Hoa,113,113,01-01-2844,01-01-2844,105,115,T,"""She's very strong.""",T,F,F,F,T,F,,,,,,
26,Essun and Hoa meet Tonkee,09-05-2842,09-05-2842,T,Hoa,178,178,01-01-2844,01-01-2844,172,190,T,Then you see a woman.,T,F,F,F,T,F,,,,,,
27,Hoa finds Castrima,01-07-2842,01-07-2842,T,Hoa,264,264,01-01-2844,01-01-2844,264,276,T,"You reach ""the place with all the orogenes...""",T,F,F,F,T,F,,,,,,
28,Tonkee reveals herself as Binof to Essun,02-07-2842,02-07-2842,T,Hoa,388,388,01-01-2844,01-01-2844,388,412,T,Who is not Tonkee.,T,F,F,F,F,F,,,,,,
28,Tonkee reveals herself as Binof to Essun,02-07-2842,02-07-2842,T,Hoa,389,389,01-01-2844,01-01-2844,388,412,T,"""Binof. Leadership. Yumenes.""",T,F,F,F,F,F,,,,,,
29,Tonkee reveals the truth about the obelisks to Essun,02-07-2842,02-07-2842,T,Hoa,391,391,01-01-2844,01-01-2844,388,412,T,"""It's where they built them.""",T,F,F,F,F,F,,,,,,
30,Hoa reveals he's a stone eater,02-07-2842,02-07-2842,T,Hoa,394,394,01-01-2844,01-01-2844,388,412,T,"""So you're a stone eater,"" you say.",T,F,F,F,T,F,,,,,,
31,Essun reunites with Alabaster,02-07-2842,02-07-2842,T,Hoa,445,445,01-01-2844,01-01-2844,444,449,T,...a thing black figure...,T,F,T,T,T,F,,,,,,
32,Essun realizes Alabaster caused the fifth season,02-07-2842,02-07-2842,T,Hoa,448,448,01-01-2844,01-01-2844,444,449,T,"You don't want to understand, but you do.",T,F,T,T,T,F,,,,,,
33,Hoa reveals he narrates Essun's chapters,01-01-2844,01-01-2844,T,Hoa,443,443,01-01-2844,01-01-2844,413,443,T,I told her that I was called Hoa.,T,F,T,F,T,F,,,,,,
