Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Alma Mereminski,Leo Gursky,Zvi Litvinoff,Isaac Moritz,Rosa Litvinoff,David Singer,Charlotte Singer,Bruno,Alma Singer,Misha Shklovsky,Bird,Jacob Marcus
8,Isaac is born,1940-08-10,1940-10-31,T,Leo Gurksy,164,0,2000-01-12,2001-01-31,160,169,T,"Isaac was 60 when he died the Tuesday before Saturday, Octobe7 (77, 80), and was probably conceived when both Alma and Leo ""were seventeen"" (11). This date range accommodates foeach of theibirthdays.",Alma Mereminski and Isaac Moritz,T,,,T,,,,,,,,
8,Isaac is born,1940-08-10,1940-10-31,T,Leo Gurksy,13,0,2000-01-12,2001-01-31,3,13,T,"Isaac was 60 when he died the Tuesday before Saturday, Octobe7 (77, 80), and was probably conceived when both Alma and Leo ""were seventeen"" (11). This date range accommodates foeach of theibirthdays.",Alma Mereminski and Isaac Moritz,T,,,T,,,,,,,,
8,Isaac is born,1940-08-10,1940-10-31,T,Leo Gurksy,8,0,2000-01-12,2001-01-31,75,92,T,"Isaac was 60 when he died the Tuesday before Saturday, Octobe7 (77, 80), and was probably conceived when both Alma and Leo ""were seventeen"" (11). This date range accommodates foeach of theibirthdays.",Alma Mereminski and Isaac Moritz,T,,,T,,,,,,,,
11,Leo escapes the Nazis,1941-01-07,1945-02-28,T,Leo Gurksy,12,0,2000-01-12,2001-01-31,3,13,T,"Leo ""spent three and a half years hiding"" (12).",Leo Gursky,,T,,,,,,,,,,
10,The Nazis invade Slonim,1941-01-07,1941-07-31,T,Leo Gurksy,8,0,2000-01-12,2001-01-31,3,13,T,Google it.,,,,,,,,,,,,,
11,Leo escapes the Nazis,1941-01-07,1945-02-28,T,Leo Gurksy,226,0,2000-01-12,2001-01-31,226,226,T,"Leo ""spent three and a half years hiding"" (12).",Leo Gursky,,T,,,,,,,,,,
10,The Nazis invade Slonim,1941-01-07,1941-07-31,T,Leo Gurksy,12,0,2000-01-12,2001-01-31,3,13,T,Google it.,,,,,,,,,,,,,
11,Leo escapes the Nazis,1941-01-07,1945-02-28,T,Leo Gurksy,168,0,2000-01-12,2001-01-31,160,169,T,"Leo ""spent three and a half years hiding"" (12).",Leo Gursky,,T,,,,,,,,,,
10,The Nazis invade Slonim,1941-01-07,1941-07-31,T,Leo Gurksy,168,0,2000-01-12,2001-01-31,160,169,T,Google it.,,,,,,,,,,,,,
11,Leo escapes the Nazis,1941-01-07,1945-02-28,T,Leo Gurksy,238,0,2000-01-12,2001-01-31,238,238,T,"Leo ""spent three and a half years hiding"" (12).",Leo Gursky,,T,,,,,,,,,,
11,Leo escapes the Nazis,1941-01-07,1945-02-28,T,Leo Gurksy,240,0,2000-01-12,2001-01-31,240,240,T,"Leo ""spent three and a half years hiding"" (12).",Leo Gursky,,T,,,,,,,,,,
11,Leo escapes the Nazis,1941-01-07,1945-02-28,T,Leo Gurksy,8,0,2000-01-12,2001-01-31,3,13,T,"Leo ""spent three and a half years hiding"" (12).",Leo Gursky,,T,,,,,,,,,,
11,Leo escapes the Nazis,1941-01-07,1945-02-28,T,Leo Gurksy,129,0,2000-01-12,2001-01-31,119,129,T,"Leo ""spent three and a half years hiding"" (12).",Leo Gursky,,T,,,,,,,,,,
12,Bruno dies,1941-01-07,1941-01-07,F,Leo Gurksy,249,0,2000-01-12,2001-01-31,248,250,T,"""He died on a July dat in 1941"" (249).",,,,,,,,,,,,,
