Relative Order,Event Name,Start Date ST,End Date ST,Is Approximate ST,Narrator,Start Page Mention,End Page Mention,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT,Evidence,Sasha,Bennie,Scotty,Lou,Rob,Lulu,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,11,11,2021-01-01,2031-12-31,3,18,T,"""I'll check the bathroom,"" she told Alex.",T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,12,12,2021-01-01,2031-12-31,3,18,T,Sasha and Alex...,T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,13,13,2021-01-01,2031-12-31,3,18,T,"""True,"" Alex said.",T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,14,14,2021-01-01,2031-12-31,3,18,T,"""I love this place,"" Alex said.",T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,15,15,2021-01-01,2031-12-31,3,18,T,"""What's all this?"" Alex asked.",T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,16,16,2021-01-01,2031-12-31,3,18,T,"Afterward, they lay on the rug for a long time.",T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,17,17,2021-01-01,2031-12-31,3,18,T,Sje felt Alex's hand on the back of her head.,T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,18,18,2021-01-01,2031-12-31,3,18,T,...she tucked the wallet back into Alex's pocket.,T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,311,311,2021-01-01,2031-12-31,310,340,T,...a girl he'd dated once...,T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,316,316,2021-01-01,2031-12-31,310,340,T,...from that lost girl...,T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,317,317,2021-01-01,2031-12-31,310,340,T,...he'd dated once...,T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,325,325,2021-01-01,2031-12-31,310,340,T,"...a hotel lobby; a small, overwarm apartment.",T,F,F,F,F,F,,,,,,
23,Sasha goes on a date with Alex,2-1-2005,2-1-2005,T,3rd-Person,339,339,2021-01-01,2031-12-31,310,340,T,...as clearly as if he'd left Sasha's apartment just this morning.,T,F,F,F,F,F,,,,,,
24,"Rhea, Jocelyn, and Lou reconnect",9-1-2006,12-31-2006,T,Jocelyn,84,84,9-1-2006,12-31-2006,84,91,T,He's in the bedroom...,F,F,F,T,F,F,,,,,,
24,"Rhea, Jocelyn, and Lou reconnect",9-1-2006,12-31-2006,T,Jocelyn,85,85,9-1-2006,12-31-2006,84,91,T,He found Rhea all the way in Seattle...,F,F,F,T,F,F,,,,,,
24,"Rhea, Jocelyn, and Lou reconnect",9-1-2006,12-31-2006,T,Jocelyn,86,86,9-1-2006,12-31-2006,84,91,T,He's lying.,F,F,F,T,F,F,,,,,,
24,"Rhea, Jocelyn, and Lou reconnect",9-1-2006,12-31-2006,T,Jocelyn,87,87,9-1-2006,12-31-2006,84,91,T,Lou's big bed...,F,F,F,T,F,F,,,,,,
24,"Rhea, Jocelyn, and Lou reconnect",9-1-2006,12-31-2006,T,Jocelyn,88,88,9-1-2006,12-31-2006,84,91,T,...we see Lou watching us.,F,F,F,T,F,F,,,,,,
