Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Scout,Jem,Dill,Atticus,Tom Robinson,Boo Radley
10,Scout and Jem go to Calpurnia's church,1935-07-30,1935-07-30,T,Scout,161,161,1936-07-30,1936-07-30,3,376,T,Zeebo rose from his pew and walked down the center aisle...,Jem and Scout,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,1935-07-30,1935-07-30,T,Scout,162,162,1936-07-30,1936-07-30,3,376,T,His sermon was a forthright denunciation of sin...,Jem and Scout,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,1935-07-30,1935-07-30,T,Scout,163,163,1936-07-30,1936-07-30,3,376,T,The church was becoming stuffy...,Jem and Scout,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,1935-07-30,1935-07-30,T,Scout,164,164,1936-07-30,1936-07-30,3,376,T,"Jem echoed me, and we made our way homeward.",Jem and Scout,T,T,F,F,F,F
10,Scout and Jem go to Calpurnia's church,1935-07-30,1935-07-30,T,Scout,181,181,1936-07-30,1936-07-30,3,376,T,"""Well, I asked Calpurnia comin' fomr church that day...""",Jem and Scout,T,T,F,F,F,F
11,Aunt Alexandra arrives in Maycomb,1935-07-31,1935-07-31,T,Scout,169,169,1936-07-30,1936-07-30,3,376,T,"""...your father and I decided it was time I came to stay with you...""","Atticus, Jem, and Scout",T,T,F,T,F,F
11,Aunt Alexandra arrives in Maycomb,1935-07-31,1935-07-31,T,Scout,170,170,1936-07-30,1936-07-30,3,376,T,"""We decided that it would be best for you to have some feminine influence.""","Atticus, Jem, and Scout",T,T,F,T,F,F
11,Aunt Alexandra arrives in Maycomb,1935-07-31,1935-07-31,T,Scout,171,171,1936-07-30,1936-07-30,3,376,T,The remainder of the afternoon went by in the gentle gloom that descends...,"Atticus, Jem, and Scout",T,T,F,T,F,F
12,Dill returns to Maycomb,1935-01-08,1935-01-08,T,Scout,186,186,1936-07-30,1936-07-30,3,376,T,We watched Dill emerge by degrees.,"Atticus, Dill, Jem, and Scout",T,T,T,T,F,F
12,Dill returns to Maycomb,1935-01-08,1935-01-08,T,Scout,187,187,1936-07-30,1936-07-30,3,376,T,He walked the rest of the way.,"Atticus, Dill, Jem, and Scout",T,T,T,T,F,F
