Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Sasha,Bennie,Scotty,Lou,Rob,Lulu
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,154,154,,,137,165,T,The next day they piled into to black armored cars...,Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,155,155,,,137,165,T,They breezed through the checkpoints...,Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,156,156,,,137,165,T,They drove and drove.,Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,157,157,,,137,165,T,...outposts patrolled by soldiers...,Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,158,158,,,137,165,T,...she watched the general recognize Kitty...,Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,159,159,,,137,165,T,Kitty and the generals stoof hand in hand...,Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,160,160,,,137,165,T,"""Do you eat them?"" Kitty asked the general.",Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,161,161,,,137,165,T,While the general raged...,Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,163,163,,,137,165,T,"""The general is angry.""",Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,164,164,,,137,165,T,Dolly remembered how perplexed the general had looked in those pictures...,Lulu,F,F,F,F,F,T
29,"Dolly, Lulu, and Kitty visit the General",2008-07-01,2008-07-31,T,3rd-Person,165,165,,,137,165,T,"""...your invaluable guidance...""",Lulu,F,F,F,F,F,T
15,Jules Jones assaults Kitty Jackson,1999-06-01,1999-06-01,T,3rd-Person,115,115,,,111,136,T,...the celebrity reporter who had...,,F,F,F,F,F,F
15,Jules Jones assaults Kitty Jackson,1999-06-01,1999-06-01,T,3rd-Person,119,119,,,111,136,T,...attempted rape of Kitty Jackson...,,F,F,F,F,F,F
15,Jules Jones assaults Kitty Jackson,1999-06-01,1999-06-01,T,3rd-Person,144,144,,,137,165,T,...Jules Jones [...] had attacked her...,,F,F,F,F,F,F
16,Jules Jones is incarcerated,1999-01-01,2004-03-20,T,3rd-Person,119,119,,,111,136,T,He'd been gone five years...,,F,F,F,F,F,F
20,"Jules Jones is paroled, lives with Bennie and Stephanie",2004-03-20,2004-06-20,T,3rd-Person,119,119,,,111,136,T,Jules [...] came to live with them.,Bennie,F,T,F,F,F,F
25,Lou dies,2006-09-30,2006-09-30,T,3rd-Person,37,37,,,19,38,T,Lou has died three months ago...,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,59,59,,,59,83,T,...the safari...,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,60,60,,,59,83,T,...this three-week safari.,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,61,61,,,59,83,T,During her ten days in Africa...,Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,62,62,,,59,83,T,"Twelve tents, each sleeping two safari guests...",Lou,F,F,F,T,F,F
1,"Lou, Rolph, and Charlie go to Africa",1973-06-01,1973-06-30,T,3rd-Person,63,63,,,59,83,T,...surrounded by the whispering bush.,Lou,F,F,F,T,F,F
