character_id,character_name,character_novel_id_fk
464,E Litvinoff's Co-workers,5
465,E Franz Kafka,5
466,E Tolstoy,5
467,E Osip Mandelstam,5
468,E People (in Leo's obituary for Kafka),5
469,E Mr. Tong,5
470,E Shlomo Wasserman,5
471,E Ignacio da Silva,5
472,E Duddelsach,5
473,E Rodriguez,5
474,E Feingold,5
475,E De Biedma,5
476,E Bibi (Bruno's Dog),5
477,E Vladimir Horowitz,5
478,E Molly Bloom,5
479,E First Girl (playing across the street),5
480,E Second Girl (playing across the street),5
481,E Librarian,5
482,E Leo's Uncle,5
483,E Leo's Cousins,5
484,E Stalin,5
485,E Mrs. Stanislawski,5
486,E Leo's Teacher,5
487,E Rabbi (In Slonim),5
488,E Famous Tzaddik,5
489,E Alma Mereminski's Siblings,5
490,E Alma Mereminski's Mother,5
491,E Girl (In Leo and Alma's Class),5
492,E Alma Mereminski's Brother,5
493,E Woman (who was locked out),5
494,E Monet,5
495,E Matisse,5
496,E Modigliani,5
497,E Leopold Gursky (children's author),5
498,E Leonard Gursky,5
499,E Person (who the woman's copied key is for),5
500,E Houdini,5
501,E Arthur Rubinstein,5
502,E Mendel Mereminski,5
503,E Adam Mereminski,5
504,E Fanny Mereminski,5
505,E Nacham,5
506,E Zellig,5
507,E Hershel,5
508,E Bluma,5
509,E Ida,5
510,E Security Guard (at the MOMA),5
511,E Old Man (wearing a tiny bathing suit),5
512,E Woman (Information),5
513,E Girl (in a turquoise bikini),5
514,E Artie Mereminski,5
515,E Misha's Cousin (lives in Ann Arbor),5
516,E Eva Marie Saint,5
517,E Cary Grant,5
518,E Flo,5
519,E Man (working at the City Municipal Archives),5
520,E Luba,5
521,E Catherine the Great,5
522,E Woman (working at the Department of Health),5
523,E Josh K.,5
524,E Mrs. Zucker,5
525,E Rabbi Wizner,5
526,E Zvi's Father,5
527,E Zvi's Father's Cousin,5
528,E Pretty French Brunette,5
529,E Foreman,5
530,E Old German Jew,5
531,E Miriam Litvinoff,5
532,E Zvi's Landlady,5
533,E Alberto Santos-Dumont,5
534,E Zvi's Mother,5
535,E Andre (Zvi's Brother),5
536,E Neruda,5
537,E Dario,5
538,E Grace Kelly,5
539,E Man (who got on the train at Yonkers),5
540,E Man (working at Dunkin' Donuts),5
541,E The Rolling Stones,5
542,E Bob Dylan,5
543,E Kid (who lives in the same building as the Morit,5
544,E Taxi Driver,5
545,E Hanna (Leo's Sister),5
546,E Mr. Rogers,5
547,E Boy (who married Leo's Sister),5
548,E Doctor (who told Leo not to go without eating),5
550,E Woman (who died in Leo's arms),5
551,E Little Boy (in polished boots),5
552,E Father (of the little boy in polished boots),5
553,E Man (who worked in the secondhand shop),5
554,E Fritzy,5
555,E Sari,5
556,E Charlotte's Cousin,5
557,E Charlotte's Cousin's Husband,5
558,E Man (who worked at the City Clerk's Office),5
560,E Arthur Goldfarb,5
561,E Arthur Goldfarb's Grandniece,5
562,E Wife (of the man working at the City Clerk's Off,5
563,E Rabbi Greenberg,5
