id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
917,"Knows of","Chief Bruden","""thin black woman""","0","VI (FC)","183","183"
918,"Knows of","Mr. Lowe","""thin black woman""","0","VI (FC)","183","183"
919,"Knows of","Mayor Bolton","""thin black woman""","0","VI (FC)","183","183"
920,"Knows","Taylor","townspeople (FC)","1","VI (FC)","183","184"
921,"Knows","Mayor Bolton","townspeople (FC)","1","VI (FC)","183","183"
922,"Knows","Chief Bruden","townspeople (FC)","1","VI (FC)","183","184"
923,"Knows","Mr. Lowe","townspeople (FC)","1","VI (FC)","183","184"
924,"Knows","Taylor","man who starved","1","VI (FC)","183","183"
925,"Knows of","Mayor Bolton","man who starved","0","VI (FC)","183","183"
926,"Knows of","Chief Bruden","man who starved","0","VI (FC)","183","183"
927,"Knows of","Mr. Lowe","man who starved","0","VI (FC)","183","183"
928,"Knows","Mayor Bolton","""black folks"" (townspeople FC)","1","VI (FC)","184","184"
929,"Knows","Taylor","""black folks"" (townspeople FC)","1","VI (FC)","184","184"
930,"Knows","Chief Bruden","""black folks"" (townspeople FC)","1","VI (FC)","184","184"
931,"Knows","Mr. Lowe","""black folks"" (townspeople FC)","1","VI (FC)","184","184"
932,"Knows","Mayor Bolton","townspeople (FC)","1","VI (FC)","184","184"
933,"Knows","Taylor","townspeople (FC)","1","VI (FC)","184","184"
934,"Knows","Chief Bruden","townspeople (FC)","1","VI (FC)","184","184"
935,"Knows","Mr. Lowe","townspeople (FC)","1","VI (FC)","184","184"
936,"Knows","Taylor","""white folks"" (white townspeople)","1","VI (FC)","184","184"
937,"Knows","Mayor Bolton","""white folks"" (white townspeople)","1","VI (FC)","184","184"
938,"Knows","Chief Bruden","""white folks"" (white townspeople)","1","VI (FC)","184","184"
939,"Knows","Mr. Lowe","""white folks"" (white townspeople)","1","VI (FC)","184","184"
940,"Knows","Taylor","the Reds","1","VI (FC)","185","186"
941,"Knows","Mayor Bolton","the Reds","1","VI (FC)","185","186"
942,"Knows","Chief Bruden","the Reds","1","VI (FC)","185","186"
943,"Knows","Mr. Lowe","the Reds","1","VI (FC)","185","186"
944,"Knows of","Taylor","Chamber of Commerce","0","VI (FC)","186","186"
945,"Knows","Chief Bruden","Chamber of Commerce","1","VI (FC)","186","186"
946,"Knows of","Mr. Lowe","Chamber of Commerce","0","VI (FC)","186","186"
947,"Knows","Mayor Bolton","Chamber of Commerce","1","VI (FC)","186","186"
948,"Knows","Taylor","the police","1","VI (FC)","186","186"
949,"Knows","Chief Bruden","the police","1","VI (FC)","186","186"
950,"Knows","Mayor Bolton","the police","1","VI (FC)","186","186"
951,"Knows","Mr. Lowe","the police","1","VI (FC)","186","186"
