id_x,Event Name,Novel_x,Start Date,End Date,Duration,Preceding Event,Evidence,id_y,Narrator,Container,Start Page,End Page,TT Description,id,Novel_y,Start Date TT,End Date TT,Preceding t-t
180,Changing Benjamin's name,The Sound and the Fury,1900-00-00,1900-00-00,0,Damuddy's death,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",334.0,Benjamin Compson (narrator),"April Seventh, 1928",69.0,69.0,"The Compsons have supper (April seventh, 1928)",43.0,The Sound and the Fury,1928-04-07,1928-04-07,"Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)"
180,Changing Benjamin's name,The Sound and the Fury,1900-00-00,1900-00-00,0,Damuddy's death,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",335.0,Benjamin Compson (narrator),"April Seventh, 1928",70.0,70.0,"The Compsons have supper (April seventh, 1928)",43.0,The Sound and the Fury,1928-04-07,1928-04-07,"Luster and Benjy eat cake for Benjy's birthday (April seventh, 1928)"
180,Changing Benjamin's name,The Sound and the Fury,1900-00-00,1900-00-00,0,Damuddy's death,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",442.0,Quentin Compson III (narrator),"June Second, 1910",88.0,88.0,Quentin sends his note to his father (June second 1910),23.0,The Sound and the Fury,1910-06-02,1910-06-02,Quentin writes notes to his father and Shreve (June second 1910)
180,Changing Benjamin's name,The Sound and the Fury,1900-00-00,1900-00-00,0,Damuddy's death,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",443.0,Quentin Compson III (narrator),"June Second, 1910",89.0,89.0,Quentin sends his note to his father (June second 1910),23.0,The Sound and the Fury,1910-06-02,1910-06-02,Quentin writes notes to his father and Shreve (June second 1910)
180,Changing Benjamin's name,The Sound and the Fury,1900-00-00,1900-00-00,0,Damuddy's death,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",444.0,Quentin Compson III (narrator),"June Second, 1910",170.0,170.0,Quentin fights Gerald (June second 1910),28.0,The Sound and the Fury,1910-06-02,1910-06-02,Quentin gets arrested for taking the little Italian girl (June second 1910)
226,Cholly burns down the Breedlove’s house,The Bluest Eye,1940-10-00,1940-12-22,1,Pecola prays for blue eyes (each night),"After the Breedloves fight about coal, but before ""Winter"" (59)",613.0,Claudia (narrator),"""Nuns go by quiet as lust, and drunken men and sober eyes sing in the lobby of the Greek hotel."" [Autumn 1]",17.0,17.0,Not before 1943 (Claudia),47.0,The Bluest Eye,1943-00-00,1993-00-00,_CHOOSE A TELLING TIME
217,"Cholly goes to find his Dad in Macon, and his Dad rejects him",The Bluest Eye,1903-00-00,1918-00-00,0,Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene,*Story time dates approximated based on limited textual evidence for visualization purposes* “It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),591.0,3rd Person Narrator (The Bluest Eye),"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""",152.0,152.0,"Spring, 1941 (Third Person Narrator)",48.0,The Bluest Eye,1941-03-20,1941-06-21,_CHOOSE A TELLING TIME
217,"Cholly goes to find his Dad in Macon, and his Dad rejects him",The Bluest Eye,1903-00-00,1918-00-00,0,Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene,*Story time dates approximated based on limited textual evidence for visualization purposes* “It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),592.0,3rd Person Narrator (The Bluest Eye),"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""",153.0,153.0,"Spring, 1941 (Third Person Narrator)",48.0,The Bluest Eye,1941-03-20,1941-06-21,_CHOOSE A TELLING TIME
217,"Cholly goes to find his Dad in Macon, and his Dad rejects him",The Bluest Eye,1903-00-00,1918-00-00,0,Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene,*Story time dates approximated based on limited textual evidence for visualization purposes* “It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),593.0,3rd Person Narrator (The Bluest Eye),"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""",154.0,154.0,"Spring, 1941 (Third Person Narrator)",48.0,The Bluest Eye,1941-03-20,1941-06-21,_CHOOSE A TELLING TIME
217,"Cholly goes to find his Dad in Macon, and his Dad rejects him",The Bluest Eye,1903-00-00,1918-00-00,0,Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene,*Story time dates approximated based on limited textual evidence for visualization purposes* “It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154),594.0,3rd Person Narrator (The Bluest Eye),"""When Cholly was four days old, his mother wrapped him in two blankets and one newspaper...""",155.0,155.0,"Spring, 1941 (Third Person Narrator)",48.0,The Bluest Eye,1941-03-20,1941-06-21,_CHOOSE A TELLING TIME
236,Cholly passes away,The Bluest Eye,1941-06-22,1941-12-22,1,Pecola asks Soaphead Church for blue eyes,"""Cholly died in the workhouse"" (205), has to be after he impregnates Pecola",654.0,Claudia (narrator),"""Quiet as it's kept, there were no marigolds in the fall of 1941."" [Prologue]",6.0,6.0,Not before 1943 (Claudia),47.0,The Bluest Eye,1943-00-00,1993-00-00,_CHOOSE A TELLING TIME
236,Cholly passes away,The Bluest Eye,1941-06-22,1941-12-22,1,Pecola asks Soaphead Church for blue eyes,"""Cholly died in the workhouse"" (205), has to be after he impregnates Pecola",655.0,Pecola Breedlove,"""How many times a minute are you going to look inside that old thing?""",200.0,200.0,"September, 1941 (Pecola)",51.0,The Bluest Eye,1941-09-01,1941-09-22,_CHOOSE A TELLING TIME
236,Cholly passes away,The Bluest Eye,1941-06-22,1941-12-22,1,Pecola asks Soaphead Church for blue eyes,"""Cholly died in the workhouse"" (205), has to be after he impregnates Pecola",656.0,Claudia (narrator),"""So it was.""",205.0,205.0,Not before 1943 (Claudia),47.0,The Bluest Eye,1943-00-00,1993-00-00,_CHOOSE A TELLING TIME
