Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Damuddy,Caroline Bascomb Compson,Jason Compson III,Quentin Compson III,Caddy Compson,Benjamin Compson,Jason Compson IV,Versh Gibson,Frony Gibson,T.P.,Roskus Gibson,Dilsey Gibson,Mr. Patterson,Mrs. Patterson,Maury Bascomb,Charlie,Herbert Head,Little girl (Benjy ran after),Doctor,Miss Quentin Compson,Grave diggers,Band member (that Quentin runs off with),Luster Gibson,Reverend Shegog,Church-goers,Choir,Sheriff,Man (in a dirty apron),Man (who runs the show),Dalton Ames,Shreve
5,Quentin sees Caddy and Dalton,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),88.0,88.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,T,
5,Quentin sees Caddy and Dalton,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),80.0,80.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,T,
5,Quentin sees Caddy and Dalton,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),111.0,111.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,T,
6,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Jason Compson IV (narrator),197.0,197.0,1928-04-06,1928-04-06,180.0,264.0,F,Dates collected from Ross and Polk,,,T,T,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,
7,Quentin confronts Caddy at the creek,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),158.0,158.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Quentin sees Caddy and Dalton,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),175.0,175.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,T,
5,Quentin sees Caddy and Dalton,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),174.0,174.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,T,
6,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Benjamin Compson (narrator),19.0,19.0,1928-04-07,1928-04-07,3.0,75.0,F,Dates collected from Ross and Polk,,,T,T,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,
5,Quentin sees Caddy and Dalton,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),149.0,149.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,T,
6,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),102.0,102.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,T,T,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,
6,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),124.0,124.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,T,T,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,
6,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),174.0,174.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,T,T,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,
5,Quentin sees Caddy and Dalton,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),96.0,96.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,T,
