Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,R Alma Mereminski,R Alma Mereminski's father,R Alma Mereminski's mother,R Leo Gursky,R Leo's father,R Leo's mother,R Zvi Litvinoff,R Isaac Moritz,R Rosa Litvinoff,R David Singer,R Bookstore owner (in Buenos Aires),R Charlotte Singer,R Bruno,R Alma Singer,R Misha Shklovsky,R Tatiana,R Uncle Julian,R Bird,R Doorman (Alma Mereminski's building),R Jacob Marcus,R Herman Cooper,R Bernard Moritz
23,R Charlotte and David meet,1975-01-01,1978-12-31,T,R Alma (narrator),108.0,0.0,2000-09-14,0000-01-01,106.0,108.0,T,"Charlotte met David ""the summer before she started Oxford' (37-8).",,,,,,,,,,,T,,T,,,,,,,,,,
23,R Charlotte and David meet,1975-01-01,1978-12-31,T,R Alma (narrator),38.0,0.0,2000-09-14,0000-01-01,37.0,38.0,T,"Charlotte met David ""the summer before she started Oxford' (37-8).",,,,,,,,,,,T,,T,,,,,,,,,,
23,R Charlotte and David meet,1975-01-01,1978-12-31,T,R Alma (narrator),37.0,0.0,2000-09-14,0000-01-01,37.0,38.0,T,"Charlotte met David ""the summer before she started Oxford' (37-8).",,,,,,,,,,,T,,T,,,,,,,,,,
24,R Zvi dies,1978-01-01,1978-12-31,T,R Zvi's narrator,65.0,0.0,1980-01-01,0000-01-01,65.0,74.0,T,"""...until his death in 1978..."" (68).",,,,,,,,T,,,,,,,,,,,,,,,
24,R Zvi dies,1978-01-01,1978-12-31,T,R Zvi's narrator,68.0,0.0,1980-01-01,0000-01-01,65.0,74.0,T,"""...until his death in 1978..."" (68).",,,,,,,,T,,,,,,,,,,,,,,,
24,R Zvi dies,1978-01-01,1978-12-31,T,R Zvi's narrator,71.0,0.0,1980-01-01,0000-01-01,65.0,74.0,T,"""...until his death in 1978..."" (68).",,,,,,,,T,,,,,,,,,,,,,,,
24,R Zvi dies,1978-01-01,1978-12-31,T,R Zvi's narrator,187.0,0.0,1980-01-01,0000-01-01,187.0,191.0,T,"""...until his death in 1978..."" (68).",,,,,,,,T,,,,,,,,,,,,,,,
24,R Zvi dies,1978-01-01,1978-12-31,T,R Zvi's narrator,188.0,0.0,1980-01-01,0000-01-01,187.0,191.0,T,"""...until his death in 1978..."" (68).",,,,,,,,T,,,,,,,,,,,,,,,
25,R Alma Singer is born,1985-09-14,1985-09-28,T,R Alma (narrator),35.0,0.0,2000-09-14,0000-01-01,35.0,35.0,T,,,,,,,,,,,,T,,T,,T,,,,,,,,
25,R Alma Singer is born,1985-09-14,1985-09-28,T,R Alma (narrator),41.0,0.0,2000-09-14,0000-01-01,41.0,41.0,T,,,,,,,,,,,,T,,T,,T,,,,,,,,
26,R David Singer dies,1992-09-14,1993-09-28,T,R Alma (narrator),37.0,0.0,2000-09-14,0000-01-01,37.0,38.0,T,"""MY FATHER DIED WHEN I WAS SEVEN"" (37).",,,,,,,,,,,T,,,,,,,,,,,,
26,R David Singer dies,1992-09-14,1993-09-28,T,R Alma (narrator),41.0,0.0,2000-09-14,0000-01-01,41.0,41.0,T,"""MY FATHER DIED WHEN I WAS SEVEN"" (37).",,,,,,,,,,,T,,,,,,,,,,,,
26,R David Singer dies,1992-09-14,1993-09-28,T,R Alma (narrator),42.0,0.0,2000-09-14,0000-01-01,42.0,43.0,T,"""MY FATHER DIED WHEN I WAS SEVEN"" (37).",,,,,,,,,,,T,,,,,,,,,,,,
26,R David Singer dies,1992-09-14,1993-09-28,T,R Alma (narrator),43.0,0.0,2000-09-14,0000-01-01,43.0,44.0,T,"""MY FATHER DIED WHEN I WAS SEVEN"" (37).",,,,,,,,,,,T,,,,,,,,,,,,
