id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
239,"Knows of","Harry Potter","Perenelle Flamel","1","The Man with Two Faces","215","215"
240,"Knows","Albus Dumbledore","Perenelle Flamel","1","The Man with Two Faces","215","215"
242,"Knows","Harry Potter","Voldemort","1","The Man with Two Faces","216","216"
243,"Knows","Albus Dumbledore","Voldemort","1","The Man with Two Faces","216","216"
244,"Knows","Albus Dumbledore","Professor Quirell","1","The Man with Two Faces","216","216"
246,"Knows","Albus Dumbledore","James Potter","1","The Man with Two Faces","217","217"
247,"Knows","Harry Potter","Professor Quirell","1","The Man with Two Faces","217","217"
248,"Knows","Harry Potter","Severus Snape","1","The Man with Two Faces","217","217"
249,"Knows","Albus Dumbledore","Draco Malfoy","1","The Man with Two Faces","217","217"
250,"Exchange","Harry Potter","Madam Pomfrey","1","The Man with Two Faces","218","219"
252,"Knows","Madam Pomfrey","Albus Dumbledore","1","The Man with Two Faces","218","219"
253,"Exchange","Hermione Granger","Harry Potter","1","The Man with Two Faces","218","219"
254,"Exchange","Ronald Weasley","Harry Potter","1","The Man with Two Faces","218","219"
255,"Exchange","Hermione Granger","Albus Dumbledore","1","The Man with Two Faces","218","218"
256,"Knows","Harry Potter","Professor Quirell","1","The Man with Two Faces","218","218"
257,"Knows","Ronald Weasley","Nicolas Flamel","0","The Man with Two Faces","218","218"
258,"Exchange","Hermione Granger","Ronald Weasley","1","The Man with Two Faces","218","219"
259,"Knows","Harry Potter","Albus Dumbledore","1","The Man with Two Faces","219","219"
261,"Knows","Ronald Weasley","Albus Dumbledore","1","The Man with Two Faces","219","219"
262,"Knows","Harry Potter","Voldemort","1","The Man with Two Faces","218","220"
264,"Knows","Hermione Granger","Albus Dumbledore","1","The Man with Two Faces","219","219"
265,"Exchange","Madam Pomfrey","Ronald Weasley","1","The Man with Two Faces","219","219"
267,"Exchange","Madam Pomfrey","Hermione Granger","1","The Man with Two Faces","219","219"
268,"Exchange","Madam Pomfrey","Ronald Weasley","1","The Man with Two Faces","219","219"
271,"Exchange","Rubeus Hagrid","Harry Potter","1","The Man with Two Faces","219","220"
272,"Knows","Rubeus Hagrid","Fluffy","1","The Man with Two Faces","219","219"
274,"Knows of","Rubeus Hagrid","Voldemort","1","The Man with Two Faces","219","220"
275,"Exchange","Harry Potter","Rubeus Hagrid","1","The Man with Two Faces","220","220"
277,"Knows","Albus Dumbledore","James Potter","1","The Man with Two Faces","219","219"
278,"Knows","Harry Potter","Lily Potter","1","The Man with Two Faces","220","220"
279,"Knows","Harry Potter","Madam Pomfrey","1","The Man with Two Faces","220","220"
280,"Knows","Harry Potter","Albus Dumbledore","1","The Man with Two Faces","220","220"
281,"Knows","Harry Potter","Draco Malfoy","1","The Man with Two Faces","221","222"
282,"Exchange","Albus Dumbledore","Hogwarts Students","1","The Man with Two Faces","220","222"
283,"Exchange","Albus Dumbledore","Ronald Weasley","1","The Man with Two Faces","221","221"
284,"Exchange","Percy Weasley","Hogwarts Students","1","The Man with Two Faces","221","221"
285,"Knows","Percy Weasley","Minerva McGonagall","1","The Man with Two Faces","221","221"
286,"Exchange","Albus Dumbledore","Hermione Granger","1","The Man with Two Faces","221","221"
287,"Knows","Harry Potter","Hermione Granger","1","The Man with Two Faces","220","220"
288,"Exchange","Albus Dumbledore","Harry Potter","1","The Man with Two Faces","221","221"
289,"Exchange","Albus Dumbledore","Neville Longbottom","1","The Man with Two Faces","221","221"
290,"Knows","Harry Potter","Neville Longbottom","1","The Man with Two Faces","221","222"
291,"Knows","Hermione Granger","Neville Longbottom","1","The Man with Two Faces","221","222"
292,"Knows","Ronald Weasley","Neville Longbottom","1","The Man with Two Faces","221","222"
293,"Knows","Harry Potter","Ronald Weasley","1","The Man with Two Faces","222","222"
294,"Knows","Ronald Weasley","Draco Malfoy","1","The Man with Two Faces","222","222"
297,"Knows","Harry Potter","Severus Snape","1","The Man with Two Faces","222","222"
298,"Exchange","Harry Potter","Minerva McGonagall","1","The Man with Two Faces","222","222"
301,"Knows","Harry Potter","Goyle","1","The Man with Two Faces","222","222"
302,"Knows","Harry Potter","Hermione Granger","1","The Man with Two Faces","222","222"
303,"Exchange","Fred Weasley","Harry Potter","1","The Man with Two Faces","222","222"
304,"Knows","Harry Potter","Rubeus Hagrid","1","The Man with Two Faces","222","222"
305,"Exchange","Ronald Weasley","Harry Potter","1","The Man with Two Faces","223","223"
306,"Knows","Harry Potter","Hermione Granger","1","The Man with Two Faces","223","223"
307,"Exchange","Ginny Weasley","Molly Weasley","1","The Man with Two Faces","223","223"
308,"Exchange","Molly Weasley","Harry Potter","1","The Man with Two Faces","223","223"
309,"Exchange","Vernon Dursley","Harry Potter","1","The Man with Two Faces","223","223"
310,"Knows","Harry Potter","Petunia Dursley","1","The Man with Two Faces","223","223"
311,"Knows","Harry Potter","Dudley Dursley","1","The Man with Two Faces","223","223"
312,"Exchange","Hermione Granger","Harry Potter","1","The Man with Two Faces","223","223"
313,"Knows","Petunia Dursley","James Potter","1","The Boy Who Lived","7","7"
314,"Knows","Vernon Dursley","Lily Potter","1","The Boy Who Lived","7","7"
315,"Knows","Vernon Dursley","James Potter","1","The Boy Who Lived","7","7"
316,"Knows of","Petunia Dursley","Harry Potter","0","The Boy Who Lived","7","7"
317,"Knows of","Vernon Dursley","Harry Potter","0","The Boy Who Lived","7","7"
318,"Knows","Vernon Dursley","Neighbours (of the Dursleys)","1","The Boy Who Lived","7","7"
319,"Knows","Vernon Dursley","Dudley Dursley","1","The Boy Who Lived","7","7"
320,"Knows","People in cloaks","man in emerald green cloak","1","The Boy Who Lived","8","8"
321,"Exchange","Vernon Dursley","Vernon Dursley's Secretary","1","The Boy Who Lived","9","9"
322,"Knows of","Vernon Dursley","Harry Potter","0","The Boy Who Lived","9","9"
323,"Knows","Vernon Dursley","Lily Potter","1","The Boy Who Lived","9","9"
324,"Knows","Vernon Dursley","James Potter","1","The Boy Who Lived","9","9"
325,"Knows","Vernon Dursley","Petunia Dursley","1","The Boy Who Lived","9","9"
326,"Knows","Petunia Dursley","Lily Potter","1","The Boy Who Lived","9","9"
327,"Knows of","Vernon Dursley","Voldemort","0","The Boy Who Lived","10","10"
328,"Exchange","Vernon Dursley","Petunia Dursley","1","The Boy Who Lived","10","11"
329,"Exchange","Petunia Dursley","Dudley Dursley","1","The Boy Who Lived","10","10"
330,"Exchange","Petunia Dursley","Mrs Next Door","1","The Boy Who Lived","10","10"
331,"Knows","Petunia Dursley","Mrs Next Door's Daughter","1","The Boy Who Lived","10","10"
332,"Knows","Mrs Next Door","Mrs Next Door's Daughter","1","The Boy Who Lived","10","10"
333,"Knows of","Vernon Dursley","Mrs Next Door","1","The Boy Who Lived","10","10"
334,"Knows of","Vernon Dursley","Mrs Next Door's Daughter","0","The Boy Who Lived","10","10"
335,"Knows","Vernon Dursley","Dudley Dursley","1","The Boy Who Lived","10","11"
336,"Exchange","Ted (News Reader)","Jim McGuffin","1","The Boy Who Lived","10","11"
337,"Knows of","Ted (News Reader)","Bird Watchers","0","The Boy Who Lived","10","10"
338,"Exchange","Ted (News Reader)","Bird Experts","1","The Boy Who Lived","10","10"
339,"Knows","Bird Experts","Owls","0","The Boy Who Lived","10","10"
340,"Exchange","Ted (News Reader)","Viewers","1","The Boy Who Lived","10","10"
341,"Knows","Vernon Dursley","Ted (News Reader)","0","The Boy Who Lived","10","10"
342,"Knows","Vernon Dursley","Jim McGuffin","0","The Boy Who Lived","10","11"
343,"Knows","Vernon Dursley","Owls","1","The Boy Who Lived","10","11"
344,"Knows of","Vernon Dursley","People in cloaks","0","The Boy Who Lived","11","11"
345,"Knows","Petunia Dursley","Lily Potter","1","The Boy Who Lived","11","12"
346,"Knows","Vernon Dursley","Lily Potter","1","The Boy Who Lived","11","12"
347,"Knows of","Petunia Dursley","People in cloaks","0","The Boy Who Lived","11","11"
348,"Knows","Petunia Dursley","Owls","0","The Boy Who Lived","11","11"
349,"Knows of","Vernon Dursley","Harry Potter","0","The Boy Who Lived","11","11"
350,"Knows","Petunia Dursley","Harry Potter","0","The Boy Who Lived","11","11"
351,"Knows","Petunia Dursley","Dudley Dursley","1","The Boy Who Lived","11","11"
352,"Knows","Vernon Dursley","Minerva McGonagall","1","The Boy Who Lived","11","11"
353,"Knows","Vernon Dursley","James Potter","1","The Boy Who Lived","11","12"
354,"Knows","Petunia Dursley","James Potter","1","The Boy Who Lived","11","12"
355,"Knows","Minerva McGonagall","Muggles","0","The Boy Who Lived","13","13"
356,"Knows","Minerva McGonagall","Dedalus Diggle","1","The Boy Who Lived","13","13"
357,"Knows","Albus Dumbledore","Voldemort","1","The Boy Who Lived","13","14"
358,"Knows","Albus Dumbledore","Madam Pomfrey","1","The Boy Who Lived","14","14"
359,"Knows","Minerva McGonagall","Madam Pomfrey","1","The Boy Who Lived","14","14"
360,"Knows of","People in the Wizarding World","James Potter","0","The Boy Who Lived","14","14"
361,"Knows of","People in the Wizarding World","Harry Potter","0","The Boy Who Lived","14","14"
