id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel
11,The Vanishing Glass,level 1 (section),18,27,[NULL],[NULL],[NULL],181,Exchange,Dudley Dursley,Piers Polkiss,1,The Vanishing Glass,24,24
11,The Vanishing Glass,level 1 (section),18,27,[NULL],[NULL],[NULL],182,Exchange,Harry's Headmistress,Vernon Dursley,1,The Vanishing Glass,23,23
11,The Vanishing Glass,level 1 (section),18,27,[NULL],[NULL],[NULL],183,Exchange,Dudley Dursley,Harry Potter,1,The Vanishing Glass,24,24
11,The Vanishing Glass,level 1 (section),18,27,[NULL],[NULL],[NULL],184,Exchange,Piers Polkiss,Harry Potter,1,The Vanishing Glass,26,26
11,The Vanishing Glass,level 1 (section),18,27,[NULL],[NULL],[NULL],185,Exchange,Dedalus Diggle,Harry Potter,1,The Vanishing Glass,27,27
11,The Vanishing Glass,level 1 (section),18,27,[NULL],[NULL],[NULL],186,Exchange,Woman dressed in all green,Harry Potter,1,The Vanishing Glass,27,27
11,The Vanishing Glass,level 1 (section),18,27,[NULL],[NULL],[NULL],187,Exchange,Bald man in a purple coat,Harry Potter,1,The Vanishing Glass,27,27
12,The Letters From No One,level 1 (section),28,38,[NULL],[NULL],[NULL],188,Exchange,Dudley Dursley,Mrs. Figg,0,The Letters From No One,28,28
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],189,Knows,Hermione Granger,Lee Jordan,1,Through the Trapdoor,197,197
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],190,Knows,Ronald Weasley,Lee Jordan,1,Through the Trapdoor,197,197
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],191,Knows,Harry Potter,Professor Quirell,1,Through the Trapdoor,208,208
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],194,Knows,Hermione Granger,Mrs. Norris,1,Through the Trapdoor,199,199
