id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel,index
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],258,Knows of,Opal Viola Victoria Bear Shield,Jacquie Red Feather's Father,0,Opal Viola Victoria Bear Shield (I),46,46,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],259,Exchange,Opal Viola Victoria Bear Shield,Victoria (Vicky),1,Opal Viola Victoria Bear Shield (I),46,46,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],260,Knows of,Opal Viola Victoria Bear Shield,Opal the Medicine Woman,0,Opal Viola Victoria Bear Shield (I),46,46,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],261,Knows,Opal Viola Victoria Bear Shield,Two Shoes,1,Opal Viola Victoria Bear Shield (I),46,47,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],262,Exchange,Opal Viola Victoria Bear Shield,Victoria (Vicky),1,Opal Viola Victoria Bear Shield (I),47,47,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],263,Exchange,Jacquie Red Feather,Victoria (Vicky),1,Opal Viola Victoria Bear Shield (I),47,47,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],264,Exchange,Opal Viola Victoria Bear Shield,Victoria (Vicky),1,Opal Viola Victoria Bear Shield (I),48,48,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],265,Knows of,Victoria (Vicky),Alcatraz,0,Opal Viola Victoria Bear Shield (I),48,48,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],266,Knows of,Opal Viola Victoria Bear Shield,Alcatraz,0,Opal Viola Victoria Bear Shield (I),48,48,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],267,Exchange,Opal Viola Victoria Bear Shield,Jacquie Red Feather,1,Opal Viola Victoria Bear Shield (I),49,49,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],268,Exchange,Victoria (Vicky),Opal Viola Victoria Bear Shield,1,Opal Viola Victoria Bear Shield (I),49,49,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],269,Exchange,Victoria (Vicky),Jacquie Red Feather,1,Opal Viola Victoria Bear Shield (I),49,49,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],270,Exchange,Bill Davis,Person stabbed by Bill Davis,1,Bill Davis (II),85,85,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],271,Knows of,Bill Davis,Hunter S. Thompson,0,Bill Davis (II),85,85,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],272,Knows of,Bill Davis,Oscar Zeta Acosta,0,Bill Davis (II),85,85,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],273,Knows of,Bill Davis,F. Scott Fitzgerald,0,Bill Davis (II),85,85,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],274,Knows of,Bill Davis,Ernest Hemingway,0,Bill Davis (II),85,85,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],275,Knows of,Bill Davis,Raymond Carver,0,Bill Davis (II),85,85,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],276,Knows of,Bill Davis,William Faulkner,0,Bill Davis (II),85,85,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],277,Knows of,Bill Davis,Ken Kesey,0,Bill Davis (II),85,85,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],279,Knows of,Bill Davis,Richard Brautigan,0,Bill Davis (II),85,85,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],280,Knows of,Bill Davis,Jack London,0,Bill Davis (II),86,86,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],281,Knows of,Bill Davis,Stephen King,0,Bill Davis (II),86,86,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],282,Knows of,Bill Davis,Elmore Leonard,0,Bill Davis (II),86,86,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],283,Knows of,Bill Davis,Oakland Athletics,0,Bill Davis (II),84,86,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],284,Knows of,Bill Davis,San Francisco sports teams,0,Bill Davis (II),85,85,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],285,Knows of,Bill Davis,Oakland Raiders,0,Bill Davis (II),85,85,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],286,Exchange,Oakland Athletics,San Francisco Giants,1,Bill Davis (II),86,86,
